dataset,feature_set,model_name,transformed_feature,importance,importance_abs,importance_type
overall,core_reduced,logistic,payment_device_smarttv,0.9363669875895614,0.9363669875895614,coef
overall,core_reduced,logistic,payment_device_ios,-0.8927803340140466,0.8927803340140466,coef
overall,core_reduced,logistic,payment_device_ott,0.5834940257613903,0.5834940257613903,coef
overall,core_reduced,logistic,gender_N,0.2904492053177611,0.2904492053177611,coef
overall,core_reduced,logistic,payment_device_pc,-0.22322717663943561,0.22322717663943561,coef
overall,core_reduced,logistic,payment_device_mobile,-0.21170291565538407,0.21170291565538407,coef
overall,core_reduced,logistic,is_promotion,-0.19156534570503425,0.19156534570503425,coef
overall,core_reduced,logistic,age,0.16943753596511998,0.16943753596511998,coef
overall,core_reduced,logistic,billing_method,-0.1685498807470055,0.1685498807470055,coef
overall,core_reduced,logistic,max_screen,-0.11981024701909808,0.11981024701909808,coef
overall,core_reduced,logistic,subscription_days,0.10509053679810397,0.10509053679810397,coef
overall,core_reduced,logistic,days_since_last_watch_to_obs_end,0.09968266157379774,0.09968266157379774,coef
overall,core_reduced,logistic,is_churn_prevented,0.07754464193761926,0.07754464193761926,coef
overall,core_reduced,logistic,gender_F,-0.07627744510007622,0.07627744510007622,coef
overall,core_reduced,logistic,stable_2screen_active,0.07208635979427873,0.07208635979427873,coef
overall,core_reduced,logistic,late_ratio,0.07189103260414995,0.07189103260414995,coef
overall,core_reduced,logistic,premium_action_trial_risk,-0.06926750244205722,0.06926750244205722,coef
overall,core_reduced,logistic,has_watch_obs,-0.06425725818702072,0.06425725818702072,coef
overall,core_reduced,logistic,discount_sensitive_risk,-0.05817385166122627,0.05817385166122627,coef
overall,core_reduced,logistic,metadata_covered_watch_ratio,-0.05739955994119426,0.05739955994119426,coef
overall,core_reduced,logistic,genre_tag_entropy_norm,0.03664255219870765,0.03664255219870765,coef
overall,core_reduced,logistic,w3_minus_w1_watch_time,-0.027640183292565373,0.027640183292565373,coef
overall,core_reduced,logistic,max_day_share,0.027554008157493762,0.027554008157493762,coef
overall,core_reduced,logistic,family_2screen_lifestyle,0.01782843147985826,0.01782843147985826,coef
overall,core_reduced,logistic,watch_days_ratio,0.012197068636015884,0.012197068636015884,coef
overall,core_reduced,logistic,unique_days,0.012197068636006121,0.012197068636006121,coef
overall,core_reduced,logistic,payment_device_android,0.011258236043889182,0.011258236043889182,coef
overall,core_reduced,logistic,gender_M,-0.010762937131706755,0.010762937131706755,coef
overall,core_reduced,logistic,is_user_verified,0.010387518625770299,0.010387518625770299,coef
overall,core_reduced,logistic,country_entropy_norm,-0.004808364554589736,0.004808364554589736,coef
overall,core_reduced,logistic,reg_hour,0.003879887072566306,0.003879887072566306,coef
overall,core_reduced,logistic,front_loaded_ratio,-0.0037153087803317372,0.0037153087803317372,coef
overall,core_reduced,random_forest,age,0.11986913404805914,0.11986913404805914,feature_importances_
overall,core_reduced,random_forest,max_screen,0.07555992329717627,0.07555992329717627,feature_importances_
overall,core_reduced,random_forest,billing_method,0.06944299362579748,0.06944299362579748,feature_importances_
overall,core_reduced,random_forest,genre_tag_entropy_norm,0.06823986623650073,0.06823986623650073,feature_importances_
overall,core_reduced,random_forest,w3_minus_w1_watch_time,0.06489359697851567,0.06489359697851567,feature_importances_
overall,core_reduced,random_forest,reg_hour,0.06482878505424619,0.06482878505424619,feature_importances_
overall,core_reduced,random_forest,max_day_share,0.06263199188080817,0.06263199188080817,feature_importances_
overall,core_reduced,random_forest,country_entropy_norm,0.06049036173066835,0.06049036173066835,feature_importances_
overall,core_reduced,random_forest,is_promotion,0.056669308074860404,0.056669308074860404,feature_importances_
overall,core_reduced,random_forest,front_loaded_ratio,0.05164086642243664,0.05164086642243664,feature_importances_
overall,core_reduced,random_forest,late_ratio,0.05093940763441544,0.05093940763441544,feature_importances_
overall,core_reduced,random_forest,days_since_last_watch_to_obs_end,0.040917060460289936,0.040917060460289936,feature_importances_
overall,core_reduced,random_forest,is_churn_prevented,0.029476448740007457,0.029476448740007457,feature_importances_
overall,core_reduced,random_forest,watch_days_ratio,0.026947454920930113,0.026947454920930113,feature_importances_
overall,core_reduced,random_forest,unique_days,0.02590678156873538,0.02590678156873538,feature_importances_
overall,core_reduced,random_forest,payment_device_android,0.021758672927463866,0.021758672927463866,feature_importances_
overall,core_reduced,random_forest,premium_action_trial_risk,0.014820526294162587,0.014820526294162587,feature_importances_
overall,core_reduced,random_forest,payment_device_mobile,0.013056641408449933,0.013056641408449933,feature_importances_
overall,core_reduced,random_forest,gender_M,0.011396474881302673,0.011396474881302673,feature_importances_
overall,core_reduced,random_forest,gender_F,0.011195404233398877,0.011195404233398877,feature_importances_
overall,core_reduced,random_forest,discount_sensitive_risk,0.009870500335250897,0.009870500335250897,feature_importances_
overall,core_reduced,random_forest,payment_device_pc,0.009672509108480574,0.009672509108480574,feature_importances_
overall,core_reduced,random_forest,payment_device_smarttv,0.007666196667787299,0.007666196667787299,feature_importances_
overall,core_reduced,random_forest,stable_2screen_active,0.007596255095572298,0.007596255095572298,feature_importances_
overall,core_reduced,random_forest,subscription_days,0.0068085924968545,0.0068085924968545,feature_importances_
overall,core_reduced,random_forest,payment_device_ios,0.0059915531309320015,0.0059915531309320015,feature_importances_
overall,core_reduced,random_forest,is_user_verified,0.004666946056933815,0.004666946056933815,feature_importances_
overall,core_reduced,random_forest,has_watch_obs,0.0026516827758385044,0.0026516827758385044,feature_importances_
overall,core_reduced,random_forest,metadata_covered_watch_ratio,0.0023045167536188535,0.0023045167536188535,feature_importances_
overall,core_reduced,random_forest,family_2screen_lifestyle,0.0018140031989462534,0.0018140031989462534,feature_importances_
overall,core_reduced,random_forest,payment_device_ott,0.00017585280625066505,0.00017585280625066505,feature_importances_
overall,core_reduced,random_forest,gender_N,9.969115530898837e-05,9.969115530898837e-05,feature_importances_
overall,core_reduced,extra_trees,max_screen,0.1305082975920876,0.1305082975920876,feature_importances_
overall,core_reduced,extra_trees,is_promotion,0.12831891756000702,0.12831891756000702,feature_importances_
overall,core_reduced,extra_trees,billing_method,0.09064226993345915,0.09064226993345915,feature_importances_
overall,core_reduced,extra_trees,age,0.08363228908217589,0.08363228908217589,feature_importances_
overall,core_reduced,extra_trees,is_churn_prevented,0.07049679469253389,0.07049679469253389,feature_importances_
overall,core_reduced,extra_trees,payment_device_android,0.052232432318956475,0.052232432318956475,feature_importances_
overall,core_reduced,extra_trees,premium_action_trial_risk,0.042073288070072025,0.042073288070072025,feature_importances_
overall,core_reduced,extra_trees,payment_device_mobile,0.029644513826533752,0.029644513826533752,feature_importances_
overall,core_reduced,extra_trees,reg_hour,0.027755939266226187,0.027755939266226187,feature_importances_
overall,core_reduced,extra_trees,country_entropy_norm,0.025100250303944922,0.025100250303944922,feature_importances_
overall,core_reduced,extra_trees,discount_sensitive_risk,0.024650093375818583,0.024650093375818583,feature_importances_
overall,core_reduced,extra_trees,payment_device_smarttv,0.023610600732299324,0.023610600732299324,feature_importances_
overall,core_reduced,extra_trees,late_ratio,0.02118814433709183,0.02118814433709183,feature_importances_
overall,core_reduced,extra_trees,max_day_share,0.020858667685965893,0.020858667685965893,feature_importances_
overall,core_reduced,extra_trees,days_since_last_watch_to_obs_end,0.02050545846177732,0.02050545846177732,feature_importances_
overall,core_reduced,extra_trees,stable_2screen_active,0.020343556838796215,0.020343556838796215,feature_importances_
overall,core_reduced,extra_trees,front_loaded_ratio,0.02011681951347941,0.02011681951347941,feature_importances_
overall,core_reduced,extra_trees,payment_device_pc,0.019434175344258568,0.019434175344258568,feature_importances_
overall,core_reduced,extra_trees,genre_tag_entropy_norm,0.019260066695202686,0.019260066695202686,feature_importances_
overall,core_reduced,extra_trees,gender_F,0.01816045934566228,0.01816045934566228,feature_importances_
overall,core_reduced,extra_trees,gender_M,0.017514294744019943,0.017514294744019943,feature_importances_
overall,core_reduced,extra_trees,payment_device_ios,0.014867831205784771,0.014867831205784771,feature_importances_
overall,core_reduced,extra_trees,unique_days,0.014783774010994058,0.014783774010994058,feature_importances_
overall,core_reduced,extra_trees,watch_days_ratio,0.014540312256246414,0.014540312256246414,feature_importances_
overall,core_reduced,extra_trees,subscription_days,0.012790783882538627,0.012790783882538627,feature_importances_
overall,core_reduced,extra_trees,is_user_verified,0.010224025274819054,0.010224025274819054,feature_importances_
overall,core_reduced,extra_trees,family_2screen_lifestyle,0.006904538607429277,0.006904538607429277,feature_importances_
overall,core_reduced,extra_trees,w3_minus_w1_watch_time,0.006408964303325078,0.006408964303325078,feature_importances_
overall,core_reduced,extra_trees,has_watch_obs,0.006135223577998013,0.006135223577998013,feature_importances_
overall,core_reduced,extra_trees,metadata_covered_watch_ratio,0.005810307980144179,0.005810307980144179,feature_importances_
overall,core_reduced,extra_trees,payment_device_ott,0.0010010155044412306,0.0010010155044412306,feature_importances_
overall,core_reduced,extra_trees,gender_N,0.0004858936759103338,0.0004858936759103338,feature_importances_
overall,core_reduced,gradient_boosting,age,0.19258391108394038,0.19258391108394038,feature_importances_
overall,core_reduced,gradient_boosting,max_screen,0.1313281504735974,0.1313281504735974,feature_importances_
overall,core_reduced,gradient_boosting,is_promotion,0.10210210262327672,0.10210210262327672,feature_importances_
overall,core_reduced,gradient_boosting,billing_method,0.08339398958577789,0.08339398958577789,feature_importances_
overall,core_reduced,gradient_boosting,is_churn_prevented,0.07544479452635568,0.07544479452635568,feature_importances_
overall,core_reduced,gradient_boosting,w3_minus_w1_watch_time,0.07120072834234487,0.07120072834234487,feature_importances_
overall,core_reduced,gradient_boosting,country_entropy_norm,0.054982908344048856,0.054982908344048856,feature_importances_
overall,core_reduced,gradient_boosting,max_day_share,0.04450652077518309,0.04450652077518309,feature_importances_
overall,core_reduced,gradient_boosting,genre_tag_entropy_norm,0.04137537573014326,0.04137537573014326,feature_importances_
overall,core_reduced,gradient_boosting,late_ratio,0.03322130736977007,0.03322130736977007,feature_importances_
overall,core_reduced,gradient_boosting,reg_hour,0.030912741172947598,0.030912741172947598,feature_importances_
overall,core_reduced,gradient_boosting,payment_device_android,0.03061037888106975,0.03061037888106975,feature_importances_
overall,core_reduced,gradient_boosting,front_loaded_ratio,0.02041263830036607,0.02041263830036607,feature_importances_
overall,core_reduced,gradient_boosting,days_since_last_watch_to_obs_end,0.015144656812992307,0.015144656812992307,feature_importances_
overall,core_reduced,gradient_boosting,payment_device_smarttv,0.011103395167399227,0.011103395167399227,feature_importances_
overall,core_reduced,gradient_boosting,subscription_days,0.01014463911524637,0.01014463911524637,feature_importances_
overall,core_reduced,gradient_boosting,unique_days,0.008047259820361531,0.008047259820361531,feature_importances_
overall,core_reduced,gradient_boosting,payment_device_mobile,0.007988894045311409,0.007988894045311409,feature_importances_
