flag_name,flag_definition_from_source,promo_group,outcome_group,rows_in_group,flag_1_rows,flag_1_rate,source_file,caveat
flag_high_risk_top10,churn_risk descending top 10 percent,promo0_non100won,churn,497,0,0.0,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_internal_multiflag_definitions.csv,existing 17x internal flag diagnostic only; not promoted to a segment rule
flag_high_risk_top10,churn_risk descending top 10 percent,promo0_non100won,repurchase,3402,1,0.00029394473838918284,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_internal_multiflag_definitions.csv,existing 17x internal flag diagnostic only; not promoted to a segment rule
flag_high_risk_top10,churn_risk descending top 10 percent,promo1_100won,churn,762,9,0.011811023622047244,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_internal_multiflag_definitions.csv,existing 17x internal flag diagnostic only; not promoted to a segment rule
flag_high_risk_top10,churn_risk descending top 10 percent,promo1_100won,repurchase,3235,4,0.0012364760432766616,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_internal_multiflag_definitions.csv,existing 17x internal flag diagnostic only; not promoted to a segment rule
flag_high_risk_top20,churn_risk descending top 20 percent,promo0_non100won,churn,497,4,0.008048289738430584,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_internal_multiflag_definitions.csv,existing 17x internal flag diagnostic only; not promoted to a segment rule
flag_high_risk_top20,churn_risk descending top 20 percent,promo0_non100won,repurchase,3402,2,0.0005878894767783657,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_internal_multiflag_definitions.csv,existing 17x internal flag diagnostic only; not promoted to a segment rule
flag_high_risk_top20,churn_risk descending top 20 percent,promo1_100won,churn,762,29,0.03805774278215223,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_internal_multiflag_definitions.csv,existing 17x internal flag diagnostic only; not promoted to a segment rule
flag_high_risk_top20,churn_risk descending top 20 percent,promo1_100won,repurchase,3235,11,0.0034003091190108192,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_internal_multiflag_definitions.csv,existing 17x internal flag diagnostic only; not promoted to a segment rule
flag_low_risk_stable,bottom 20 percent risk and stable week3 retention,promo0_non100won,churn,497,0,0.0,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_internal_multiflag_definitions.csv,existing 17x internal flag diagnostic only; not promoted to a segment rule
flag_low_risk_stable,bottom 20 percent risk and stable week3 retention,promo0_non100won,repurchase,3402,0,0.0,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_internal_multiflag_definitions.csv,existing 17x internal flag diagnostic only; not promoted to a segment rule
flag_low_risk_stable,bottom 20 percent risk and stable week3 retention,promo1_100won,churn,762,0,0.0,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_internal_multiflag_definitions.csv,existing 17x internal flag diagnostic only; not promoted to a segment rule
flag_low_risk_stable,bottom 20 percent risk and stable week3 retention,promo1_100won,repurchase,3235,0,0.0,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_internal_multiflag_definitions.csv,existing 17x internal flag diagnostic only; not promoted to a segment rule
flag_cold_start_weak,cold start fixed flags indicate weak activation,promo0_non100won,churn,497,211,0.4245472837022133,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_internal_multiflag_definitions.csv,existing 17x internal flag diagnostic only; not promoted to a segment rule
flag_cold_start_weak,cold start fixed flags indicate weak activation,promo0_non100won,repurchase,3402,1578,0.4638447971781305,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_internal_multiflag_definitions.csv,existing 17x internal flag diagnostic only; not promoted to a segment rule
flag_cold_start_weak,cold start fixed flags indicate weak activation,promo1_100won,churn,762,304,0.3989501312335958,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_internal_multiflag_definitions.csv,existing 17x internal flag diagnostic only; not promoted to a segment rule
flag_cold_start_weak,cold start fixed flags indicate weak activation,promo1_100won,repurchase,3235,1522,0.4704791344667697,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_internal_multiflag_definitions.csv,existing 17x internal flag diagnostic only; not promoted to a segment rule
flag_strong_early_activation,week1 watch time or session above q75,promo0_non100won,churn,497,129,0.2595573440643863,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_internal_multiflag_definitions.csv,existing 17x internal flag diagnostic only; not promoted to a segment rule
flag_strong_early_activation,week1 watch time or session above q75,promo0_non100won,repurchase,3402,880,0.2586713697824809,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_internal_multiflag_definitions.csv,existing 17x internal flag diagnostic only; not promoted to a segment rule
flag_strong_early_activation,week1 watch time or session above q75,promo1_100won,churn,762,181,0.23753280839895013,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_internal_multiflag_definitions.csv,existing 17x internal flag diagnostic only; not promoted to a segment rule
flag_strong_early_activation,week1 watch time or session above q75,promo1_100won,repurchase,3235,860,0.26584234930448225,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_internal_multiflag_definitions.csv,existing 17x internal flag diagnostic only; not promoted to a segment rule
flag_week3_inactive,week3 watch time or sessions equal zero,promo0_non100won,churn,497,285,0.5734406438631791,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_internal_multiflag_definitions.csv,existing 17x internal flag diagnostic only; not promoted to a segment rule
flag_week3_inactive,week3 watch time or sessions equal zero,promo0_non100won,repurchase,3402,1194,0.3509700176366843,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_internal_multiflag_definitions.csv,existing 17x internal flag diagnostic only; not promoted to a segment rule
flag_week3_inactive,week3 watch time or sessions equal zero,promo1_100won,churn,762,374,0.49081364829396323,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_internal_multiflag_definitions.csv,existing 17x internal flag diagnostic only; not promoted to a segment rule
flag_week3_inactive,week3 watch time or sessions equal zero,promo1_100won,repurchase,3235,938,0.2899536321483771,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_internal_multiflag_definitions.csv,existing 17x internal flag diagnostic only; not promoted to a segment rule
flag_only_w1,only week1 activity in day0-20 window,promo0_non100won,churn,497,79,0.158953722334004,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_internal_multiflag_definitions.csv,existing 17x internal flag diagnostic only; not promoted to a segment rule
flag_only_w1,only week1 activity in day0-20 window,promo0_non100won,repurchase,3402,125,0.036743092298647854,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_internal_multiflag_definitions.csv,existing 17x internal flag diagnostic only; not promoted to a segment rule
flag_only_w1,only week1 activity in day0-20 window,promo1_100won,churn,762,71,0.09317585301837271,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_internal_multiflag_definitions.csv,existing 17x internal flag diagnostic only; not promoted to a segment rule
flag_only_w1,only week1 activity in day0-20 window,promo1_100won,repurchase,3235,69,0.02132921174652241,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_internal_multiflag_definitions.csv,existing 17x internal flag diagnostic only; not promoted to a segment rule
flag_week3_drop,week3 usage below week2 and diff negative,promo0_non100won,churn,497,76,0.1529175050301811,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_internal_multiflag_definitions.csv,existing 17x internal flag diagnostic only; not promoted to a segment rule
flag_week3_drop,week3 usage below week2 and diff negative,promo0_non100won,repurchase,3402,1356,0.3985890652557319,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_internal_multiflag_definitions.csv,existing 17x internal flag diagnostic only; not promoted to a segment rule
flag_week3_drop,week3 usage below week2 and diff negative,promo1_100won,churn,762,98,0.12860892388451445,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_internal_multiflag_definitions.csv,existing 17x internal flag diagnostic only; not promoted to a segment rule
flag_week3_drop,week3 usage below week2 and diff negative,promo1_100won,repurchase,3235,1131,0.34961360123647606,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_internal_multiflag_definitions.csv,existing 17x internal flag diagnostic only; not promoted to a segment rule
flag_retention_decay,week3 retention below week2 or below 0.5,promo0_non100won,churn,497,67,0.13480885311871227,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_internal_multiflag_definitions.csv,existing 17x internal flag diagnostic only; not promoted to a segment rule
flag_retention_decay,week3 retention below week2 or below 0.5,promo0_non100won,repurchase,3402,1665,0.4894179894179894,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_internal_multiflag_definitions.csv,existing 17x internal flag diagnostic only; not promoted to a segment rule
flag_retention_decay,week3 retention below week2 or below 0.5,promo1_100won,churn,762,81,0.1062992125984252,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_internal_multiflag_definitions.csv,existing 17x internal flag diagnostic only; not promoted to a segment rule
flag_retention_decay,week3 retention below week2 or below 0.5,promo1_100won,repurchase,3235,1394,0.4309119010819165,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_internal_multiflag_definitions.csv,existing 17x internal flag diagnostic only; not promoted to a segment rule
