flag_name,comparison,group_a_rate,group_b_rate,difference_pp,absolute_difference_pp,rank_by_abs_difference,interpretation,needs_user_review,source_file
flag_retention_decay,promo0_churn_vs_promo0_repurchase,0.13480885311871227,0.4894179894179894,-35.46091362992772,35.46091362992772,1.0,descriptive diagnostic gap among existing 17x flags only,True,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_internal_multiflag_definitions.csv
flag_retention_stable,promo0_churn_vs_promo0_repurchase,0.8651911468812877,0.5105820105820106,35.46091362992772,35.46091362992772,1.0,descriptive diagnostic gap among existing 17x flags only,True,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_internal_multiflag_definitions.csv
flag_week3_drop,promo0_churn_vs_promo0_repurchase,0.1529175050301811,0.3985890652557319,-24.567156022555082,24.567156022555082,2.0,descriptive diagnostic gap among existing 17x flags only,True,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_internal_multiflag_definitions.csv
flag_low_activity,promo0_churn_vs_promo0_repurchase,0.7223340040241448,0.49176954732510286,23.056445669904196,23.056445669904196,3.0,descriptive diagnostic gap among existing 17x flags only,True,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_internal_multiflag_definitions.csv
flag_week3_inactive,promo0_churn_vs_promo0_repurchase,0.5734406438631791,0.3509700176366843,22.247062622649477,22.247062622649477,4.0,descriptive diagnostic gap among existing 17x flags only,True,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_internal_multiflag_definitions.csv
flag_heavy_user,promo0_churn_vs_promo0_repurchase,0.1488933601609658,0.3271604938271605,-17.82671336661947,17.82671336661947,5.0,descriptive diagnostic gap among existing 17x flags only,True,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_internal_multiflag_definitions.csv
flag_only_w1,promo0_churn_vs_promo0_repurchase,0.158953722334004,0.036743092298647854,12.221063003535615,12.221063003535615,6.0,descriptive diagnostic gap among existing 17x flags only,True,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_internal_multiflag_definitions.csv
flag_new_movie_oriented,promo0_churn_vs_promo0_repurchase,0.12877263581488935,0.08818342151675485,4.05892142981345,4.05892142981345,7.0,descriptive diagnostic gap among existing 17x flags only,True,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_internal_multiflag_definitions.csv
flag_cold_start_weak,promo0_churn_vs_promo0_repurchase,0.4245472837022133,0.4638447971781305,-3.9297513475917203,3.9297513475917203,8.0,descriptive diagnostic gap among existing 17x flags only,True,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_internal_multiflag_definitions.csv
flag_genre_focused,promo0_churn_vs_promo0_repurchase,0.2193158953722334,0.19077013521457967,2.854576015765373,2.854576015765373,9.0,descriptive diagnostic gap among existing 17x flags only,True,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_internal_multiflag_definitions.csv
flag_high_risk_top20,promo0_churn_vs_promo0_repurchase,0.008048289738430584,0.0005878894767783657,0.7460400261652219,0.7460400261652219,10.0,descriptive diagnostic gap among existing 17x flags only,True,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_internal_multiflag_definitions.csv
flag_old_movie_oriented,promo0_churn_vs_promo0_repurchase,0.0925553319919517,0.09435626102292768,-0.18009290309759785,0.18009290309759785,11.0,descriptive diagnostic gap among existing 17x flags only,True,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_internal_multiflag_definitions.csv
flag_strong_early_activation,promo0_churn_vs_promo0_repurchase,0.2595573440643863,0.2586713697824809,0.08859742819053995,0.08859742819053995,12.0,descriptive diagnostic gap among existing 17x flags only,True,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_internal_multiflag_definitions.csv
flag_high_risk_top10,promo0_churn_vs_promo0_repurchase,0.0,0.00029394473838918284,-0.029394473838918283,0.029394473838918283,13.0,descriptive diagnostic gap among existing 17x flags only,True,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_internal_multiflag_definitions.csv
flag_low_risk_stable,promo0_churn_vs_promo0_repurchase,0.0,0.0,0.0,0.0,14.0,descriptive diagnostic gap among existing 17x flags only,True,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_internal_multiflag_definitions.csv
flag_retention_stable,promo1_all_vs_promo0_all,0.6309732299224419,0.5557835342395486,7.518969568289324,7.518969568289324,1.0,descriptive diagnostic gap among existing 17x flags only,True,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_internal_multiflag_definitions.csv
flag_retention_decay,promo1_all_vs_promo0_all,0.3690267700775582,0.4442164657604514,-7.518969568289319,7.518969568289319,2.0,descriptive diagnostic gap among existing 17x flags only,True,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_internal_multiflag_definitions.csv
flag_week3_drop,promo1_all_vs_promo0_all,0.30748061045784336,0.36727365991279814,-5.979304945495478,5.979304945495478,3.0,descriptive diagnostic gap among existing 17x flags only,True,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_internal_multiflag_definitions.csv
flag_week3_inactive,promo1_all_vs_promo0_all,0.3282461846384789,0.3793280328289305,-5.108184819045164,5.108184819045164,4.0,descriptive diagnostic gap among existing 17x flags only,True,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_internal_multiflag_definitions.csv
flag_only_w1,promo1_all_vs_promo0_all,0.03502626970227671,0.052321107976404206,-1.7294838274127498,1.7294838274127498,5.0,descriptive diagnostic gap among existing 17x flags only,True,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_internal_multiflag_definitions.csv
flag_genre_focused,promo1_all_vs_promo0_all,0.18038528896672504,0.19440882277507054,-1.4023533808345507,1.4023533808345507,6.0,descriptive diagnostic gap among existing 17x flags only,True,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_internal_multiflag_definitions.csv
flag_low_activity,promo1_all_vs_promo0_all,0.5081310983237428,0.5211592716081046,-1.3028173284361788,1.3028173284361788,7.0,descriptive diagnostic gap among existing 17x flags only,True,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_internal_multiflag_definitions.csv
flag_old_movie_oriented,promo1_all_vs_promo0_all,0.08256192144108081,0.09412669915362913,-1.1564777712548324,1.1564777712548324,8.0,descriptive diagnostic gap among existing 17x flags only,True,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_internal_multiflag_definitions.csv
flag_high_risk_top20,promo1_all_vs_promo0_all,0.010007505629221916,0.001538856116953065,0.8468649512268851,0.8468649512268851,9.0,descriptive diagnostic gap among existing 17x flags only,True,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_internal_multiflag_definitions.csv
flag_heavy_user,promo1_all_vs_promo0_all,0.3089817363022267,0.30443703513721465,0.4544701165012044,0.4544701165012044,10.0,descriptive diagnostic gap among existing 17x flags only,True,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_internal_multiflag_definitions.csv
