feature_name,feature_family,comparison,group_a_n,group_b_n,group_a_mean,group_b_mean,group_a_median,group_b_median,mean_difference,median_difference,standardized_effect_size_if_valid,missing_rate_group_a,missing_rate_group_b,rank_by_abs_effect,policy_caveat,source_file
recency,retention_change,promo0_churn_vs_promo0_repurchase,497,3402,11.579476861167002,6.7936507936507935,14.0,4.0,4.785826067516209,10.0,0.6475309702250326,0.0,0.0,1.0,existing approved behavior feature diagnostic only,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segmentation_base_datamart.csv
genre_diversity_count,content_proxy,promo0_churn_vs_promo0_repurchase,497,3402,1.5533199195171026,2.7066431510875955,1.0,2.0,-1.1533232315704929,-1.0,-0.5777734039332301,0.0,0.0,2.0,Movie_Master mapping proxy; descriptive only,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segmentation_base_datamart.csv
watch_days,usage_behavior,promo0_churn_vs_promo0_repurchase,497,3402,1.8329979879275653,3.3077601410934743,1.0,3.0,-1.474762153165909,-2.0,-0.5278471681578024,0.0,0.0,3.0,existing approved behavior feature diagnostic only,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segmentation_base_datamart.csv
active_ratio,usage_behavior,promo0_churn_vs_promo0_repurchase,497,3402,0.08728553521126761,0.1575122533803645,0.047619,0.142857,-0.0702267181690969,-0.09523800000000002,-0.5278470438871122,0.0,0.0,4.0,existing approved behavior feature diagnostic only,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segmentation_base_datamart.csv
watch_time_min_w2,usage_behavior,promo0_churn_vs_promo0_repurchase,497,3402,33.34004024144869,120.27042915931804,0.0,37.0,-86.93038891786935,-37.0,-0.4902092985946392,0.0,0.0,5.0,existing approved behavior feature diagnostic only,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segmentation_base_datamart.csv
watch_session_w2,usage_behavior,promo0_churn_vs_promo0_repurchase,497,3402,0.8048289738430584,2.516460905349794,0.0,1.0,-1.7116319315067359,-1.0,-0.48869284944245617,0.0,0.0,6.0,existing approved behavior feature diagnostic only,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segmentation_base_datamart.csv
total_watch_count,usage_behavior,promo0_churn_vs_promo0_repurchase,497,3402,3.2474849094567406,6.363609641387419,2.0,4.0,-3.1161247319306784,-2.0,-0.4527194640910014,0.0,0.0,7.0,existing approved behavior feature diagnostic only,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segmentation_base_datamart.csv
total_watch_time_min,usage_behavior,promo0_churn_vs_promo0_repurchase,497,3402,130.82897384305835,285.25955320399765,32.0,141.0,-154.4305793609393,-109.0,-0.43758833909430017,0.0,0.0,8.0,existing approved behavior feature diagnostic only,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segmentation_base_datamart.csv
diff_between_w2_w1,retention_change,promo0_churn_vs_promo0_repurchase,497,3402,-31.134808853118713,44.74074074074074,0.0,0.0,-75.87554959385946,0.0,-0.41021953318051635,0.0,0.0,9.0,existing approved behavior feature diagnostic only,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segmentation_base_datamart.csv
watch_time_min_w3,usage_behavior,promo0_churn_vs_promo0_repurchase,497,3402,33.014084507042256,89.45943562610229,0.0,22.0,-56.445351119060035,-22.0,-0.40585854639781704,0.0,0.0,10.0,existing approved behavior feature diagnostic only,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segmentation_base_datamart.csv
watch_session_w3,usage_behavior,promo0_churn_vs_promo0_repurchase,497,3402,1.056338028169014,2.163433274544386,0.0,1.0,-1.1070952463753718,-1.0,-0.3935848729552165,0.0,0.0,11.0,existing approved behavior feature diagnostic only,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segmentation_base_datamart.csv
retention_w2_ratio,retention_change,promo0_churn_vs_promo0_repurchase,497,3402,7.020580941649899,43.24211241416814,1.0,1.0,-36.221531472518244,0.0,-0.3466366233612073,0.0,0.0,12.0,existing approved behavior feature diagnostic only,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segmentation_base_datamart.csv
max_genre_ratio,content_proxy,promo0_churn_vs_promo0_repurchase,497,3402,0.49847406237424546,0.5814117239858907,0.5375,0.581418,-0.08293766161164523,-0.04391800000000001,-0.2430078950764514,0.0,0.0,13.0,Movie_Master mapping proxy; descriptive only,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segmentation_base_datamart.csv
diff_between_w3_w2,retention_change,promo0_churn_vs_promo0_repurchase,497,3402,-0.32595573440643866,-30.810993533215754,0.0,0.0,30.485037798809316,0.0,0.17480679316027956,0.0,0.0,14.0,existing approved behavior feature diagnostic only,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segmentation_base_datamart.csv
old_movie_ratio_5y,content_proxy,promo0_churn_vs_promo0_repurchase,497,3402,0.08782169416498993,0.11931843121693121,0.0,0.0,-0.03149673705194128,0.0,-0.14763389763381146,0.0,0.0,15.0,Movie_Master mapping proxy; descriptive only,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segmentation_base_datamart.csv
watch_session_w1,usage_behavior,promo0_churn_vs_promo0_repurchase,497,3402,1.386317907444668,1.6837154614932393,0.0,0.0,-0.29739755404857116,0.0,-0.09749978065647996,0.0,0.0,16.0,existing approved behavior feature diagnostic only,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segmentation_base_datamart.csv
watch_ratio_under_5m,short_watch_ratio,promo0_churn_vs_promo0_repurchase,497,3402,0.22195208853118711,0.24504240417401527,0.0,0.166667,-0.023090315642828152,-0.166667,-0.08138455662072243,0.0,0.0,17.0,existing approved behavior feature diagnostic only,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segmentation_base_datamart.csv
watch_time_min_w1,usage_behavior,promo0_churn_vs_promo0_repurchase,497,3402,64.4748490945674,75.52968841857731,0.0,0.0,-11.054839324009905,0.0,-0.07087418956066634,0.0,0.0,18.0,existing approved behavior feature diagnostic only,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segmentation_base_datamart.csv
watch_ratio_under_1m,short_watch_ratio,promo0_churn_vs_promo0_repurchase,497,3402,0.146186138832998,0.15726435596707822,0.0,0.0,-0.01107821713408022,0.0,-0.05013877666513585,0.0,0.0,19.0,existing approved behavior feature diagnostic only,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segmentation_base_datamart.csv
