chart_id,series,category,value,unit,source_file,interpretation_limit
figure_01_S7_promo_churn_rate_comparison,observed_churn_rate,promo0_non100won,0.12746858168761221,rate,03_S7_promo_gap_summary.csv,"observed only, not causal"
figure_01_S7_promo_churn_rate_comparison,observed_churn_rate,promo1_100won,0.1906429822366775,rate,03_S7_promo_gap_summary.csv,"observed only, not causal"
figure_02_S7_promo_outcome_4cell_rows,rows,promo0_non100won__churn,497.0,rows,02_S7_promo_outcome_4cell_summary.csv,row-level subscription-event count
figure_02_S7_promo_outcome_4cell_rows,rows,promo0_non100won__repurchase,3402.0,rows,02_S7_promo_outcome_4cell_summary.csv,row-level subscription-event count
figure_02_S7_promo_outcome_4cell_rows,rows,promo1_100won__churn,762.0,rows,02_S7_promo_outcome_4cell_summary.csv,row-level subscription-event count
figure_02_S7_promo_outcome_4cell_rows,rows,promo1_100won__repurchase,3235.0,rows,02_S7_promo_outcome_4cell_summary.csv,row-level subscription-event count
figure_03_S7_top_existing_feature_gaps,promo1_churn_vs_promo1_repurchase,recency,0.5960619891023544,cohens_d,08_S7_existing_numeric_feature_profile.csv,descriptive effect size only
figure_03_S7_top_existing_feature_gaps,promo1_churn_vs_promo1_repurchase,genre_diversity_count,-0.5247503022022855,cohens_d,08_S7_existing_numeric_feature_profile.csv,descriptive effect size only
figure_03_S7_top_existing_feature_gaps,promo1_churn_vs_promo1_repurchase,watch_days,-0.5175703185685553,cohens_d,08_S7_existing_numeric_feature_profile.csv,descriptive effect size only
figure_03_S7_top_existing_feature_gaps,promo1_churn_vs_promo1_repurchase,active_ratio,-0.517570144449867,cohens_d,08_S7_existing_numeric_feature_profile.csv,descriptive effect size only
figure_03_S7_top_existing_feature_gaps,promo1_churn_vs_promo1_repurchase,watch_time_min_w2,-0.4829877998421125,cohens_d,08_S7_existing_numeric_feature_profile.csv,descriptive effect size only
figure_04_S7_existing_flag_gap_heatmap,promo1_churn_vs_promo1_repurchase,flag_retention_decay,-32.461268848349135,percentage_point,05_S7_existing_flag_gap_ranking.csv,existing flag gap only
figure_04_S7_existing_flag_gap_heatmap,promo1_churn_vs_promo1_repurchase,flag_retention_stable,32.461268848349135,percentage_point,05_S7_existing_flag_gap_ranking.csv,existing flag gap only
figure_04_S7_existing_flag_gap_heatmap,promo1_churn_vs_promo1_repurchase,flag_week3_drop,-22.100467735196162,percentage_point,05_S7_existing_flag_gap_ranking.csv,existing flag gap only
figure_04_S7_existing_flag_gap_heatmap,promo1_churn_vs_promo1_repurchase,flag_low_activity,21.69573277837952,percentage_point,05_S7_existing_flag_gap_ranking.csv,existing flag gap only
figure_04_S7_existing_flag_gap_heatmap,promo1_churn_vs_promo1_repurchase,flag_week3_inactive,20.08600161455861,percentage_point,05_S7_existing_flag_gap_ranking.csv,existing flag gap only
figure_05_S7_rule_near_miss_summary,near_miss_rows,content_preference_target_candidate,7896.0,rows,07_S7_rule_near_miss_patterns.csv,near-miss diagnostic only
figure_05_S7_rule_near_miss_summary,near_miss_rows,high_risk_low_activity,4109.0,rows,07_S7_rule_near_miss_patterns.csv,near-miss diagnostic only
figure_05_S7_rule_near_miss_summary,near_miss_rows,high_risk_only_w1_or_cold_start_weak,3661.0,rows,07_S7_rule_near_miss_patterns.csv,near-miss diagnostic only
figure_05_S7_rule_near_miss_summary,near_miss_rows,high_risk_week3_inactive_or_drop,5193.0,rows,07_S7_rule_near_miss_patterns.csv,near-miss diagnostic only
figure_05_S7_rule_near_miss_summary,near_miss_rows,medium_risk_retention_decay,7850.0,rows,07_S7_rule_near_miss_patterns.csv,near-miss diagnostic only
