zip_member,source_path,exists,size,sha256
S7_residual_promo_decomposition_diagnostic_260522.ipynb,FINAL\S7_residual_promo_decomposition_diagnostic_260522\S7_residual_promo_decomposition_diagnostic_260522.ipynb,True,81647,384165f2ed02e360d1312c8aa50881cfcdc7a92eb8182a4cb5ff46adf462e8a3
00_input_basis_resolution.csv,FINAL\S7_residual_promo_decomposition_diagnostic_260522\00_input_basis_resolution.csv,True,5341,75e6471de92f468557b603f400034a6993c76c4486a643ca8e3bd2b98074c42b
00_basis_conflict_note.md,FINAL\S7_residual_promo_decomposition_diagnostic_260522\00_basis_conflict_note.md,True,7361,b45c4d7d069b3215ad20ca353b236ecc7ecbd51172a491138512166cebdc5b51
01_S7_definition_and_residual_structure.md,FINAL\S7_residual_promo_decomposition_diagnostic_260522\01_S7_definition_and_residual_structure.md,True,2851,cf087e4982d0b8e902b834e5d2cefdb16b30e28463097fad41b1b830c87481a9
01_S7_row_inventory.csv,FINAL\S7_residual_promo_decomposition_diagnostic_260522\01_S7_row_inventory.csv,True,503,d8c3d4869208c2f40e7944a2f3db68edfdd8416527254b9aaaf5b108aae58ee4
02_S7_promo_outcome_4cell_summary.csv,FINAL\S7_residual_promo_decomposition_diagnostic_260522\02_S7_promo_outcome_4cell_summary.csv,True,1145,0e4af13174b93c74ae5ac2d7f3b9f5dafef628c14e5dce3532f5e5d952c30a04
03_S7_promo_gap_summary.csv,FINAL\S7_residual_promo_decomposition_diagnostic_260522\03_S7_promo_gap_summary.csv,True,3168,00de27de41787f525d09eb3bc6571817fe0acf26f3e636812e5b8388bd8e3630
04_S7_existing_flag_distribution_by_promo_outcome.csv,FINAL\S7_residual_promo_decomposition_diagnostic_260522\04_S7_existing_flag_distribution_by_promo_outcome.csv,True,17266,08119b15999eab4615fcc17df2e9aa296ffffd01eda015ca69511014c1cc45cb
05_S7_existing_flag_gap_ranking.csv,FINAL\S7_residual_promo_decomposition_diagnostic_260522\05_S7_existing_flag_gap_ranking.csv,True,17616,231d5647abd2b4f79412edb34b4e3066a1764a474ef642dddc12172b784fcc8a
06_S7_rule_component_coverage.csv,FINAL\S7_residual_promo_decomposition_diagnostic_260522\06_S7_rule_component_coverage.csv,True,15569,b86f53508df0774176d31bd9a78b8cf663365e7b93a6518d21f2d8a9362a2578
07_S7_rule_near_miss_patterns.csv,FINAL\S7_residual_promo_decomposition_diagnostic_260522\07_S7_rule_near_miss_patterns.csv,True,12239,7d84228a560c2b18e349ca406e7522ec1134fd9a91558abf22f6120b5e4b21ea
08_S7_existing_numeric_feature_profile.csv,FINAL\S7_residual_promo_decomposition_diagnostic_260522\08_S7_existing_numeric_feature_profile.csv,True,27710,d732f11ed8947e77e613f0419878f10150d9f78689ed0a80e27bca0e304dc442
09_S7_existing_binary_categorical_profile.csv,FINAL\S7_residual_promo_decomposition_diagnostic_260522\09_S7_existing_binary_categorical_profile.csv,True,19656,f6a215fa6a6f013e80466259355eb026e13ab272dc31af47be3942c568cfa226
10_S7_demographic_action_layer_descriptive.csv,FINAL\S7_residual_promo_decomposition_diagnostic_260522\10_S7_demographic_action_layer_descriptive.csv,True,9801,bf93b77a44a09b799040fa454cdf27259d7c480a6f0a18b921fb2b60d8505713
11_S7_decomposition_decision_evidence_table.csv,FINAL\S7_residual_promo_decomposition_diagnostic_260522\11_S7_decomposition_decision_evidence_table.csv,True,2726,f77b0032d60d87cfab34cce71dba7b02231223c47ce73ba7e59cf03c8a4fcb4e
12_S7_chart_ready_summary.csv,FINAL\S7_residual_promo_decomposition_diagnostic_260522\12_S7_chart_ready_summary.csv,True,3667,f3b4c8173d816c30c936f9d2416ffee580f25cd696b052922e9f08a30767cbb9
figure_01_S7_promo_churn_rate_comparison.png,FINAL\S7_residual_promo_decomposition_diagnostic_260522\figure_01_S7_promo_churn_rate_comparison.png,True,33859,deecd11320df83b4fe70943cc941ee03f336d18e45309637982adc9e7b4d2d4a
figure_02_S7_promo_outcome_4cell_rows.png,FINAL\S7_residual_promo_decomposition_diagnostic_260522\figure_02_S7_promo_outcome_4cell_rows.png,True,33933,6e7237ae64519d8a37dbd0ccf93e8c407e7e627f00de30899e54c32e1cb0c522
figure_03_S7_top_existing_feature_gaps.png,FINAL\S7_residual_promo_decomposition_diagnostic_260522\figure_03_S7_top_existing_feature_gaps.png,True,34814,288af58edf76ed409a45cae44bd84441caa1664fde23608e74b1faed6508daf2
figure_04_S7_existing_flag_gap_heatmap.png,FINAL\S7_residual_promo_decomposition_diagnostic_260522\figure_04_S7_existing_flag_gap_heatmap.png,True,120116,e9a287eae245e6631c525f289b4db229d00f6af16a45cb5e9425e7514d6125f9
