file_path,file_role,sha256_before,sha256_after,mtime_before,mtime_after,size_before,size_after,status
FINAL\final_note.md,FINAL final note,82df16b39a648bef090c66e811d54015b592fcbab31da7739b3067ccdaae1043,82df16b39a648bef090c66e811d54015b592fcbab31da7739b3067ccdaae1043,2026-05-21T23:18:11,2026-05-21T23:18:11,17676,17676,unchanged
FINAL\project_execution_plan_260521.md,FINAL execution plan,6ce5179663a6c43c5a8a813dfc3de36bd89b0e6840ebc8a029c222851ce68a4c,6ce5179663a6c43c5a8a813dfc3de36bd89b0e6840ebc8a029c222851ce68a4c,2026-05-21T23:28:22,2026-05-21T23:28:22,28598,28598,unchanged
park.ingyeom\reports\segments\17x_segmentation_design_260516\README.md,park 17x README,8852c27b1b174c6751fcc2ab59f696159667ed6fc1f15eaf29d8a1766b428332,8852c27b1b174c6751fcc2ab59f696159667ed6fc1f15eaf29d8a1766b428332,2026-05-19T19:11:53,2026-05-19T19:11:53,1391,1391,unchanged
park.ingyeom\notebook\17x_segmentation_design_260516\17x_segmentation_design_260516.ipynb,park 17x notebook source,991394a545327de3a0c2c848ed7c0e0e1ec003e1979309ed02678ea5b677bed8,991394a545327de3a0c2c848ed7c0e0e1ec003e1979309ed02678ea5b677bed8,2026-05-19T19:11:52,2026-05-19T19:11:52,56630,56630,unchanged
park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_representative_segment_assignment.csv,park 17x representative assignment,4235b44b966cb324978352d0b8b480b2f9597e3d9ab058a431d3297af9ab3f62,4235b44b966cb324978352d0b8b480b2f9597e3d9ab058a431d3297af9ab3f62,2026-05-19T19:11:53,2026-05-19T19:11:53,6879330,6879330,unchanged
park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_representative_segment_rules.csv,park 17x representative rules,7643503994d9ac3b3c75231c3b83a986a6790eb5a785eca650c1053c8a2903a5,7643503994d9ac3b3c75231c3b83a986a6790eb5a785eca650c1053c8a2903a5,2026-05-19T19:11:53,2026-05-19T19:11:53,1474,1474,unchanged
park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_internal_multiflag_definitions.csv,park 17x internal multiflag definitions,5daa58acac5f8917cbfb20f594e661ff5504f893df8dbc8dac284fcc8b3f1c3b,5daa58acac5f8917cbfb20f594e661ff5504f893df8dbc8dac284fcc8b3f1c3b,2026-05-19T19:11:53,2026-05-19T19:11:53,2788,2788,unchanged
park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_internal_multiflag_assignment.csv,park 17x internal multiflag assignment,a58fde3397676bb71d2bdc9dc81b8607a30adc53fc65939c3ba76d5060427576,a58fde3397676bb71d2bdc9dc81b8607a30adc53fc65939c3ba76d5060427576,2026-05-19T19:11:53,2026-05-19T19:11:53,3866514,3866514,unchanged
park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segment_summary.csv,park 17x segment summary,6fcf17ac37925a04a7f143cbae3062ee12bf0e701f788d0d638754bf0e174125,6fcf17ac37925a04a7f143cbae3062ee12bf0e701f788d0d638754bf0e174125,2026-05-19T19:11:53,2026-05-19T19:11:53,2467,2467,unchanged
park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segmentation_base_datamart.csv,park 17x basis datamart,0554f0eda743c525ecf8edd777afe04e0d15318b60dd6a3959b3a06f826a88cd,0554f0eda743c525ecf8edd777afe04e0d15318b60dd6a3959b3a06f826a88cd,2026-05-19T19:11:53,2026-05-19T19:11:53,8805920,8805920,unchanged
park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_score_source_selection.csv,park 17x score source selection,43351609814c1529d6930fcc2f51e9dbb50900ce08c35e5e0a7fb7902804a95b,43351609814c1529d6930fcc2f51e9dbb50900ce08c35e5e0a7fb7902804a95b,2026-05-19T19:11:53,2026-05-19T19:11:53,1909,1909,unchanged
park.ingyeom\reports\audits\06x_dataset_generation_260515\06x_expanded_dataset.csv,06x expanded dataset,7044e2b6d6a6cbd4877c3d342bd9fd286c7a4241d074d26b02e29af4ab686364,7044e2b6d6a6cbd4877c3d342bd9fd286c7a4241d074d26b02e29af4ab686364,2026-05-19T19:11:52,2026-05-19T19:11:52,9983123,9983123,unchanged
park.ingyeom\reports\audits\15x_payment_device_sensitivity_260516\15x_model_summary_by_scope.csv,15x model summary by scope,f681eda5bb6abd5ca0b1499c5a26f9be725327d79df92991f1587693a8664a4f,f681eda5bb6abd5ca0b1499c5a26f9be725327d79df92991f1587693a8664a4f,2026-05-19T19:11:52,2026-05-19T19:11:52,2411,2411,unchanged
park.ingyeom\reports\audits\15x_payment_device_sensitivity_260516\15x_oof_predictions.csv,15x expected OOF score file,,,,,,,unchanged
park.ingyeom\reports\audits\17x_segmentation_promo_integration_audit_260521\README.md,existing promo integration audit README,7520cc54d925146d99e342a81846d773cbf299062083c86c3801fc07507a83a1,7520cc54d925146d99e342a81846d773cbf299062083c86c3801fc07507a83a1,2026-05-21T22:04:40,2026-05-21T22:04:40,7736,7736,unchanged
park.ingyeom\reports\audits\17x_segmentation_promo_integration_audit_260521\03_park_segment_promo_lift.csv,existing promo integration audit lift table,55ce0e488bcb3ef8c1b6026152dc46178a89653a24dfa90c259ee6edc88e1ac9,55ce0e488bcb3ef8c1b6026152dc46178a89653a24dfa90c259ee6edc88e1ac9,2026-05-21T22:04:40,2026-05-21T22:04:40,2053,2053,unchanged
park.ingyeom\reports\audits\17x_segmentation_promo_integration_audit_260521\04_general_observation_decomposition_audit.csv,existing promo integration audit S7 audit,b682c26661d6e6dbc74f604f76bb2dd508ddf29b14193ad4afe9adb271cf07a3,b682c26661d6e6dbc74f604f76bb2dd508ddf29b14193ad4afe9adb271cf07a3,2026-05-21T22:04:40,2026-05-21T22:04:40,9351,9351,unchanged
park.ingyeom\reports\audits\17x_segmentation_promo_integration_audit_260521\10_final_score_source_decision_audit.csv,existing promo integration score decision audit,089bc12480772bcab52d0176f3d03a8eec41c9d1903531987fe987ce63106aaa,089bc12480772bcab52d0176f3d03a8eec41c9d1903531987fe987ce63106aaa,2026-05-21T22:04:40,2026-05-21T22:04:40,4165,4165,unchanged
PUBLIC\note.md,PUBLIC note reference,b3d70c83a311fe279c58b4dc7e4e33bb81a068c60386352397d31e9ec408fd55,b3d70c83a311fe279c58b4dc7e4e33bb81a068c60386352397d31e9ec408fd55,2026-05-21T17:38:46,2026-05-21T17:38:46,136156,136156,unchanged
PUBLIC\results\17_segmentation_design_260520\promo_scope_oof_behavior_segments_hotfix_260520\17_representative_segment_assignment_hotfix.csv,PUBLIC 17 assignment reference,6dc256ba9e91973ecb5136b85b1b02ca8826ffad1397bf51821df11925df59a7,6dc256ba9e91973ecb5136b85b1b02ca8826ffad1397bf51821df11925df59a7,2026-05-21T17:37:37,2026-05-21T17:37:37,3062152,3062152,unchanged
PUBLIC\results\17_segmentation_design_260520\promo_scope_oof_behavior_segments_hotfix_260520\17_segment_summary_hotfix.csv,PUBLIC 17 summary reference,2cb97fc1908754a863f48af4e88197f88d3cc5a103f0fb382f0946efc28f2114,2cb97fc1908754a863f48af4e88197f88d3cc5a103f0fb382f0946efc28f2114,2026-05-21T14:02:45,2026-05-21T14:02:45,6924,6924,unchanged
PUBLIC\results\15_oof_score_or_sensitivity_260520\four_model_oof_scores_hotfix_260520\15_oof_score_wide.csv,PUBLIC 15 OOF wide reference,1f3af6a7d7baf8a1536f40510796b07125e8410f43bfb3dcac63f17e970ad452,1f3af6a7d7baf8a1536f40510796b07125e8410f43bfb3dcac63f17e970ad452,2026-05-21T17:37:37,2026-05-21T17:37:37,6227550,6227550,unchanged
PUBLIC\reports\business\18_business_recommendation_storyline_hotfix_260520\18_segment_visual_guide_v2_polished.html,existing HTML modification-forbidden reference,fc744468ac848680004453682e8c1376d97f33efc7413e2e87a7dbe62643b329,fc744468ac848680004453682e8c1376d97f33efc7413e2e87a7dbe62643b329,2026-05-21T17:37:37,2026-05-21T17:37:37,51223,51223,unchanged
