file_path,file_type,sha256_before,size_before,mtime_before,sha256_after,size_after,mtime_after,status,role
FINAL\final_note.md,md,82df16b39a648bef090c66e811d54015b592fcbab31da7739b3067ccdaae1043,17676,2026-05-21T23:18:11,82df16b39a648bef090c66e811d54015b592fcbab31da7739b3067ccdaae1043,17676,2026-05-21T23:18:11,PASS,read_source_no_modification
FINAL\project_execution_plan_260521.md,md,6ce5179663a6c43c5a8a813dfc3de36bd89b0e6840ebc8a029c222851ce68a4c,28598,2026-05-21T23:28:22,6ce5179663a6c43c5a8a813dfc3de36bd89b0e6840ebc8a029c222851ce68a4c,28598,2026-05-21T23:28:22,PASS,read_source_no_modification
park.ingyeom\note.md,md,a59a63ed79c2b7c2e055ee64853d8cee1fea272b46c3dc1fc5cac6ad5afa1564,205613,2026-05-19T19:11:52,a59a63ed79c2b7c2e055ee64853d8cee1fea272b46c3dc1fc5cac6ad5afa1564,205613,2026-05-19T19:11:52,PASS,read_source_no_modification
PUBLIC\note.md,md,b3d70c83a311fe279c58b4dc7e4e33bb81a068c60386352397d31e9ec408fd55,136156,2026-05-21T17:38:46,b3d70c83a311fe279c58b4dc7e4e33bb81a068c60386352397d31e9ec408fd55,136156,2026-05-21T17:38:46,PASS,read_source_no_modification
park.ingyeom\reports\audits\01_data_contract_260513\01_data_contract_summary.csv,csv,92ee11382cbc7b3cdd2862fba3368b981f42ccc4a3600fa755761455583994d9,490,2026-05-19T19:11:52,92ee11382cbc7b3cdd2862fba3368b981f42ccc4a3600fa755761455583994d9,490,2026-05-19T19:11:52,PASS,read_source_no_modification
park.ingyeom\reports\audits\01_data_contract_260513\01_column_inventory.csv,csv,e9cfeac09416ff89212442e444815bf37424eb188d41e7f0323177e2d16190c1,3147,2026-05-19T19:11:52,e9cfeac09416ff89212442e444815bf37424eb188d41e7f0323177e2d16190c1,3147,2026-05-19T19:11:52,PASS,read_source_no_modification
park.ingyeom\reports\audits\01_data_contract_260513\01_duration_anomaly_audit.csv,csv,861e293e691cea74ddf2074ad2abc4f67d2f73b83e25ea7608d8c3348159c1eb,798,2026-05-19T19:11:52,861e293e691cea74ddf2074ad2abc4f67d2f73b83e25ea7608d8c3348159c1eb,798,2026-05-19T19:11:52,PASS,read_source_no_modification
park.ingyeom\reports\audits\01_data_contract_260513\01_user_key_duplicate_audit.csv,csv,1d87114ea3427b7f33a3d8e48e1229df087faab7c378241157832a2ee18f4a70,452,2026-05-19T19:11:52,1d87114ea3427b7f33a3d8e48e1229df087faab7c378241157832a2ee18f4a70,452,2026-05-19T19:11:52,PASS,read_source_no_modification
park.ingyeom\reports\audits\02_target_score_orientation_260513\02_target_contract.csv,csv,fc96e95d1aa0eff0f46888888d541d9e020822a4d1aa7757ba6b2055475a5412,633,2026-05-19T19:11:52,fc96e95d1aa0eff0f46888888d541d9e020822a4d1aa7757ba6b2055475a5412,633,2026-05-19T19:11:52,PASS,read_source_no_modification
park.ingyeom\reports\audits\02_target_score_orientation_260513\02_analysis_unit_contract.csv,csv,65e6761ffbb29fd2e471e08acb6fee5b9f713924f18ce38369e18e333769de72,733,2026-05-19T19:11:52,65e6761ffbb29fd2e471e08acb6fee5b9f713924f18ce38369e18e333769de72,733,2026-05-19T19:11:52,PASS,read_source_no_modification
park.ingyeom\reports\audits\03_observation_window_policy_260513\03_observation_window_policy.csv,csv,df07acc2e6b252fd1951de2a441bdb408a0c6ba8ec74254a1efea16ffbaa9cc3,919,2026-05-19T19:11:52,df07acc2e6b252fd1951de2a441bdb408a0c6ba8ec74254a1efea16ffbaa9cc3,919,2026-05-19T19:11:52,PASS,read_source_no_modification
park.ingyeom\reports\audits\04_promotion_split_260513\04_promotion_split_contract.csv,csv,699013a048d161b252c1abb3fa0338223b71e30ed4b191970127ac9d500095a4,499,2026-05-19T19:11:52,699013a048d161b252c1abb3fa0338223b71e30ed4b191970127ac9d500095a4,499,2026-05-19T19:11:52,PASS,read_source_no_modification
park.ingyeom\reports\audits\05x_feature_contract_rebuild_260515\05x_conservative_safe_22_contract.csv,csv,648ecb0a719837af6fa2c6ec31accd6affb8d5601bf85b124f7b5aa20fe93a0e,7075,2026-05-19T19:11:52,648ecb0a719837af6fa2c6ec31accd6affb8d5601bf85b124f7b5aa20fe93a0e,7075,2026-05-19T19:11:52,PASS,read_source_no_modification
park.ingyeom\reports\audits\05x_feature_contract_rebuild_260515\05x_expanded_feature_set_candidate_contract.csv,csv,e3af7606486c12903fa0849a74f9d2c049f1904515161cca6013207d604dfb29,36412,2026-05-19T19:11:52,e3af7606486c12903fa0849a74f9d2c049f1904515161cca6013207d604dfb29,36412,2026-05-19T19:11:52,PASS,read_source_no_modification
park.ingyeom\reports\audits\05y_feature_approval_and_dictionary_patch2_260515\05y_patch2_conservative_safe_feature_contract.csv,csv,11fbb470eb799bf28658ba54d8b59164a6611a349e8887d6ceabab35db70d6db,3432,2026-05-19T19:11:52,11fbb470eb799bf28658ba54d8b59164a6611a349e8887d6ceabab35db70d6db,3432,2026-05-19T19:11:52,PASS,read_source_no_modification
park.ingyeom\reports\audits\05y_feature_approval_and_dictionary_patch2_260515\05y_patch2_expanded_feature_contract.csv,csv,b217aaa55596bdbea70c68340754cae394c1e45a0106f8290578000a1a65ef81,17512,2026-05-19T19:11:52,b217aaa55596bdbea70c68340754cae394c1e45a0106f8290578000a1a65ef81,17512,2026-05-19T19:11:52,PASS,read_source_no_modification
