zip_member_path,source_path,file_size
01_html_source_inventory.csv,FINAL/project_guide_v3_visual_upgrade_evidence_260521/01_html_source_inventory.csv,1490
02_reusable_component_audit.csv,FINAL/project_guide_v3_visual_upgrade_evidence_260521/02_reusable_component_audit.csv,4331
03_legacy_conflict_audit.csv,FINAL/project_guide_v3_visual_upgrade_evidence_260521/03_legacy_conflict_audit.csv,15851
04_final_v3_chart_registry.csv,FINAL/project_guide_v3_visual_upgrade_evidence_260521/04_final_v3_chart_registry.csv,4595
05_dataset_feature_chart_ready.csv,FINAL/project_guide_v3_visual_upgrade_evidence_260521/05_dataset_feature_chart_ready.csv,5957
06_AARRR_chart_ready.csv,FINAL/project_guide_v3_visual_upgrade_evidence_260521/06_AARRR_chart_ready.csv,1378
07_segment_chart_ready.csv,FINAL/project_guide_v3_visual_upgrade_evidence_260521/07_segment_chart_ready.csv,3265
08_action_tier_chart_ready.csv,FINAL/project_guide_v3_visual_upgrade_evidence_260521/08_action_tier_chart_ready.csv,1531
09_SHAP_chart_ready.csv,FINAL/project_guide_v3_visual_upgrade_evidence_260521/09_SHAP_chart_ready.csv,5316
10_SHAP_figure_asset_manifest.csv,FINAL/project_guide_v3_visual_upgrade_evidence_260521/10_SHAP_figure_asset_manifest.csv,5477
11_CSS_layout_pattern_memo.md,FINAL/project_guide_v3_visual_upgrade_evidence_260521/11_CSS_layout_pattern_memo.md,2195
12_final_v3_visual_upgrade_recommendation.md,FINAL/project_guide_v3_visual_upgrade_evidence_260521/12_final_v3_visual_upgrade_recommendation.md,1934
assets/shap/16x_fig_bar_nonpromotion_only.png,FINAL/project_guide_v3_visual_upgrade_evidence_260521/assets/shap/16x_fig_bar_nonpromotion_only.png,141725
assets/shap/16x_fig_bar_overall_with_promotion.png,FINAL/project_guide_v3_visual_upgrade_evidence_260521/assets/shap/16x_fig_bar_overall_with_promotion.png,142065
assets/shap/16x_fig_bar_overall_without_promotion.png,FINAL/project_guide_v3_visual_upgrade_evidence_260521/assets/shap/16x_fig_bar_overall_without_promotion.png,141520
assets/shap/16x_fig_bar_promotion_only.png,FINAL/project_guide_v3_visual_upgrade_evidence_260521/assets/shap/16x_fig_bar_promotion_only.png,140578
assets/shap/16x_fig_beeswarm_nonpromotion_only.png,FINAL/project_guide_v3_visual_upgrade_evidence_260521/assets/shap/16x_fig_beeswarm_nonpromotion_only.png,209609
assets/shap/16x_fig_beeswarm_overall_with_promotion.png,FINAL/project_guide_v3_visual_upgrade_evidence_260521/assets/shap/16x_fig_beeswarm_overall_with_promotion.png,244523
assets/shap/16x_fig_beeswarm_overall_without_promotion.png,FINAL/project_guide_v3_visual_upgrade_evidence_260521/assets/shap/16x_fig_beeswarm_overall_without_promotion.png,244445
assets/shap/16x_fig_beeswarm_promotion_only.png,FINAL/project_guide_v3_visual_upgrade_evidence_260521/assets/shap/16x_fig_beeswarm_promotion_only.png,263744
assets/shap/16x_fig_family_bar_nonpromotion_only.png,FINAL/project_guide_v3_visual_upgrade_evidence_260521/assets/shap/16x_fig_family_bar_nonpromotion_only.png,47420
assets/shap/16x_fig_family_bar_overall_with_promotion.png,FINAL/project_guide_v3_visual_upgrade_evidence_260521/assets/shap/16x_fig_family_bar_overall_with_promotion.png,51640
assets/shap/16x_fig_family_bar_overall_without_promotion.png,FINAL/project_guide_v3_visual_upgrade_evidence_260521/assets/shap/16x_fig_family_bar_overall_without_promotion.png,48312
assets/shap/16x_fig_family_bar_promotion_only.png,FINAL/project_guide_v3_visual_upgrade_evidence_260521/assets/shap/16x_fig_family_bar_promotion_only.png,47471
assets/shap/16x_fig_redundancy_family_SHAP_importance.png,FINAL/project_guide_v3_visual_upgrade_evidence_260521/assets/shap/16x_fig_redundancy_family_SHAP_importance.png,106840
assets/shap/16x_fig_scope_top10_SHAP_comparison.png,FINAL/project_guide_v3_visual_upgrade_evidence_260521/assets/shap/16x_fig_scope_top10_SHAP_comparison.png,91783
final_checks.csv,FINAL/project_guide_v3_visual_upgrade_evidence_260521/final_checks.csv,1431
generate_visual_upgrade_evidence.py,FINAL/project_guide_v3_visual_upgrade_evidence_260521/generate_visual_upgrade_evidence.py,47664
README.md,FINAL/project_guide_v3_visual_upgrade_evidence_260521/README.md,2650
review_zip_inventory.csv,FINAL/project_guide_v3_visual_upgrade_evidence_260521/review_zip_inventory.csv,pending
source_fingerprint_before_after.csv,FINAL/project_guide_v3_visual_upgrade_evidence_260521/source_fingerprint_before_after.csv,11636
unanswered_questions_for_chatgpt.md,FINAL/project_guide_v3_visual_upgrade_evidence_260521/unanswered_questions_for_chatgpt.md,1003
