subgroup_type,subgroup_value,rows,share_within_general,repurchase_rate,churn_rate,mean_churn_risk,promo1_share,age_group_distribution_summary,gender_distribution_summary,action_implication,recommendation
promo,promo1_100won,3997,0.5062056737588653,0.8093570177633225,0.19064298223667753,0.19176445783287155,1.0,10: 2.4%; 20: 41.4%; 30: 28.6%; 40: 16.5%; 50: 8.1%; 60: 2.6%; 70: 0.5%,"female 61.6%, male 38.3%, unknown_or_N_proxy 0.1%",100원딜과 비100원딜의 관찰적 차이를 비교하되 인과 표현은 금지한다.,promo1은 100원딜 맥락으로 해석하고 promo0는 비교 reference로만 사용
promo,promo0_non100won_reference,3899,0.49379432624113473,0.8725314183123878,0.12746858168761221,0.1454053495920612,0.0,10: 1.1%; 20: 21.1%; 30: 19.5%; 40: 53.0%; 50: 3.9%; 60: 1.2%; 70: 0.3%,"female 44.8%, male 22.9%, unknown_or_N_proxy 32.3%",100원딜과 비100원딜의 관찰적 차이를 비교하되 인과 표현은 금지한다.,promo1은 100원딜 맥락으로 해석하고 promo0는 비교 reference로만 사용
age_group,10,136,0.017223910840932118,0.8382352941176471,0.16176470588235292,0.18912124733885882,0.6911764705882353,10: 100.0%,"female 65.4%, male 34.6%, unknown_or_N_proxy 0.0%",segment rule이 아니라 메시지 개인화 layer로만 사용한다.,개인화 문구 후보로만 유지; segment rule에는 사용하지 않음
age_group,20,2474,0.31332320162107397,0.8290218270008084,0.1709781729991916,0.17431357621192398,0.6681487469684722,20: 100.0%,"female 66.4%, male 32.9%, unknown_or_N_proxy 0.7%",segment rule이 아니라 메시지 개인화 layer로만 사용한다.,개인화 문구 후보로만 유지; segment rule에는 사용하지 않음
age_group,30,1906,0.24138804457953394,0.8368310598111228,0.16316894018887718,0.17806294979425116,0.6007345225603358,30: 100.0%,"female 59.2%, male 40.1%, unknown_or_N_proxy 0.6%",segment rule이 아니라 메시지 개인화 layer로만 사용한다.,개인화 문구 후보로만 유지; segment rule에는 사용하지 않음
age_group,40,2724,0.34498480243161095,0.8564610866372981,0.14353891336270186,0.15483001999145932,0.24192364170337738,40: 100.0%,"female 35.4%, male 19.5%, unknown_or_N_proxy 45.1%",segment rule이 아니라 메시지 개인화 layer로만 사용한다.,개인화 문구 후보로만 유지; segment rule에는 사용하지 않음
age_group,50,475,0.060157041540020266,0.8336842105263158,0.1663157894736842,0.17154267090393074,0.68,50: 100.0%,"female 59.2%, male 39.8%, unknown_or_N_proxy 1.1%",segment rule이 아니라 메시지 개인화 layer로만 사용한다.,개인화 문구 후보로만 유지; segment rule에는 사용하지 않음
age_group,60,152,0.019250253292806486,0.8223684210526315,0.17763157894736847,0.18867344240550837,0.6907894736842105,60: 100.0%,"female 61.2%, male 38.8%, unknown_or_N_proxy 0.0%",segment rule이 아니라 메시지 개인화 layer로만 사용한다.,개인화 문구 후보로만 유지; segment rule에는 사용하지 않음
age_group,70,29,0.0036727456940222896,0.7931034482758621,0.2068965517241379,0.1772286255678307,0.6206896551724138,70: 100.0%,"female 44.8%, male 55.2%, unknown_or_N_proxy 0.0%",표본이 작으므로 발표 핵심 근거보다 monitoring 보조 지표로만 사용한다.,main storyline 제외; appendix 또는 dashboard filter 후보
gender,female,4211,0.5333080040526849,0.8411303728330563,0.15886962716694375,0.17258709252483403,0.5851341724056044,10: 2.1%; 20: 39.0%; 30: 26.8%; 40: 22.9%; 50: 6.7%; 60: 2.2%; 70: 0.3%,"female 100.0%, male 0.0%, unknown_or_N_proxy 0.0%",segment rule이 아니라 메시지 개인화 layer로만 사용한다.,개인화 문구 후보로만 유지; segment rule에는 사용하지 않음
gender,male,2422,0.3067375886524823,0.828654004954583,0.17134599504541703,0.17474668500403273,0.6321222130470685,10: 1.9%; 20: 33.6%; 30: 31.6%; 40: 21.9%; 50: 7.8%; 60: 2.4%; 70: 0.7%,"female 0.0%, male 100.0%, unknown_or_N_proxy 0.0%",segment rule이 아니라 메시지 개인화 layer로만 사용한다.,개인화 문구 후보로만 유지; segment rule에는 사용하지 않음
gender,unknown_or_N_proxy,1263,0.15995440729483282,0.8614410134600158,0.13855898653998422,0.1452234982704597,0.001583531274742676,20: 1.3%; 30: 1.0%; 40: 97.3%; 50: 0.4%,"female 0.0%, male 0.0%, unknown_or_N_proxy 100.0%",segment rule이 아니라 메시지 개인화 layer로만 사용한다.,개인화 문구 후보로만 유지; segment rule에는 사용하지 않음
is_user_verified,0,1872,0.23708206686930092,0.8712606837606838,0.12873931623931623,0.1436870039778465,0.0,10: 0.2%; 20: 3.6%; 30: 4.3%; 40: 90.5%; 50: 1.2%; 60: 0.1%,"female 21.8%, male 10.8%, unknown_or_N_proxy 67.4%",segment rule이 아니라 메시지 개인화 layer로만 사용한다.,개인화 문구 후보로만 유지; segment rule에는 사용하지 않음
is_user_verified,1,6024,0.7629179331306991,0.8310092961487384,0.16899070385126158,0.17669919066582096,0.6635126162018592,10: 2.2%; 20: 39.9%; 30: 30.3%; 40: 17.1%; 50: 7.5%; 60: 2.5%; 70: 0.5%,"female 63.1%, male 36.9%, unknown_or_N_proxy 0.0%",segment rule이 아니라 메시지 개인화 layer로만 사용한다.,개인화 문구 후보로만 유지; segment rule에는 사용하지 않음
churn_risk_decile,decile_01,14,0.0017730496453900709,0.35714285714285715,0.6428571428571428,0.805386952498362,0.9285714285714286,20: 35.7%; 30: 57.1%; 50: 7.1%,"female 57.1%, male 42.9%, unknown_or_N_proxy 0.0%",표본이 작으므로 발표 핵심 근거보다 monitoring 보조 지표로만 사용한다.,main storyline 제외; appendix 또는 dashboard filter 후보
churn_risk_decile,decile_02,32,0.004052684903748734,0.25,0.75,0.6499774251137375,0.84375,20: 31.2%; 30: 28.1%; 40: 28.1%; 50: 9.4%; 60: 3.1%,"female 68.8%, male 28.1%, unknown_or_N_proxy 3.1%",표본이 작으므로 발표 핵심 근거보다 monitoring 보조 지표로만 사용한다.,main storyline 제외; appendix 또는 dashboard filter 후보
churn_risk_decile,decile_03,754,0.09549138804457953,0.5411140583554377,0.4588859416445623,0.4756822024947562,0.6339522546419099,10: 2.5%; 20: 34.0%; 30: 25.6%; 40: 28.9%; 50: 6.8%; 60: 1.9%; 70: 0.4%,"female 56.9%, male 30.6%, unknown_or_N_proxy 12.5%",위험 점수 band별 우선순위 관찰에 사용한다. 점수는 캠페인 threshold가 아니라 OOF ranking 근거다.,residual monitoring 후보로 유지
churn_risk_decile,decile_04,1075,0.136144883485309,0.6576744186046511,0.34232558139534885,0.34228748795982666,0.7339534883720931,10: 2.0%; 20: 36.5%; 30: 28.7%; 40: 22.7%; 50: 7.0%; 60: 2.8%; 70: 0.4%,"female 55.3%, male 37.8%, unknown_or_N_proxy 6.9%",위험 점수 band별 우선순위 관찰에 사용한다. 점수는 캠페인 threshold가 아니라 OOF ranking 근거다.,residual monitoring 후보로 유지
churn_risk_decile,decile_05,1045,0.13234549138804458,0.7588516746411483,0.24114832535885167,0.23463960478795717,0.2880382775119617,10: 1.7%; 20: 23.5%; 30: 20.6%; 40: 47.1%; 50: 4.5%; 60: 2.5%; 70: 0.1%,"female 49.2%, male 26.2%, unknown_or_N_proxy 24.6%",위험 점수 band별 우선순위 관찰에 사용한다. 점수는 캠페인 threshold가 아니라 OOF ranking 근거다.,residual monitoring 후보로 유지
churn_risk_decile,decile_06,1313,0.16628672745694023,0.8789032749428789,0.1210967250571211,0.12971395053896545,0.5803503427265804,10: 1.5%; 20: 32.9%; 30: 24.3%; 40: 33.1%; 50: 5.4%; 60: 1.8%; 70: 1.1%,"female 54.9%, male 31.5%, unknown_or_N_proxy 13.6%",위험 점수 band별 우선순위 관찰에 사용한다. 점수는 캠페인 threshold가 아니라 OOF ranking 근거다.,residual monitoring 후보로 유지
churn_risk_decile,decile_07,1238,0.15678824721377912,0.9434571890145396,0.056542810985460434,0.07200609758968089,0.481421647819063,10: 1.3%; 20: 32.1%; 30: 24.8%; 40: 34.1%; 50: 6.1%; 60: 1.4%; 70: 0.2%,"female 52.8%, male 30.4%, unknown_or_N_proxy 16.8%",위험 점수 band별 우선순위 관찰에 사용한다. 점수는 캠페인 threshold가 아니라 OOF ranking 근거다.,residual monitoring 후보로 유지
churn_risk_decile,decile_08,1231,0.1559017223910841,0.9821283509341998,0.017871649065800188,0.040702240544460006,0.5012185215272137,10: 2.1%; 20: 33.5%; 30: 23.6%; 40: 32.9%; 50: 5.8%; 60: 1.9%; 70: 0.2%,"female 52.0%, male 32.0%, unknown_or_N_proxy 16.0%",위험 점수 band별 우선순위 관찰에 사용한다. 점수는 캠페인 threshold가 아니라 OOF ranking 근거다.,residual monitoring 후보로 유지
churn_risk_decile,decile_09,575,0.07282168186423506,0.9895652173913043,0.01043478260869568,0.022941081453451823,0.4052173913043478,10: 1.6%; 20: 30.8%; 30: 20.5%; 40: 40.2%; 50: 5.7%; 60: 1.0%; 70: 0.2%,"female 54.1%, male 26.8%, unknown_or_N_proxy 19.1%",위험 점수 band별 우선순위 관찰에 사용한다. 점수는 캠페인 threshold가 아니라 OOF ranking 근거다.,residual monitoring 후보로 유지
churn_risk_decile,decile_10,619,0.07839412360688956,0.9951534733441034,0.004846526655896577,0.010933664003054431,0.2924071082390953,10: 1.0%; 20: 23.4%; 30: 22.5%; 40: 43.5%; 50: 7.6%; 60: 1.9%; 70: 0.2%,"female 51.2%, male 25.7%, unknown_or_N_proxy 23.1%",위험 점수 band별 우선순위 관찰에 사용한다. 점수는 캠페인 threshold가 아니라 OOF ranking 근거다.,residual monitoring 후보로 유지
week3_usage_band,high_ge_q75_129.0,1978,0.25050658561296857,0.9211324570273003,0.07886754297269971,0.07730569117224084,0.557633973710819,10: 2.0%; 20: 33.2%; 30: 25.4%; 40: 31.0%; 50: 6.7%; 60: 1.3%; 70: 0.3%,"female 56.2%, male 30.6%, unknown_or_N_proxy 13.1%",3주차 이용 신호를 메시지 타이밍 후보로 본다. 원인으로 말하지 않는다.,day0~20 activation/retention 관찰 지표로 유지
week3_usage_band,middle_q25_q75,3127,0.39602330293819654,0.8580108730412536,0.14198912695874644,0.15843101525058242,0.5059162136232811,10: 1.7%; 20: 30.7%; 30: 23.6%; 40: 35.5%; 50: 6.2%; 60: 1.9%; 70: 0.4%,"female 52.3%, male 30.9%, unknown_or_N_proxy 16.8%",3주차 이용 신호를 메시지 타이밍 후보로 본다. 원인으로 말하지 않는다.,day0~20 activation/retention 관찰 지표로 유지
week3_usage_band,zero,2791,0.35347011144883483,0.7638839125761376,0.23611608742386236,0.2454652648477859,0.4700824077391616,10: 1.6%; 20: 30.7%; 30: 23.9%; 40: 35.8%; 50: 5.3%; 60: 2.4%; 70: 0.4%,"female 52.5%, male 30.4%, unknown_or_N_proxy 17.1%",3주차 이용 신호를 메시지 타이밍 후보로 본다. 원인으로 말하지 않는다.,day0~20 activation/retention 관찰 지표로 유지
retention_decay,0,4689,0.5938449848024316,0.763062486670932,0.23693751332906798,0.24406427260100835,0.5378545532096396,10: 2.0%; 20: 31.6%; 30: 24.2%; 40: 33.7%; 50: 6.1%; 60: 2.2%; 70: 0.3%,"female 53.4%, male 31.5%, unknown_or_N_proxy 15.1%",강한 개입보다 dashboard monitoring과 후속 rule 후보 검토가 적절하다.,residual monitoring 후보로 유지
retention_decay,1,3207,0.4061550151975684,0.95385095104459,0.046149048955410055,0.058933776673310276,0.4599314000623636,10: 1.3%; 20: 30.9%; 30: 24.0%; 40: 35.7%; 50: 5.9%; 60: 1.6%; 70: 0.5%,"female 53.2%, male 29.4%, unknown_or_N_proxy 17.4%",강한 개입보다 dashboard monitoring과 후속 rule 후보 검토가 적절하다.,residual monitoring 후보로 유지
