file_path,file_type,sha256_before,size_before,mtime_before,sha256_after,size_after,mtime_after,status,role
park.ingyeom\notebook\17x_segmentation_design_260516\17x_segmentation_design_260516.ipynb,ipynb,991394a545327de3a0c2c848ed7c0e0e1ec003e1979309ed02678ea5b677bed8,56630,2026-05-19T19:11:52,991394a545327de3a0c2c848ed7c0e0e1ec003e1979309ed02678ea5b677bed8,56630,2026-05-19T19:11:52,PASS,read_source_no_modification
park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_representative_segment_rules.csv,csv,7643503994d9ac3b3c75231c3b83a986a6790eb5a785eca650c1053c8a2903a5,1474,2026-05-19T19:11:53,7643503994d9ac3b3c75231c3b83a986a6790eb5a785eca650c1053c8a2903a5,1474,2026-05-19T19:11:53,PASS,read_source_no_modification
park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_representative_segment_assignment.csv,csv,4235b44b966cb324978352d0b8b480b2f9597e3d9ab058a431d3297af9ab3f62,6879330,2026-05-19T19:11:53,4235b44b966cb324978352d0b8b480b2f9597e3d9ab058a431d3297af9ab3f62,6879330,2026-05-19T19:11:53,PASS,read_source_no_modification
park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segment_summary.csv,csv,6fcf17ac37925a04a7f143cbae3062ee12bf0e701f788d0d638754bf0e174125,2467,2026-05-19T19:11:53,6fcf17ac37925a04a7f143cbae3062ee12bf0e701f788d0d638754bf0e174125,2467,2026-05-19T19:11:53,PASS,read_source_no_modification
park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_internal_multiflag_definitions.csv,csv,5daa58acac5f8917cbfb20f594e661ff5504f893df8dbc8dac284fcc8b3f1c3b,2788,2026-05-19T19:11:53,5daa58acac5f8917cbfb20f594e661ff5504f893df8dbc8dac284fcc8b3f1c3b,2788,2026-05-19T19:11:53,PASS,read_source_no_modification
park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_internal_multiflag_assignment.csv,csv,a58fde3397676bb71d2bdc9dc81b8607a30adc53fc65939c3ba76d5060427576,3866514,2026-05-19T19:11:53,a58fde3397676bb71d2bdc9dc81b8607a30adc53fc65939c3ba76d5060427576,3866514,2026-05-19T19:11:53,PASS,read_source_no_modification
park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segment_feature_profile.csv,csv,3acbdd194ce2d6caba2acd32785411fba5e899d20883b5020a8a61b4e59bb2cb,13221,2026-05-19T19:11:53,3acbdd194ce2d6caba2acd32785411fba5e899d20883b5020a8a61b4e59bb2cb,13221,2026-05-19T19:11:53,PASS,read_source_no_modification
park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_business_action_candidates.csv,csv,6d90043e8f97bb2b5a492e959fe454edc4429cec182d0b20efdf614148669277,1019,2026-05-19T19:11:53,6d90043e8f97bb2b5a492e959fe454edc4429cec182d0b20efdf614148669277,1019,2026-05-19T19:11:53,PASS,read_source_no_modification
park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_dashboard_handoff_datamart.csv,csv,05857033718afb17c49b1e2d1138e2dad5f4e1e91980c8ba70d5ef9f5febfaa3,11788930,2026-05-19T19:11:53,05857033718afb17c49b1e2d1138e2dad5f4e1e91980c8ba70d5ef9f5febfaa3,11788930,2026-05-19T19:11:53,PASS,read_source_no_modification
park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_proxy_artifact_audit.csv,csv,0936870f0c79256c85fd2de44897711eb1390b6ac62a7741b652e74f16c0f262,4687,2026-05-19T19:11:53,0936870f0c79256c85fd2de44897711eb1390b6ac62a7741b652e74f16c0f262,4687,2026-05-19T19:11:53,PASS,read_source_no_modification
park.ingyeom\note.md,md,a59a63ed79c2b7c2e055ee64853d8cee1fea272b46c3dc1fc5cac6ad5afa1564,205613,2026-05-19T19:11:52,a59a63ed79c2b7c2e055ee64853d8cee1fea272b46c3dc1fc5cac6ad5afa1564,205613,2026-05-19T19:11:52,PASS,read_source_no_modification
PUBLIC\note.md,md,b3d70c83a311fe279c58b4dc7e4e33bb81a068c60386352397d31e9ec408fd55,136156,2026-05-21T17:38:46,b3d70c83a311fe279c58b4dc7e4e33bb81a068c60386352397d31e9ec408fd55,136156,2026-05-21T17:38:46,PASS,read_source_no_modification
park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segmentation_base_datamart.csv,csv,0554f0eda743c525ecf8edd777afe04e0d15318b60dd6a3959b3a06f826a88cd,8805920,2026-05-19T19:11:53,0554f0eda743c525ecf8edd777afe04e0d15318b60dd6a3959b3a06f826a88cd,8805920,2026-05-19T19:11:53,PASS,read_source_no_modification
park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_score_source_selection.csv,csv,43351609814c1529d6930fcc2f51e9dbb50900ce08c35e5e0a7fb7902804a95b,1909,2026-05-19T19:11:53,43351609814c1529d6930fcc2f51e9dbb50900ce08c35e5e0a7fb7902804a95b,1909,2026-05-19T19:11:53,PASS,read_source_no_modification
park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_preflight_input_validation.csv,csv,24ff189283340e373132af62aa277c16009af731af8dcf5a3493526265705029,8084,2026-05-19T19:11:53,24ff189283340e373132af62aa277c16009af731af8dcf5a3493526265705029,8084,2026-05-19T19:11:53,PASS,read_source_no_modification
park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_threshold_audit.csv,csv,092f4d709292fe9483d78b0ffd52fa2d1761e8b054031d89eea7a32845a27a3b,1190,2026-05-19T19:11:53,092f4d709292fe9483d78b0ffd52fa2d1761e8b054031d89eea7a32845a27a3b,1190,2026-05-19T19:11:53,PASS,read_source_no_modification
park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_final_checks.csv,csv,f449d40bc4b458986eabe65db9ad04b79d8d35c4520903948e598fa071735a77,1898,2026-05-19T19:11:53,f449d40bc4b458986eabe65db9ad04b79d8d35c4520903948e598fa071735a77,1898,2026-05-19T19:11:53,PASS,read_source_no_modification
park.ingyeom\reports\audits\06x_dataset_generation_260515\06x_expanded_dataset.csv,csv,7044e2b6d6a6cbd4877c3d342bd9fd286c7a4241d074d26b02e29af4ab686364,9983123,2026-05-19T19:11:52,7044e2b6d6a6cbd4877c3d342bd9fd286c7a4241d074d26b02e29af4ab686364,9983123,2026-05-19T19:11:52,PASS,read_source_no_modification
park.ingyeom\reports\audits\15x_payment_device_sensitivity_260516\15x_model_summary_by_scope.csv,csv,f681eda5bb6abd5ca0b1499c5a26f9be725327d79df92991f1587693a8664a4f,2411,2026-05-19T19:11:52,f681eda5bb6abd5ca0b1499c5a26f9be725327d79df92991f1587693a8664a4f,2411,2026-05-19T19:11:52,PASS,read_source_no_modification
park.ingyeom\reports\audits\15x_payment_device_sensitivity_260516\15x_recommendation_for_canonical_feature_contract.csv,csv,75af91bdfde7d5f8f999e919e25e8ca6b4a9354725ea72a52d0c93aad7aea1aa,376,2026-05-19T19:11:52,75af91bdfde7d5f8f999e919e25e8ca6b4a9354725ea72a52d0c93aad7aea1aa,376,2026-05-19T19:11:52,PASS,read_source_no_modification
park.ingyeom\reports\audits\15x_payment_device_sensitivity_260516\15x_payment_device_feature_policy.csv,csv,f5d77fbfccdff446718e385f2d768ad7fe6e48bfd0044da11b234c97e54e0583,2246,2026-05-19T19:11:52,f5d77fbfccdff446718e385f2d768ad7fe6e48bfd0044da11b234c97e54e0583,2246,2026-05-19T19:11:52,PASS,read_source_no_modification
park.ingyeom\reports\interpretation\16x_SHAP_candidate_interpretation_260516\16x_SHAP_candidate_plan.csv,csv,096c4d4f9729fe01d81f29a5ad7798c005e018c858933fe9a8b297615fc0f760,1388,2026-05-19T19:11:53,096c4d4f9729fe01d81f29a5ad7798c005e018c858933fe9a8b297615fc0f760,1388,2026-05-19T19:11:53,PASS,read_source_no_modification
park.ingyeom\reports\interpretation\16x_SHAP_candidate_interpretation_260516\16x_model_refit_summary.csv,csv,b60010d73a4487cec08e07aeeab50e8e1213cab978bdbc148373c120f8b6331f,1197,2026-05-19T19:11:53,b60010d73a4487cec08e07aeeab50e8e1213cab978bdbc148373c120f8b6331f,1197,2026-05-19T19:11:53,PASS,read_source_no_modification
park.ingyeom\reports\interpretation\16x_SHAP_candidate_interpretation_260516\16x_payment_removed_input_gate.csv,csv,ea8e850a0e531da7c4ed7338cbd50e7cb189eb0403d7ba68fd74f058e7882604,492,2026-05-19T19:11:53,ea8e850a0e531da7c4ed7338cbd50e7cb189eb0403d7ba68fd74f058e7882604,492,2026-05-19T19:11:53,PASS,read_source_no_modification
PUBLIC\reports\business\18_business_recommendation_storyline_hotfix_260520\18_business_storyline_memo_hotfix.md,md,d7ac45ea779d68b992e7681b10169c81ae79d55f809ae55ba378551894682a72,25945,2026-05-21T17:37:37,d7ac45ea779d68b992e7681b10169c81ae79d55f809ae55ba378551894682a72,25945,2026-05-21T17:37:37,PASS,read_source_no_modification
PUBLIC\reports\business\18_business_recommendation_storyline_hotfix_260520\18_presentation_talking_points_hotfix.md,md,dcc195c96c8da83002aa543a1161ea79f113848429ad535a573f8f2f8cd866e5,11452,2026-05-21T17:37:37,dcc195c96c8da83002aa543a1161ea79f113848429ad535a573f8f2f8cd866e5,11452,2026-05-21T17:37:37,PASS,read_source_no_modification
PUBLIC\reports\business\18_business_recommendation_storyline_hotfix_260520\18_safe_unsafe_wording_hotfix.csv,csv,f9816fa40cc0732d92262a5d7e17eec154c2759b9eda8e333cfaa25feff11dc8,2761,2026-05-21T17:37:37,f9816fa40cc0732d92262a5d7e17eec154c2759b9eda8e333cfaa25feff11dc8,2761,2026-05-21T17:37:37,PASS,read_source_no_modification
PUBLIC\reports\business\18_business_recommendation_storyline_hotfix_260520\18_segment_visual_guide_v2_polished.html,html,fc744468ac848680004453682e8c1376d97f33efc7413e2e87a7dbe62643b329,51223,2026-05-21T17:37:37,fc744468ac848680004453682e8c1376d97f33efc7413e2e87a7dbe62643b329,51223,2026-05-21T17:37:37,PASS,read_source_no_modification
PUBLIC\reports\business\18_business_recommendation_storyline_hotfix_260520\18_promo1_main_business_action_matrix_hotfix.csv,csv,178186ff7012d1e165bb1b566ee74160e5f75bcf8012704e26898a8e9e250721,3490,2026-05-21T17:37:37,178186ff7012d1e165bb1b566ee74160e5f75bcf8012704e26898a8e9e250721,3490,2026-05-21T17:37:37,PASS,read_source_no_modification
PUBLIC\results\12_model_family_comparison_260520\README.md,md,a75e0a01259127e8f10b19ef507b16969bbf9d456b0974b293e913958b4cbed9,1933,2026-05-21T17:37:37,a75e0a01259127e8f10b19ef507b16969bbf9d456b0974b293e913958b4cbed9,1933,2026-05-21T17:37:37,PASS,read_source_no_modification
PUBLIC\results\12_model_family_comparison_260520\gradientboosting_promo1\final_result.csv,csv,cb67141fe1c0ef0482cb0b6f40764c862b044f8de8ff069dc8994da7b41c5210,1130,2026-05-21T17:37:37,cb67141fe1c0ef0482cb0b6f40764c862b044f8de8ff069dc8994da7b41c5210,1130,2026-05-21T17:37:37,PASS,read_source_no_modification
PUBLIC\results\12_model_family_comparison_260520\gradientboosting_promo0\final_result.csv,csv,5a92d7f0bca048d633bd5b945ee044c946186082031825de68da32cfeb65a14e,1098,2026-05-21T17:37:37,5a92d7f0bca048d633bd5b945ee044c946186082031825de68da32cfeb65a14e,1098,2026-05-21T17:37:37,PASS,read_source_no_modification
PUBLIC\results\11_baseline_growth_comparison_260520\README.md,md,48435665103572bfa7eb36260e767f28b76110c9385fb6414d95653a181f271e,2645,2026-05-21T17:37:37,48435665103572bfa7eb36260e767f28b76110c9385fb6414d95653a181f271e,2645,2026-05-21T17:37:37,PASS,read_source_no_modification
