population,total_users,movie_a,movie_b,co_view_count
전체_raw,23720,죽여주는여자(2016),궁(2013),448
전체_raw,23720,죽여주는여자(2016),무뢰한,437
전체_raw,23720,어니스트씨프,뱅가드,432
전체_raw,23720,마스터(2016),무뢰한,349
전체_raw,23720,디파이언스(2008),론서바이버,342
전체_raw,23720,최후의카운트다운,론서바이버,319
전체_raw,23720,죽여주는여자(2016),박화영,315
전체_raw,23720,마스터(2016),궁(2013),313
전체_raw,23720,마스터(2016),죽여주는여자(2016),312
전체_raw,23720,죽여주는여자(2016),오네긴,302
프로모션_only,11904,죽여주는여자(2016),궁(2013),241
프로모션_only,11904,죽여주는여자(2016),무뢰한,235
프로모션_only,11904,어니스트씨프,뱅가드,231
프로모션_only,11904,마스터(2016),무뢰한,181
프로모션_only,11904,디파이언스(2008),론서바이버,179
프로모션_only,11904,최후의카운트다운,론서바이버,166
프로모션_only,11904,무뢰한,우상,166
프로모션_only,11904,죽여주는여자(2016),박화영,165
프로모션_only,11904,마스터(2016),죽여주는여자(2016),156
프로모션_only,11904,마스터(2016),궁(2013),155
