check_name,status,expected,actual,notes
public_root_exists,PASS,PUBLIC root exists,True,
handoff_output_folder_exists,PASS,handoff folder exists,True,
inventory_before_exists,PASS,inventory CSV exists,True,
detected_model_result_candidates_created,PASS,candidate manifest exists,True,
selected_log_retention_lr_promo0_found,PASS,one confirmed selected log-retention-only source,PUBLIC\results\11_baseline_growth_comparison_260520\lr_baseline_promo0,
selected_log_retention_lr_promo1_found,PASS,one confirmed selected log-retention-only source,PUBLIC\results\11_baseline_growth_comparison_260520\lr_baseline_promo1,
selected_log_retention_gb_promo0_found,PASS,one confirmed selected log-retention-only source,PUBLIC\results\12_model_family_comparison_260520\gradientboosting_promo0,
selected_log_retention_gb_promo1_found,PASS,one confirmed selected log-retention-only source,PUBLIC\results\12_model_family_comparison_260520\gradientboosting_promo1,
eleven_emergency_reference_folder_exists,PASS,11 emergency reference folder exists,True,
eleven_lr_promo0_folder_exists,PASS,folder exists,True,
eleven_lr_promo1_folder_exists,PASS,folder exists,True,
eleven_gb_promo0_folder_exists,PASS,folder exists,True,
eleven_gb_promo1_folder_exists,PASS,folder exists,True,
eleven_lr_promo0_final_result_exists,PASS,final_result.csv exists,True,
eleven_lr_promo0_trials_all_exists,PASS,trials_all.csv exists,True,
eleven_lr_promo1_final_result_exists,PASS,final_result.csv exists,True,
eleven_lr_promo1_trials_all_exists,PASS,trials_all.csv exists,True,
eleven_gb_promo0_final_result_exists,PASS,final_result.csv exists,True,
eleven_gb_promo0_trials_all_exists,PASS,trials_all.csv exists,True,
eleven_gb_promo1_final_result_exists,PASS,final_result.csv exists,True,
eleven_gb_promo1_trials_all_exists,PASS,trials_all.csv exists,True,
twelve_comparison_folder_exists,PASS,12 comparison folder exists,True,
twelve_input_manifest_exists,PASS,12 input manifest exists,True,
eleven_readme_updated,PASS,mandatory 11 README wording present,C:\Code\ott-churn-prediction\PUBLIC\results\11_baseline_growth_comparison_260520\README.md,
twelve_readme_updated,PASS,mandatory 12 README wording present,C:\Code\ott-churn-prediction\PUBLIC\results\12_model_family_comparison_260520\README.md,
note_md_append_completed,PASS,note heading appended,C:\Code\ott-churn-prediction\PUBLIC\note.md,
no_model_execution_performed,PASS,no model execution command used,Only filesystem scan/copy/CSV/README/zip generation script was run,
no_notebook_execution_performed,PASS,no notebook execution command used,No jupyter or nbconvert execution was run,
no_optuna_performed,PASS,no Optuna run,No Optuna command was run,
no_shap_performed,PASS,no SHAP run,No SHAP command was run,
no_segmentation_performed,PASS,no segmentation run,No segmentation command was run,
no_raw_source_modified,PASS,no raw source writes by this task,"Generated output paths are handoff, results 11/12, notebooks 11/12 README, note.md, and zip",
no_park_ingyeom_modified,PASS,no park.ingyeom writes by this task,This script only wrote under PUBLIC,
no_deletion_performed,PASS,no deletion command or deletion operation,"The script used mkdir, copy, write, and zip operations only",
review_zip_created,PASS,review zip exists,C:\Code\ott-churn-prediction\PUBLIC\zip\PUBLIC_11_12_emergency_model_restructure_260520_review_package.zip,
zip_inventory_created,PASS,zip inventory exists,C:\Code\ott-churn-prediction\PUBLIC\handoff\PUBLIC_11_12_emergency_model_restructure_260520\PUBLIC_11_12_emergency_model_restructure_zip_inventory.csv,
