full_name,size_bytes
PUBLIC/handoff/PUBLIC_12_review_hotfix_user_confirmed_260520/README.md,1243
PUBLIC/handoff/PUBLIC_12_review_hotfix_user_confirmed_260520/PUBLIC_12_review_hotfix_user_confirmed_final_checks.csv,3961
PUBLIC/results/12_model_family_comparison_260520/four_model_comparison_review_hotfix_user_confirmed/README.md,3607
PUBLIC/results/12_model_family_comparison_260520/four_model_comparison_review_hotfix_user_confirmed/12_metric_interpretation_correction.csv,2022
PUBLIC/results/12_model_family_comparison_260520/four_model_comparison_review_hotfix_user_confirmed/12_is_churn_prevented_policy_correction.csv,1106
PUBLIC/results/12_model_family_comparison_260520/four_model_comparison_review_hotfix_user_confirmed/12_split_policy_usernum_correction.csv,3217
PUBLIC/results/12_model_family_comparison_260520/four_model_comparison_review_hotfix_user_confirmed/12_oof_readiness_user_confirmed_update.csv,2440
PUBLIC/results/12_model_family_comparison_260520/four_model_comparison_review_hotfix_user_confirmed/12_hotfix_summary.md,3278
PUBLIC/note.md,87091
PUBLIC/handoff/PUBLIC_12_review_hotfix_user_confirmed_260520/PUBLIC_12_review_hotfix_user_confirmed_zip_inventory.csv,1080 (size before self-inclusion; self-reference limitation documented)
