category,item,path,size_bytes,md5,notes
source_input,input_csv_promo0,PUBLIC\data\06_model_input_promo_0.csv,5993802,304079715d0c76c1f407687f3b035b19,not modified
source_input,input_csv_promo1,PUBLIC\data\06_model_input_promo_1.csv,6397348,4400e100888d2e0edadce14c932f3e7b,not modified
source_input,lr_promo0_final_result,PUBLIC\results\11_baseline_growth_comparison_260520\emergency_four_model_reference\logistic_regression_promo0\final_result.csv,926,57ba36e2862c8420359fa527b6eb4156,not modified
source_input,lr_promo1_final_result,PUBLIC\results\11_baseline_growth_comparison_260520\emergency_four_model_reference\logistic_regression_promo1\final_result.csv,930,cc0943e246d4e6dcbecc5a322621c1da,not modified
source_input,gb_promo0_final_result,PUBLIC\results\11_baseline_growth_comparison_260520\emergency_four_model_reference\gradient_boosting_promo0\final_result.csv,1098,b65bcabb2095d1cb906938b23fa32bd4,not modified
source_input,gb_promo1_final_result,PUBLIC\results\11_baseline_growth_comparison_260520\emergency_four_model_reference\gradient_boosting_promo1\final_result.csv,1130,3170164e8a7c154e147dc98ad4710ee2,not modified
source_input,lr_promo0_manifest,PUBLIC\results\11_baseline_growth_comparison_260520\emergency_four_model_reference\logistic_regression_promo0\feature_manifest_used.csv,1818,737b8ae1ba5f63385f6547e451f2f782,not modified
source_input,lr_promo1_manifest,PUBLIC\results\11_baseline_growth_comparison_260520\emergency_four_model_reference\logistic_regression_promo1\feature_manifest_used.csv,1818,737b8ae1ba5f63385f6547e451f2f782,not modified
source_input,gb_promo0_manifest,PUBLIC\results\11_baseline_growth_comparison_260520\emergency_four_model_reference\gradient_boosting_promo0\feature_manifest_used.csv,1818,737b8ae1ba5f63385f6547e451f2f782,not modified
source_input,gb_promo1_manifest,PUBLIC\results\11_baseline_growth_comparison_260520\emergency_four_model_reference\gradient_boosting_promo1\feature_manifest_used.csv,1818,737b8ae1ba5f63385f6547e451f2f782,not modified
output_created,15_oof_score_long,PUBLIC\results\15_oof_score_or_sensitivity_260520\four_model_oof_scores\15_oof_score_long.csv,8258221,18b79c7853ebc56e8f5ba3d575b7457b,new — 46194 rows all 4 combos
output_created,15_oof_score_wide_promo0,PUBLIC\results\15_oof_score_or_sensitivity_260520\four_model_oof_scores\15_oof_score_wide_promo0.csv,1964936,344cb8985309eb333f07ccedbb5b16b0,new — 11193 rows
output_created,15_oof_score_wide_promo1,PUBLIC\results\15_oof_score_or_sensitivity_260520\four_model_oof_scores\15_oof_score_wide_promo1.csv,2089906,716417a7fea6ebaa3957d0dafa8ec1f2,new — 11904 rows
output_created,15_oof_metric_summary,PUBLIC\results\15_oof_score_or_sensitivity_260520\four_model_oof_scores\15_oof_metric_summary.csv,968,bcaaba4de76dbb82bd7a396a98a46b0f,new — 4 rows
output_created,15_oof_fold_distribution_check,PUBLIC\results\15_oof_score_or_sensitivity_260520\four_model_oof_scores\15_oof_fold_distribution_check.csv,1271,7c4a34c4b1888b5cceb9ef75eac21f79,new — 20 rows
output_created,15_gb_lr_high_risk_overlap,PUBLIC\results\15_oof_score_or_sensitivity_260520\four_model_oof_scores\15_gb_lr_high_risk_overlap.csv,280,479d2cfd4887a8ef9f6a34ba72ac9fea,new — 12 rows
output_created,15_oof_readiness_for_shap_segmentation,PUBLIC\results\15_oof_score_or_sensitivity_260520\four_model_oof_scores\15_oof_readiness_for_shap_segmentation.csv,445,cf32c83626a882cbc926a9122f39ffc0,new — all READY
output_created,15_oof_input_validation,PUBLIC\handoff\PUBLIC_15_four_model_oof_score_generation_260520\15_oof_input_validation.csv,2891,N/A,pre-flight validation — 14 rows all PASS
output_created,15_model_config_extraction,PUBLIC\results\15_oof_score_or_sensitivity_260520\four_model_oof_scores\15_model_config_extraction.csv,1703,348346afc3307d6106e28acb5db4d2e6,new — 4 rows all PASS
output_created,15_oof_feature_policy_check,PUBLIC\results\15_oof_score_or_sensitivity_260520\four_model_oof_scores\15_oof_feature_policy_check.csv,927,84bfd696c43da25f9d3cdcae4b329ac7,new — both scopes PASS
output_created,15_oof_split_policy_check,PUBLIC\results\15_oof_score_or_sensitivity_260520\four_model_oof_scores\15_oof_split_policy_check.csv,1257,b27d0c5da92789c7df3e5fbac01b7b6c,new — both scopes WARN_WITH_USER_CONFIRMATION
output_created,results_README,PUBLIC\results\15_oof_score_or_sensitivity_260520\four_model_oof_scores\README.md,3778,61fe56c3adc4239fb72146be73c45de9,new
output_created,notebook_source,PUBLIC\notebooks\15_oof_score_or_sensitivity_260520\15_four_model_oof_score_generation_260520.ipynb,13460,9709818d6560ebc112d5d44eeec3a4c6,new
output_created,notebook_executed,PUBLIC\notebooks\15_oof_score_or_sensitivity_260520\15_four_model_oof_score_generation_260520_executed.ipynb,25682,45ef40e519ff1d1d5c69b842c8965518,new — execution confirmed
