file_path,file_role,sha256_before,sha256_after,size_before,size_after,status
PUBLIC\data\06_model_input_promo_0.csv,model_input,8fb3662dc1b2ed6deb2db8eedcde18bbd715439db097c70954e9a7a45c1b4a7c,8fb3662dc1b2ed6deb2db8eedcde18bbd715439db097c70954e9a7a45c1b4a7c,5993802,5993802,unchanged
PUBLIC\data\06_model_input_promo_1.csv,model_input,09306871a7989d63b6913e1623d9ffdabd82be994cd3aa850fa34d6844bc6596,09306871a7989d63b6913e1623d9ffdabd82be994cd3aa850fa34d6844bc6596,6397348,6397348,unchanged
PUBLIC\results\11_baseline_growth_comparison_260520\emergency_four_model_reference\logistic_regression_promo0\final_result.csv,model_reference,0e16f6e79fd3b3adc3587e425323e315ad522041c85bfbd0d1c9a1cd24f34999,0e16f6e79fd3b3adc3587e425323e315ad522041c85bfbd0d1c9a1cd24f34999,926,926,unchanged
PUBLIC\results\11_baseline_growth_comparison_260520\emergency_four_model_reference\logistic_regression_promo0\trials_all.csv,model_reference,b41726a03e93c5c5e12359ba038ce536c7347c58b894f8c5b608f72835d5dcf5,b41726a03e93c5c5e12359ba038ce536c7347c58b894f8c5b608f72835d5dcf5,11590,11590,unchanged
PUBLIC\results\11_baseline_growth_comparison_260520\emergency_four_model_reference\logistic_regression_promo0\feature_manifest_used.csv,model_reference,b2843a36ff3ea9fa9cb5e4ec91743573f063cb8eec4780117e45ea005a9afa70,b2843a36ff3ea9fa9cb5e4ec91743573f063cb8eec4780117e45ea005a9afa70,1818,1818,unchanged
PUBLIC\results\11_baseline_growth_comparison_260520\emergency_four_model_reference\logistic_regression_promo0\SOURCE_POINTER.txt,model_reference,f4aa2c26d28294c9399f326abbed108f5a3270d545c03be5e74296e0bb28342d,f4aa2c26d28294c9399f326abbed108f5a3270d545c03be5e74296e0bb28342d,558,558,unchanged
PUBLIC\results\11_baseline_growth_comparison_260520\emergency_four_model_reference\logistic_regression_promo1\final_result.csv,model_reference,ee1b84fb352cfcd91c5beb75c39fed692e9f29ebca3e983a31b51a07675d9bcf,ee1b84fb352cfcd91c5beb75c39fed692e9f29ebca3e983a31b51a07675d9bcf,930,930,unchanged
PUBLIC\results\11_baseline_growth_comparison_260520\emergency_four_model_reference\logistic_regression_promo1\trials_all.csv,model_reference,ae18babb375dc15251e2a7fcd9ce41f4e6d18763f9c9a862c07ad349b9155942,ae18babb375dc15251e2a7fcd9ce41f4e6d18763f9c9a862c07ad349b9155942,11675,11675,unchanged
PUBLIC\results\11_baseline_growth_comparison_260520\emergency_four_model_reference\logistic_regression_promo1\feature_manifest_used.csv,model_reference,b2843a36ff3ea9fa9cb5e4ec91743573f063cb8eec4780117e45ea005a9afa70,b2843a36ff3ea9fa9cb5e4ec91743573f063cb8eec4780117e45ea005a9afa70,1818,1818,unchanged
PUBLIC\results\11_baseline_growth_comparison_260520\emergency_four_model_reference\logistic_regression_promo1\SOURCE_POINTER.txt,model_reference,9c85eadcd7f7a946a2605b169e49221f42ec034900f265e8cfe18f369dc46aed,9c85eadcd7f7a946a2605b169e49221f42ec034900f265e8cfe18f369dc46aed,558,558,unchanged
PUBLIC\results\11_baseline_growth_comparison_260520\emergency_four_model_reference\gradient_boosting_promo0\final_result.csv,model_reference,5a92d7f0bca048d633bd5b945ee044c946186082031825de68da32cfeb65a14e,5a92d7f0bca048d633bd5b945ee044c946186082031825de68da32cfeb65a14e,1098,1098,unchanged
