full_name,size_bytes
PUBLIC/handoff/PUBLIC_16_four_model_SHAP_candidate_interpretation_260520/README.md,1806
PUBLIC/handoff/PUBLIC_16_four_model_SHAP_candidate_interpretation_260520/16_shap_input_validation.csv,4994
PUBLIC/handoff/PUBLIC_16_four_model_SHAP_candidate_interpretation_260520/16_shap_environment_check.csv,284
PUBLIC/handoff/PUBLIC_16_four_model_SHAP_candidate_interpretation_260520/16_source_fingerprint_before_after.csv,5199
PUBLIC/handoff/PUBLIC_16_four_model_SHAP_candidate_interpretation_260520/PUBLIC_16_four_model_SHAP_candidate_interpretation_final_checks.csv,5081
PUBLIC/handoff/PUBLIC_16_four_model_SHAP_candidate_interpretation_260520/PUBLIC_16_four_model_SHAP_candidate_interpretation_zip_inventory.csv,3427
PUBLIC/handoff/PUBLIC_16_four_model_SHAP_candidate_interpretation_260520/public_16_shap_candidate_interpretation_runner.py,74390
PUBLIC/notebooks/16_SHAP_candidate_interpretation_260520/16_four_model_SHAP_candidate_interpretation_260520.ipynb,1473
PUBLIC/notebooks/16_SHAP_candidate_interpretation_260520/16_four_model_SHAP_candidate_interpretation_260520_executed.ipynb,3871
PUBLIC/results/16_SHAP_candidate_interpretation_260520/four_model_shap_interpretation/README.md,3700
PUBLIC/results/16_SHAP_candidate_interpretation_260520/four_model_shap_interpretation/16_model_config_and_feature_manifest.csv,2505
PUBLIC/results/16_SHAP_candidate_interpretation_260520/four_model_shap_interpretation/16_shap_feature_policy_check.csv,917
PUBLIC/results/16_SHAP_candidate_interpretation_260520/four_model_shap_interpretation/16_shap_execution_plan.csv,553
PUBLIC/results/16_SHAP_candidate_interpretation_260520/four_model_shap_interpretation/16_shap_global_importance.csv,48469
PUBLIC/results/16_SHAP_candidate_interpretation_260520/four_model_shap_interpretation/16_lr_coefficient_summary.csv,39910
PUBLIC/results/16_SHAP_candidate_interpretation_260520/four_model_shap_interpretation/16_shap_direction_summary.csv,80526
PUBLIC/results/16_SHAP_candidate_interpretation_260520/four_model_shap_interpretation/16_feature_family_mapping_for_shap.csv,12628
PUBLIC/results/16_SHAP_candidate_interpretation_260520/four_model_shap_interpretation/16_shap_family_importance.csv,6515
PUBLIC/results/16_SHAP_candidate_interpretation_260520/four_model_shap_interpretation/16_promo1_vs_promo0_shap_comparison.csv,48296
PUBLIC/results/16_SHAP_candidate_interpretation_260520/four_model_shap_interpretation/16_demographic_context_audit_for_shap.csv,3795
PUBLIC/results/16_SHAP_candidate_interpretation_260520/four_model_shap_interpretation/16_is_churn_prevented_interpretation_audit.csv,1520
PUBLIC/results/16_SHAP_candidate_interpretation_260520/four_model_shap_interpretation/16_readiness_for_segmentation.csv,1850
PUBLIC/note.md,121587
PUBLIC/reports/figures/16_SHAP_candidate_interpretation_260520/16_fig_family_importance_by_scope.png,145161
PUBLIC/reports/figures/16_SHAP_candidate_interpretation_260520/16_fig_gb_promo0_top20_shap_bar.png,77047
PUBLIC/reports/figures/16_SHAP_candidate_interpretation_260520/16_fig_gb_promo1_top20_shap_bar.png,79413
PUBLIC/reports/figures/16_SHAP_candidate_interpretation_260520/16_fig_lr_promo0_top20_coef_bar.png,82501
PUBLIC/reports/figures/16_SHAP_candidate_interpretation_260520/16_fig_lr_promo1_top20_coef_bar.png,79089
PUBLIC/reports/figures/16_SHAP_candidate_interpretation_260520/16_fig_promo1_vs_promo0_family_comparison.png,124440
