file_path,file_role,sha256_before,sha256_after,size_before,size_after,status
PUBLIC\results\17_segmentation_design_260520\promo_scope_oof_behavior_segments_quality_hotfix_260520\17_revised_segment_assignment_simulation.csv,input_reference,852b8ef893f22cb78709cd46de7d467de6b1c77b50ab559c39886504b51b1e4b,852b8ef893f22cb78709cd46de7d467de6b1c77b50ab559c39886504b51b1e4b,6056881,6056881,unchanged
PUBLIC\results\17_segmentation_design_260520\promo_scope_oof_behavior_segments\17_segmentation_base_datamart.csv,input_reference,f308768a6e04b3900c4a0ac9722b1226b18bb3a67ff45aa2c20cc7444b0ccddf,f308768a6e04b3900c4a0ac9722b1226b18bb3a67ff45aa2c20cc7444b0ccddf,15754590,15754590,unchanged
PUBLIC\results\17_segmentation_design_260520\promo_scope_oof_behavior_segments\17_internal_multiflag_assignment.csv,input_reference,e84fd4aff12384ebaf877411b2efe69963006668a9768f8ba6ef0bd6a0ee35cd,e84fd4aff12384ebaf877411b2efe69963006668a9768f8ba6ef0bd6a0ee35cd,2917446,2917446,unchanged
PUBLIC\data\06_model_input_promo_0.csv,input_reference,8fb3662dc1b2ed6deb2db8eedcde18bbd715439db097c70954e9a7a45c1b4a7c,8fb3662dc1b2ed6deb2db8eedcde18bbd715439db097c70954e9a7a45c1b4a7c,5993802,5993802,unchanged
PUBLIC\data\06_model_input_promo_1.csv,input_reference,09306871a7989d63b6913e1623d9ffdabd82be994cd3aa850fa34d6844bc6596,09306871a7989d63b6913e1623d9ffdabd82be994cd3aa850fa34d6844bc6596,6397348,6397348,unchanged
PUBLIC\note.md,intentionally_updated_note,4f90f8da9adf144c8963f44797a95792c3803dbe9366dfae0aeb2c23beddda36,4f90f8da9adf144c8963f44797a95792c3803dbe9366dfae0aeb2c23beddda36,131213,131213,intentionally_updated_note
PUBLIC\notebooks\17_segmentation_design_260520\17_demographic_action_layer_hotfix_260520.ipynb,new_output_created,56b084a90ee0c3a0601085d5772fd0f68052391676d8a2c8c250f1a45ebddbac,56b084a90ee0c3a0601085d5772fd0f68052391676d8a2c8c250f1a45ebddbac,1468,1468,new_output_created
PUBLIC\notebooks\17_segmentation_design_260520\17_demographic_action_layer_hotfix_260520_executed.ipynb,new_output_created,90f9fa423052737c617969089133bfb476e5aca7a2722ee1666d7104daaf2ec3,90f9fa423052737c617969089133bfb476e5aca7a2722ee1666d7104daaf2ec3,2637,2637,new_output_created
PUBLIC\handoff\PUBLIC_17_demographic_action_layer_hotfix_260520\17_demographic_action_layer_quality_helper.py,new_output_created,e0cdba1ed60fd0ba0150a9df2e7b7cd6e90a75bd459fa97c2434b046eaaa8086,e0cdba1ed60fd0ba0150a9df2e7b7cd6e90a75bd459fa97c2434b046eaaa8086,49755,49755,new_output_created
PUBLIC\results\17_segmentation_design_260520\promo_scope_oof_behavior_segments_demographic_hotfix_260520\17_demographic_source_column_audit.csv,new_output_created,153ce3e0caec0b12afdf757916a045b691b8c425983edcb1a4f07ccc21d3d0f1,153ce3e0caec0b12afdf757916a045b691b8c425983edcb1a4f07ccc21d3d0f1,7240,7240,new_output_created
PUBLIC\results\17_segmentation_design_260520\promo_scope_oof_behavior_segments_demographic_hotfix_260520\17_gender_derivation_audit.csv,new_output_created,0e363798a483b3e492c75d2b9606f327067536ba287864fa315638a0ea9d8d09,0e363798a483b3e492c75d2b9606f327067536ba287864fa315638a0ea9d8d09,421,421,new_output_created
PUBLIC\results\17_segmentation_design_260520\promo_scope_oof_behavior_segments_demographic_hotfix_260520\17_age_group_audit.csv,new_output_created,1642ad8d12d5e2da4fb7c158302f799e065b980f15c0fd5b7aef3419560e9173,1642ad8d12d5e2da4fb7c158302f799e065b980f15c0fd5b7aef3419560e9173,2571,2571,new_output_created
PUBLIC\results\17_segmentation_design_260520\promo_scope_oof_behavior_segments_demographic_hotfix_260520\17_segment_demographic_profile_demographic_hotfix.csv,new_output_created,daa1d6e0913cdf5d4c4d1bbef1c73c3cc949b7d2d04824a06e089bf431fec5df,daa1d6e0913cdf5d4c4d1bbef1c73c3cc949b7d2d04824a06e089bf431fec5df,42801,42801,new_output_created
PUBLIC\results\17_segmentation_design_260520\promo_scope_oof_behavior_segments_demographic_hotfix_260520\17_segment_age_behavior_profile_demographic_hotfix.csv,new_output_created,ff82774e9af5aa629aa503c4ebe7cba644f866a082c1387f309a3b9df007c92a,ff82774e9af5aa629aa503c4ebe7cba644f866a082c1387f309a3b9df007c92a,777495,777495,new_output_created
PUBLIC\results\17_segmentation_design_260520\promo_scope_oof_behavior_segments_demographic_hotfix_260520\17_segment_gender_behavior_profile_demographic_hotfix.csv,new_output_created,6fa7ad19023a17febab50013b5906238a5f68ac7c42be38338d927a0ce34daff,6fa7ad19023a17febab50013b5906238a5f68ac7c42be38338d927a0ce34daff,310625,310625,new_output_created
PUBLIC\results\17_segmentation_design_260520\promo_scope_oof_behavior_segments_demographic_hotfix_260520\17_age_gender_behavior_profile_skipped_features.csv,new_output_created,7625f900a0b75b40225fc8707abcfcde69ea5bb0928ee45ddffb10f9d767db85,7625f900a0b75b40225fc8707abcfcde69ea5bb0928ee45ddffb10f9d767db85,3096,3096,new_output_created
PUBLIC\results\17_segmentation_design_260520\promo_scope_oof_behavior_segments_demographic_hotfix_260520\17_segment_action_personalization_matrix_demographic_hotfix.csv,new_output_created,c09b1702674735706afbdc0b3e16b0a5b0d887ad80e862d376dd61e5908f7a3b,c09b1702674735706afbdc0b3e16b0a5b0d887ad80e862d376dd61e5908f7a3b,32674,32674,new_output_created
