check_name,status,expected,actual,notes
public_root_exists,PASS,PUBLIC exists,True,
input_validation_created,PASS,input validation,exists,
demographic_source_column_audit_created,PASS,source audit,exists,
gender_derivation_audit_created,PASS,gender audit,exists,
age_group_audit_created,PASS,age audit,exists,
segment_demographic_profile_created,PASS,segment demo profile,exists,
segment_age_behavior_profile_created,PASS,age behavior,exists,
segment_gender_behavior_profile_created,PASS,gender behavior,exists,
age_gender_behavior_profile_not_empty_or_reason_recorded,PASS,not empty or reason row,checked,
skipped_features_recorded,PASS,skipped file,exists,
action_personalization_matrix_created,PASS,action matrix,exists,
demographic_hotfix_summary_created,PASS,summary,exists,
rationale_demographic_supplement_created,PASS,memo,length=14972,
readiness_for_18_demographic_hotfix_created,PASS,readiness,exists,
representative_segment_assignment_unchanged,PASS,same sha256,True,
no_age_gender_used_in_representative_rule,PASS,demographics used after assignment join only,true,
no_model_refit_performed,PASS,no model training,true,
no_optuna_performed,PASS,no optuna,true,
no_shap_recalculation_performed,PASS,no shap,true,
no_oof_regeneration_performed,PASS,no oof,true,
no_raw_source_modified,PASS,read only inputs,true,
no_park_ingyeom_modified,PASS,no park.ingyeom writes,true,
readme_created,PASS,README,exists,
note_md_append_completed,PASS,note heading,True,
review_zip_includes_core_csvs,PASS,zip core csvs,True,
review_zip_includes_supplement_memo,PASS,zip memo,True,
review_zip_includes_note_md,PASS,zip note,True,
review_zip_includes_zip_inventory,PASS,zip inventory,True,
helper_file_included_if_used,PASS,helper in zip,True,
review_zip_created,PASS,zip,True,
zip_inventory_created,PASS,inventory,exists,
