check_name,status,expected,actual,notes
public_root_exists,PASS,PUBLIC exists,True,
output_folder_exists,PASS,output exists,PUBLIC\results\17_segmentation_design_260520\promo_scope_oof_behavior_segments,
handoff_folder_exists,PASS,handoff exists,PUBLIC\handoff\PUBLIC_17_promo_scope_oof_behavior_segmentation_260520,
notebook_created,PASS,notebook exists,PUBLIC\notebooks\17_segmentation_design_260520\17_promo_scope_oof_behavior_segmentation_260520.ipynb,
notebook_executed,PASS,executed notebook exists,PUBLIC\notebooks\17_segmentation_design_260520\17_promo_scope_oof_behavior_segmentation_260520_executed.ipynb,
executed_notebook_saved,PASS,non-empty executed notebook,2161,
input_validation_created,PASS,file exists,PUBLIC\handoff\PUBLIC_17_promo_scope_oof_behavior_segmentation_260520\17_input_validation.csv,
base_datamart_created,PASS,file exists,PUBLIC\results\17_segmentation_design_260520\promo_scope_oof_behavior_segments\17_segmentation_base_datamart.csv,
base_datamart_validation_created,PASS,file exists,PUBLIC\results\17_segmentation_design_260520\promo_scope_oof_behavior_segments\17_base_datamart_validation.csv,
multiflag_definitions_created,PASS,file exists,PUBLIC\results\17_segmentation_design_260520\promo_scope_oof_behavior_segments\17_internal_multiflag_definitions.csv,
multiflag_assignment_created,PASS,file exists,PUBLIC\results\17_segmentation_design_260520\promo_scope_oof_behavior_segments\17_internal_multiflag_assignment.csv,
representative_segment_rules_created,PASS,file exists,PUBLIC\results\17_segmentation_design_260520\promo_scope_oof_behavior_segments\17_representative_segment_rules.csv,
representative_segment_assignment_created,PASS,file exists,PUBLIC\results\17_segmentation_design_260520\promo_scope_oof_behavior_segments\17_representative_segment_assignment.csv,
segment_summary_created,PASS,file exists,PUBLIC\results\17_segmentation_design_260520\promo_scope_oof_behavior_segments\17_segment_summary.csv,
segment_feature_profile_created,PASS,file exists,PUBLIC\results\17_segmentation_design_260520\promo_scope_oof_behavior_segments\17_segment_feature_profile.csv,
segment_shap_family_evidence_link_created,PASS,file exists,PUBLIC\results\17_segmentation_design_260520\promo_scope_oof_behavior_segments\17_segment_SHAP_family_evidence_link.csv,
demographic_profile_created,PASS,file exists,PUBLIC\results\17_segmentation_design_260520\promo_scope_oof_behavior_segments\17_segment_demographic_profile.csv,
age_gender_behavior_profile_created,PASS,file exists,PUBLIC\results\17_segmentation_design_260520\promo_scope_oof_behavior_segments\17_segment_age_gender_behavior_profile.csv,
action_personalization_matrix_created,PASS,file exists,PUBLIC\results\17_segmentation_design_260520\promo_scope_oof_behavior_segments\17_segment_action_personalization_matrix.csv,
business_action_candidates_created,PASS,file exists,PUBLIC\results\17_segmentation_design_260520\promo_scope_oof_behavior_segments\17_segment_business_action_candidates.csv,
segment_rationale_memo_for_executives_created,PASS,file exists,PUBLIC\results\17_segmentation_design_260520\promo_scope_oof_behavior_segments\17_segment_rationale_memo_for_executives.md,
segment_rationale_evidence_table_created,PASS,file exists,PUBLIC\results\17_segmentation_design_260520\promo_scope_oof_behavior_segments\17_segment_rationale_evidence_table.csv,
rejected_alternatives_memo_created,PASS,file exists,PUBLIC\results\17_segmentation_design_260520\promo_scope_oof_behavior_segments\17_segment_caveat_and_rejected_alternatives.md,
readiness_for_18_created,PASS,file exists,PUBLIC\results\17_segmentation_design_260520\promo_scope_oof_behavior_segments\17_readiness_for_18_business_storyline.csv,
readme_created,PASS,file exists,PUBLIC\results\17_segmentation_design_260520\promo_scope_oof_behavior_segments\README.md,
one_representative_segment_per_row,PASS,one per row,ok,
segment_rationale_memo_minimum_length_checked,PASS,long memo,7844,
segment_names_are_provisional,PASS,all provisional,checked,
age_gender_not_used_as_primary_representative_rule,PASS,no age/gender in rules,promo_scope=='promo1' AND gb_high_risk_top20==1 AND week3_inactive==1 promo_scope=='promo1' AND gb_high_risk_top20==1 AN,
hotfix_16b_family_mapping_used,PASS,16b mapping no technical_or_unknown,True,
original_technical_unknown_not_used,PASS,technical_or_unknown absent,True,
no_model_refit_performed,PASS,no model refit,helper does not fit models,
no_optuna_performed,PASS,no Optuna,no optuna import/call,
no_shap_recalculation_performed,PASS,no SHAP recalculation,read existing SHAP CSV only,
no_oof_regeneration_performed,PASS,no OOF regeneration,read existing OOF CSV only,
no_campaign_threshold_finalized,PASS,no final threshold,GB top20 used as provisional design rule,
no_raw_source_modified,PASS,inputs unchanged,0,
no_park_ingyeom_modified,PASS,no park.ingyeom writes,PUBLIC-only helper,
note_md_append_completed,PASS,note heading found,found,
review_zip_includes_executed_notebook,PASS,executed notebook in zip,PUBLIC\notebooks\17_segmentation_design_260520\17_promo_scope_oof_behavior_segmentation_260520_executed.ipynb,
review_zip_includes_core_csvs,PASS,core files in zip,missing none,
review_zip_includes_rationale_memo,PASS,memo in zip,PUBLIC\results\17_segmentation_design_260520\promo_scope_oof_behavior_segments\17_segment_rationale_memo_for_executives.md,
review_zip_includes_note_md,PASS,note in zip,PUBLIC/note.md,
review_zip_includes_zip_inventory,PASS,zip inventory in zip,PUBLIC\handoff\PUBLIC_17_promo_scope_oof_behavior_segmentation_260520\PUBLIC_17_promo_scope_oof_behavior_segmentation_zip_inventory.csv,
helper_file_included_if_used,PASS,helper in zip,PUBLIC\handoff\PUBLIC_17_promo_scope_oof_behavior_segmentation_260520\public_17_segmentation_design_runner.py,
review_zip_created,PASS,zip exists,PUBLIC\zip\PUBLIC_17_promo_scope_oof_behavior_segmentation_260520_review_package.zip,
zip_inventory_created,PASS,zip inventory exists,PUBLIC\handoff\PUBLIC_17_promo_scope_oof_behavior_segmentation_260520\PUBLIC_17_promo_scope_oof_behavior_segmentation_zip_inventory.csv,
cold_start_weak_corrected,PASS,cold_start weak inverse/safe logic,checked,
low_activity_components_recorded,PASS,component flags present,"low_watch_count,low_watch_time,low_watch_days",
