file_path,file_role,sha256_before,sha256_after,size_before,size_after,status
PUBLIC\results\17_segmentation_design_260520\promo_scope_oof_behavior_segments\17_segmentation_base_datamart.csv,input_reference,f308768a6e04b3900c4a0ac9722b1226b18bb3a67ff45aa2c20cc7444b0ccddf,f308768a6e04b3900c4a0ac9722b1226b18bb3a67ff45aa2c20cc7444b0ccddf,15754590,15754590,unchanged
PUBLIC\results\17_segmentation_design_260520\promo_scope_oof_behavior_segments\17_internal_multiflag_assignment.csv,input_reference,e84fd4aff12384ebaf877411b2efe69963006668a9768f8ba6ef0bd6a0ee35cd,e84fd4aff12384ebaf877411b2efe69963006668a9768f8ba6ef0bd6a0ee35cd,2917446,2917446,unchanged
PUBLIC\results\17_segmentation_design_260520\promo_scope_oof_behavior_segments\17_representative_segment_assignment.csv,input_reference,85403429f93180698eced2e4fe029beccfd5eff186921935c083a80fb4f29b25,85403429f93180698eced2e4fe029beccfd5eff186921935c083a80fb4f29b25,4123234,4123234,unchanged
PUBLIC\results\17_segmentation_design_260520\promo_scope_oof_behavior_segments\17_segment_summary.csv,input_reference,d56a58555fd12930387f07ce612daef5ee212847678cb857a435a812800bb0b3,d56a58555fd12930387f07ce612daef5ee212847678cb857a435a812800bb0b3,6784,6784,unchanged
PUBLIC\results\17_segmentation_design_260520\promo_scope_oof_behavior_segments\17_segment_feature_profile.csv,input_reference,13be6d5aff74ea5a7bc82a33248be6912684d2050651b22ec7cdedd9c1f226fc,13be6d5aff74ea5a7bc82a33248be6912684d2050651b22ec7cdedd9c1f226fc,296215,296215,unchanged
PUBLIC\results\17_segmentation_design_260520\promo_scope_oof_behavior_segments\17_segment_SHAP_family_evidence_link.csv,input_reference,74d8626e022b948b52cd8ab190da35e501aca3cdf7510d3527b9f64170bed1bb,74d8626e022b948b52cd8ab190da35e501aca3cdf7510d3527b9f64170bed1bb,11214,11214,unchanged
PUBLIC\results\17_segmentation_design_260520\promo_scope_oof_behavior_segments\17_segment_demographic_profile.csv,input_reference,65834be0c84b776ed908efa8073961659acd6a4af77e400b1154a4e39da01308,65834be0c84b776ed908efa8073961659acd6a4af77e400b1154a4e39da01308,42906,42906,unchanged
PUBLIC\results\17_segmentation_design_260520\promo_scope_oof_behavior_segments\17_segment_age_gender_behavior_profile.csv,input_reference,bed62ad06b09a0800b834f333e53594308ad85f3ae9b90bc67a8f1e28cedd46e,bed62ad06b09a0800b834f333e53594308ad85f3ae9b90bc67a8f1e28cedd46e,260357,260357,unchanged
PUBLIC\results\17_segmentation_design_260520\promo_scope_oof_behavior_segments\17_segment_action_personalization_matrix.csv,input_reference,9acb794522b31a4e6299bf8a61a505c118081c60b8912b10df5a7051762099b4,9acb794522b31a4e6299bf8a61a505c118081c60b8912b10df5a7051762099b4,6934,6934,unchanged
PUBLIC\results\17_segmentation_design_260520\promo_scope_oof_behavior_segments\17_segment_rationale_memo_for_executives.md,input_reference,d654f567085258e3891b5cb38e3119f6251f64527f9696801a4b71b57674e53d,d654f567085258e3891b5cb38e3119f6251f64527f9696801a4b71b57674e53d,7929,7929,unchanged
PUBLIC\results\17_segmentation_design_260520\promo_scope_oof_behavior_segments_hotfix_260520\17_representative_segment_assignment_hotfix.csv,input_reference,6dc256ba9e91973ecb5136b85b1b02ca8826ffad1397bf51821df11925df59a7,6dc256ba9e91973ecb5136b85b1b02ca8826ffad1397bf51821df11925df59a7,3062152,3062152,unchanged
PUBLIC\results\17_segmentation_design_260520\promo_scope_oof_behavior_segments_hotfix_260520\17_segment_summary_hotfix.csv,input_reference,2cb97fc1908754a863f48af4e88197f88d3cc5a103f0fb382f0946efc28f2114,2cb97fc1908754a863f48af4e88197f88d3cc5a103f0fb382f0946efc28f2114,6924,6924,unchanged
PUBLIC\results\17_segmentation_design_260520\promo_scope_oof_behavior_segments_hotfix_260520\17_segment_feature_profile_hotfix.csv,input_reference,dafda13bc1ff8fb225b4a8c8b68601930fcfda284f73aa0283285013064ac6fd,dafda13bc1ff8fb225b4a8c8b68601930fcfda284f73aa0283285013064ac6fd,4557,4557,unchanged
PUBLIC\results\17_segmentation_design_260520\promo_scope_oof_behavior_segments_hotfix_260520\17_segment_SHAP_family_evidence_link_hotfix.csv,input_reference,725f02548640ea5486e663992c9acca461a377dac58c9e9b851b9cea13be19b1,725f02548640ea5486e663992c9acca461a377dac58c9e9b851b9cea13be19b1,13036,13036,unchanged
PUBLIC\results\17_segmentation_design_260520\promo_scope_oof_behavior_segments_hotfix_260520\17_segment_demographic_profile_hotfix.csv,input_reference,e514aa80a2c562532a0aec2bdbb6667e81f8c9943fb9ae4252b6200e1b87f2d7,e514aa80a2c562532a0aec2bdbb6667e81f8c9943fb9ae4252b6200e1b87f2d7,2681,2681,unchanged
PUBLIC\results\17_segmentation_design_260520\promo_scope_oof_behavior_segments_hotfix_260520\17_segment_age_gender_behavior_profile_hotfix.csv,input_reference,8e9e8aba01ca8d1f3527dbee976f14a1a6a284fafa31d9e77e839f8d7d807ec4,8e9e8aba01ca8d1f3527dbee976f14a1a6a284fafa31d9e77e839f8d7d807ec4,202,202,unchanged
PUBLIC\results\17_segmentation_design_260520\promo_scope_oof_behavior_segments_hotfix_260520\17_segment_action_personalization_matrix_hotfix.csv,input_reference,66bd02e66be82f1e3fcd5419619f4cff4de56d35a44ac92e8e3b7b000fd18303,66bd02e66be82f1e3fcd5419619f4cff4de56d35a44ac92e8e3b7b000fd18303,6812,6812,unchanged
PUBLIC\results\17_segmentation_design_260520\promo_scope_oof_behavior_segments_hotfix_260520\17_segment_rationale_memo_for_executives_hotfix.md,input_reference,6f7370e750f5998cf21f1cc2616d0f86c5b53397a8290dd5ea9ff531faf64301,6f7370e750f5998cf21f1cc2616d0f86c5b53397a8290dd5ea9ff531faf64301,28025,28025,unchanged
PUBLIC\results\17_segmentation_design_260520\promo_scope_oof_behavior_segments_hotfix_260520\17_other_needs_review_decomposition.csv,input_reference,1acc47fce156dda5a7836123ac0b2d9adeaaaefd73500ff40e4d2e2b86dba3ad,1acc47fce156dda5a7836123ac0b2d9adeaaaefd73500ff40e4d2e2b86dba3ad,6457,6457,unchanged
PUBLIC\results\17_segmentation_design_260520\promo_scope_oof_behavior_segments_hotfix_260520\17_content_preference_signal_audit.csv,input_reference,29c771e67836a923a3e4e774afc2d65d72116e977b35a4f5241bebfcd0290be3,29c771e67836a923a3e4e774afc2d65d72116e977b35a4f5241bebfcd0290be3,3758,3758,unchanged
PUBLIC\results\15_oof_score_or_sensitivity_260520\four_model_oof_scores_hotfix_260520\15_oof_score_wide.csv,input_reference,1f3af6a7d7baf8a1536f40510796b07125e8410f43bfb3dcac63f17e970ad452,1f3af6a7d7baf8a1536f40510796b07125e8410f43bfb3dcac63f17e970ad452,6227550,6227550,unchanged
PUBLIC\results\15_oof_score_or_sensitivity_260520\four_model_oof_scores_hotfix_260520\15_oof_score_long.csv,input_reference,3ddd6ba3ddac3f9ca1a4a2cdbc4cc8e816d23a6ca110071a40e51512a0a4531f,3ddd6ba3ddac3f9ca1a4a2cdbc4cc8e816d23a6ca110071a40e51512a0a4531f,13852127,13852127,unchanged
PUBLIC\results\15_oof_score_or_sensitivity_260520\four_model_oof_scores_hotfix_260520\15_gb_lr_high_risk_overlap.csv,input_reference,f3906ad29e1cbb45f0f0d0e79574b59dddb5574cb25d676225aabd5cd82525c3,f3906ad29e1cbb45f0f0d0e79574b59dddb5574cb25d676225aabd5cd82525c3,1456,1456,unchanged
PUBLIC\results\16_SHAP_candidate_interpretation_260520\four_model_shap_interpretation\16_shap_global_importance.csv,input_reference,94218bf019a217f5c0658e200980655715e3bac15b3c157dcc6de758c775efb9,94218bf019a217f5c0658e200980655715e3bac15b3c157dcc6de758c775efb9,48469,48469,unchanged
PUBLIC\results\16_SHAP_candidate_interpretation_260520\16b_feature_family_mapping_hotfix_260520\16b_feature_family_mapping_hotfix.csv,input_reference,0c7927ef264afa462e54f153ce30057c8dc6b8c0f48ce70e5122f36358c024ae,0c7927ef264afa462e54f153ce30057c8dc6b8c0f48ce70e5122f36358c024ae,19822,19822,unchanged
PUBLIC\results\16_SHAP_candidate_interpretation_260520\16b_feature_family_mapping_hotfix_260520\16b_shap_family_importance_hotfix.csv,input_reference,1fb89776e04beea9ad45ff6d407f91bea1ca0b83bcf475b9171ebfd1a013ba32,1fb89776e04beea9ad45ff6d407f91bea1ca0b83bcf475b9171ebfd1a013ba32,9239,9239,unchanged
PUBLIC\results\16_SHAP_candidate_interpretation_260520\16b_feature_family_mapping_hotfix_260520\16b_promo1_vs_promo0_shap_comparison_hotfix.csv,input_reference,4ba75788c760671d67f53e19de98952b2507df47bffdaa6ad12a074933ecd42b,4ba75788c760671d67f53e19de98952b2507df47bffdaa6ad12a074933ecd42b,49574,49574,unchanged
PUBLIC\results\16_SHAP_candidate_interpretation_260520\16b_feature_family_mapping_hotfix_260520\16b_family_interpretation_handoff_for_17.csv,input_reference,36df3af350f1718c5c77d1e9e385eb2b490f1ed7330902b25b2f36b230c5a944,36df3af350f1718c5c77d1e9e385eb2b490f1ed7330902b25b2f36b230c5a944,3689,3689,unchanged
PUBLIC\data\06_model_input_promo_0.csv,input_reference,8fb3662dc1b2ed6deb2db8eedcde18bbd715439db097c70954e9a7a45c1b4a7c,8fb3662dc1b2ed6deb2db8eedcde18bbd715439db097c70954e9a7a45c1b4a7c,5993802,5993802,unchanged
PUBLIC\data\06_model_input_promo_1.csv,input_reference,09306871a7989d63b6913e1623d9ffdabd82be994cd3aa850fa34d6844bc6596,09306871a7989d63b6913e1623d9ffdabd82be994cd3aa850fa34d6844bc6596,6397348,6397348,unchanged
PUBLIC\results\17_segmentation_design_260520\promo_scope_oof_behavior_segments_quality_hotfix_260520\17_quality_revalidation_passes.csv,new_quality_hotfix_output,6f36797f2429e0a92bfd1bb206dd5f47f6026d3e66ada4bf03bcc2beb8751006,6f36797f2429e0a92bfd1bb206dd5f47f6026d3e66ada4bf03bcc2beb8751006,7380,7380,new_output_created
PUBLIC\results\17_segmentation_design_260520\promo_scope_oof_behavior_segments_quality_hotfix_260520\17_segment_quality_audit.csv,new_quality_hotfix_output,768b4ecebb05564dde8922eb3b82c7c3a18b0afbbca0f9618b5160a7a0aabc2e,768b4ecebb05564dde8922eb3b82c7c3a18b0afbbca0f9618b5160a7a0aabc2e,8998,8998,new_output_created
PUBLIC\results\17_segmentation_design_260520\promo_scope_oof_behavior_segments_quality_hotfix_260520\17_small_segment_merge_policy.csv,new_quality_hotfix_output,12c31718fb1b84ed46ed33d219f4a38fcbb44ddd9cfe8e502981c59283a14ff9,12c31718fb1b84ed46ed33d219f4a38fcbb44ddd9cfe8e502981c59283a14ff9,5015,5015,new_output_created
PUBLIC\results\17_segmentation_design_260520\promo_scope_oof_behavior_segments_quality_hotfix_260520\17_other_needs_review_decomposition_quality_hotfix.csv,new_quality_hotfix_output,c8f3d905702dd49fb0aa0a5a9af1b31ed59df2542642a7ec17841648d75af285,c8f3d905702dd49fb0aa0a5a9af1b31ed59df2542642a7ec17841648d75af285,4463,4463,new_output_created
PUBLIC\results\17_segmentation_design_260520\promo_scope_oof_behavior_segments_quality_hotfix_260520\17_promo1_vs_promo0_segment_differential_analysis.csv,new_quality_hotfix_output,afe0a643263825baf72770bb40fafa021d7cbd8a88833adfc2ed1e2c172a2561,afe0a643263825baf72770bb40fafa021d7cbd8a88833adfc2ed1e2c172a2561,3506,3506,new_output_created
PUBLIC\results\17_segmentation_design_260520\promo_scope_oof_behavior_segments_quality_hotfix_260520\17_revised_representative_segment_proposal.csv,new_quality_hotfix_output,058b9e501299c6192288f43aba8083d75aa1b0eee83b5755d4994cb21f95df38,058b9e501299c6192288f43aba8083d75aa1b0eee83b5755d4994cb21f95df38,6077,6077,new_output_created
PUBLIC\results\17_segmentation_design_260520\promo_scope_oof_behavior_segments_quality_hotfix_260520\17_revised_segment_assignment_simulation.csv,new_quality_hotfix_output,852b8ef893f22cb78709cd46de7d467de6b1c77b50ab559c39886504b51b1e4b,852b8ef893f22cb78709cd46de7d467de6b1c77b50ab559c39886504b51b1e4b,6056881,6056881,new_output_created
PUBLIC\results\17_segmentation_design_260520\promo_scope_oof_behavior_segments_quality_hotfix_260520\17_revised_segment_summary_simulation.csv,new_quality_hotfix_output,e332ac818ba51734a356a4b13c875d04240bb4a4446ae7ebe89b98e2c711b52c,e332ac818ba51734a356a4b13c875d04240bb4a4446ae7ebe89b98e2c711b52c,4778,4778,new_output_created
PUBLIC\results\17_segmentation_design_260520\promo_scope_oof_behavior_segments_quality_hotfix_260520\17_revised_segment_demographic_action_bridge.csv,new_quality_hotfix_output,427fc21636d4f34563e942cd2ed0d60ae544d2294fe3673363d7fe7c7ff79db6,427fc21636d4f34563e942cd2ed0d60ae544d2294fe3673363d7fe7c7ff79db6,3800,3800,new_output_created
PUBLIC\results\17_segmentation_design_260520\promo_scope_oof_behavior_segments_quality_hotfix_260520\17_segment_quality_hotfix_rationale_memo_for_executives.md,new_quality_hotfix_output,bbfbed3ac3c35cfae6763c1f6441cbda6906a330d521609592d88b124199d902,bbfbed3ac3c35cfae6763c1f6441cbda6906a330d521609592d88b124199d902,21283,21283,new_output_created
PUBLIC\results\17_segmentation_design_260520\promo_scope_oof_behavior_segments_quality_hotfix_260520\17_segment_quality_hotfix_evidence_table.csv,new_quality_hotfix_output,68ca68673ae67d2b4371ea362f9b5f9dabb3522fb88f1932e18833916fadadf1,68ca68673ae67d2b4371ea362f9b5f9dabb3522fb88f1932e18833916fadadf1,17581,17581,new_output_created
PUBLIC\results\17_segmentation_design_260520\promo_scope_oof_behavior_segments_quality_hotfix_260520\17_readiness_for_18_quality_hotfix.csv,new_quality_hotfix_output,b9165986c86b68dcd9b5f8dfafcefb5f982e1fe26a2d83272b5e15e3de51974e,b9165986c86b68dcd9b5f8dfafcefb5f982e1fe26a2d83272b5e15e3de51974e,1931,1931,new_output_created
PUBLIC\results\17_segmentation_design_260520\promo_scope_oof_behavior_segments_quality_hotfix_260520\README.md,new_quality_hotfix_output,c6cc4471b31b79651cc4f9a64cff6022d3605574eb2150831bc5ee3542e2d357,c6cc4471b31b79651cc4f9a64cff6022d3605574eb2150831bc5ee3542e2d357,2243,2243,new_output_created
PUBLIC\note.md,intentionally_updated_note,7939ac00eb95a3891b5eb6bc88344081e3785d1015a8f52b5fdffe4ba6578083,7939ac00eb95a3891b5eb6bc88344081e3785d1015a8f52b5fdffe4ba6578083,131404,131404,intentionally_updated_note
PUBLIC\notebooks\17_segmentation_design_260520\17_segmentation_quality_hotfix_260520.ipynb,notebook,022e51bb556c96ce78abbb38c3d11a3dbc9c4160f9ef71d0c54c6ef3aa827da8,022e51bb556c96ce78abbb38c3d11a3dbc9c4160f9ef71d0c54c6ef3aa827da8,1355,1355,new_output_created
PUBLIC\notebooks\17_segmentation_design_260520\17_segmentation_quality_hotfix_260520_executed.ipynb,executed_notebook,0428f321c4ee7656ef9f2442dfbd8de9cfc439de003244c3925904e3abfd1fe6,0428f321c4ee7656ef9f2442dfbd8de9cfc439de003244c3925904e3abfd1fe6,2521,2521,new_output_created
