check_name,status,expected,actual,notes
public_root_exists,PASS,PASS condition met,True,
input_validation_created,PASS,PASS condition met,True,
four_pass_revalidation_created,PASS,PASS condition met,True,
segment_quality_audit_created,PASS,PASS condition met,True,
minimum_segment_size_policy_applied,PASS,PASS condition met,True,
small_segment_merge_policy_created,PASS,PASS condition met,True,
content_preference_signal_audit_created_or_referenced,PASS,PASS condition met,True,
content_preference_signal_demoted,PASS,PASS condition met,True,
other_needs_review_decomposition_created,PASS,PASS condition met,True,
promo1_vs_promo0_differential_analysis_created,PASS,PASS condition met,True,
revised_representative_segment_proposal_created,PASS,PASS condition met,True,
revised_assignment_simulation_created,PASS,PASS condition met,True,
revised_segment_summary_simulation_created,PASS,PASS condition met,True,
demographic_action_bridge_created,PASS,PASS condition met,True,
executive_rationale_memo_created,PASS,PASS condition met,True,memo_length=21147
executive_rationale_memo_minimum_length_checked,PASS,PASS condition met,True,memo_length=21147
evidence_table_created,PASS,PASS condition met,True,
readiness_for_18_created,PASS,PASS condition met,True,
revised_assignment_marked_as_simulation,PASS,PASS condition met,True,
no_final_segment_name_confirmed,PASS,PASS condition met,True,
no_campaign_threshold_finalized,PASS,PASS condition met,True,
age_gender_not_used_as_primary_rule,PASS,PASS condition met,True,
original_technical_unknown_not_used,PASS,PASS condition met,True,
hotfix_16b_family_mapping_used,PASS,PASS condition met,True,
no_model_refit_performed,PASS,PASS condition met,True,
no_optuna_performed,PASS,PASS condition met,True,
no_shap_recalculation_performed,PASS,PASS condition met,True,
no_oof_regeneration_performed,PASS,PASS condition met,True,
no_raw_source_modified,PASS,PASS condition met,True,
no_park_ingyeom_modified,PASS,PASS condition met,True,
readme_created,PASS,PASS condition met,True,
note_md_append_completed,PASS,PASS condition met,True,
review_zip_includes_executed_notebook,PASS,PASS condition met,True,
review_zip_includes_core_csvs,PASS,PASS condition met,True,
review_zip_includes_rationale_memo,PASS,PASS condition met,True,memo_length=21147
review_zip_includes_note_md,PASS,PASS condition met,True,
review_zip_includes_zip_inventory,PASS,PASS condition met,True,
helper_file_included_if_used,PASS,PASS condition met,True,
review_zip_created,PASS,PASS condition met,True,
zip_inventory_created,PASS,PASS condition met,True,
