full_name,size_bytes
PUBLIC/handoff/PUBLIC_17_segmentation_semantic_hotfix_260520/README.md,1303
PUBLIC/handoff/PUBLIC_17_segmentation_semantic_hotfix_260520/17_hotfix_input_validation.csv,4458
PUBLIC/handoff/PUBLIC_17_segmentation_semantic_hotfix_260520/17_hotfix_source_fingerprint_before_after.csv,13499
PUBLIC/handoff/PUBLIC_17_segmentation_semantic_hotfix_260520/PUBLIC_17_segmentation_semantic_hotfix_final_checks.csv,6249
PUBLIC/handoff/PUBLIC_17_segmentation_semantic_hotfix_260520/PUBLIC_17_segmentation_semantic_hotfix_zip_inventory.csv,3487
PUBLIC/handoff/PUBLIC_17_segmentation_semantic_hotfix_260520/public_17_semantic_hotfix_runner.py,82565
PUBLIC/notebooks/17_segmentation_design_260520/17_promo_scope_oof_behavior_segmentation_hotfix_260520.ipynb,1296
PUBLIC/notebooks/17_segmentation_design_260520/17_promo_scope_oof_behavior_segmentation_hotfix_260520_executed.ipynb,2547
PUBLIC/note.md,128419
PUBLIC/results/17_segmentation_design_260520/promo_scope_oof_behavior_segments_hotfix_260520/README.md,1919
PUBLIC/results/17_segmentation_design_260520/promo_scope_oof_behavior_segments_hotfix_260520/17_hotfix_revalidation_passes.csv,1729
PUBLIC/results/17_segmentation_design_260520/promo_scope_oof_behavior_segments_hotfix_260520/17_content_preference_signal_audit.csv,3758
PUBLIC/results/17_segmentation_design_260520/promo_scope_oof_behavior_segments_hotfix_260520/17_representative_segment_rules_hotfix.csv,5143
PUBLIC/results/17_segmentation_design_260520/promo_scope_oof_behavior_segments_hotfix_260520/17_representative_segment_assignment_hotfix.csv,3062152
PUBLIC/results/17_segmentation_design_260520/promo_scope_oof_behavior_segments_hotfix_260520/17_segment_assignment_before_after_comparison.csv,2539
PUBLIC/results/17_segmentation_design_260520/promo_scope_oof_behavior_segments_hotfix_260520/17_segment_summary_hotfix.csv,6924
PUBLIC/results/17_segmentation_design_260520/promo_scope_oof_behavior_segments_hotfix_260520/17_other_needs_review_decomposition.csv,6457
PUBLIC/results/17_segmentation_design_260520/promo_scope_oof_behavior_segments_hotfix_260520/17_segment_feature_profile_hotfix.csv,4557
PUBLIC/results/17_segmentation_design_260520/promo_scope_oof_behavior_segments_hotfix_260520/17_segment_SHAP_family_evidence_link_hotfix.csv,13036
PUBLIC/results/17_segmentation_design_260520/promo_scope_oof_behavior_segments_hotfix_260520/17_segment_demographic_profile_hotfix.csv,2681
PUBLIC/results/17_segmentation_design_260520/promo_scope_oof_behavior_segments_hotfix_260520/17_segment_age_gender_behavior_profile_hotfix.csv,202
PUBLIC/results/17_segmentation_design_260520/promo_scope_oof_behavior_segments_hotfix_260520/17_segment_action_personalization_matrix_hotfix.csv,6812
PUBLIC/results/17_segmentation_design_260520/promo_scope_oof_behavior_segments_hotfix_260520/17_segment_business_action_candidates_hotfix.csv,6382
PUBLIC/results/17_segmentation_design_260520/promo_scope_oof_behavior_segments_hotfix_260520/17_segment_rationale_memo_for_executives_hotfix.md,28025
PUBLIC/results/17_segmentation_design_260520/promo_scope_oof_behavior_segments_hotfix_260520/17_segment_rationale_evidence_table_hotfix.csv,22025
PUBLIC/results/17_segmentation_design_260520/promo_scope_oof_behavior_segments_hotfix_260520/17_segment_caveat_and_rejected_alternatives_hotfix.md,1127
PUBLIC/results/17_segmentation_design_260520/promo_scope_oof_behavior_segments_hotfix_260520/17_readiness_for_18_business_storyline_hotfix.csv,1116
