check_item,file_path,file_type,exists,file_size_bytes,status,notes
18_existing_storyline_quality_audit.csv,PUBLIC/reports/business/18_business_recommendation_storyline_hotfix_260520\18_existing_storyline_quality_audit.csv,output_audit,yes,3266,PASS,hotfix output
18_promo1_main_business_action_matrix_hotfix.csv,PUBLIC/reports/business/18_business_recommendation_storyline_hotfix_260520\18_promo1_main_business_action_matrix_hotfix.csv,output_csv,yes,3484,PASS,hotfix output
18_promo0_comparison_reference_hotfix.csv,PUBLIC/reports/business/18_business_recommendation_storyline_hotfix_260520\18_promo0_comparison_reference_hotfix.csv,output_csv,yes,2186,PASS,hotfix output
18_demographic_action_candidate_shortlist_hotfix.csv,PUBLIC/reports/business/18_business_recommendation_storyline_hotfix_260520\18_demographic_action_candidate_shortlist_hotfix.csv,output_csv,yes,6013,PASS,hotfix output
18_storyline_comparison_clean_hotfix.csv,PUBLIC/reports/business/18_business_recommendation_storyline_hotfix_260520\18_storyline_comparison_clean_hotfix.csv,output_csv,yes,2160,PASS,hotfix output
18_segment_visual_guide_v2_polished.html,PUBLIC/reports/business/18_business_recommendation_storyline_hotfix_260520\18_segment_visual_guide_v2_polished.html,output_html,yes,50454,PASS,hotfix output
18_business_storyline_memo_hotfix.md,PUBLIC/reports/business/18_business_recommendation_storyline_hotfix_260520\18_business_storyline_memo_hotfix.md,output_memo,yes,25678,PASS,hotfix output
18_presentation_talking_points_hotfix.md,PUBLIC/reports/business/18_business_recommendation_storyline_hotfix_260520\18_presentation_talking_points_hotfix.md,output_talking_points,yes,11328,PASS,hotfix output
18_dashboard_handoff_datamart_hotfix.csv,PUBLIC/reports/business/18_business_recommendation_storyline_hotfix_260520\18_dashboard_handoff_datamart_hotfix.csv,output_csv,yes,3077,PASS,hotfix output
18_safe_unsafe_wording_hotfix.csv,PUBLIC/reports/business/18_business_recommendation_storyline_hotfix_260520\18_safe_unsafe_wording_hotfix.csv,output_csv,yes,2746,PASS,hotfix output
README.md,PUBLIC/reports/business/18_business_recommendation_storyline_hotfix_260520\README.md,output_readme,yes,5631,PASS,hotfix output
18_hotfix_input_validation.csv,PUBLIC/handoff/PUBLIC_18_business_storyline_polish_hotfix_260520\18_hotfix_input_validation.csv,handoff,yes,6101,PASS,hotfix output
18_business_storyline_polish_hotfix_260520.ipynb,PUBLIC/notebooks/18_business_recommendation_storyline_260520\18_business_storyline_polish_hotfix_260520.ipynb,notebook,yes,8165,PASS,hotfix output
18_business_storyline_polish_hotfix_260520_executed.ipynb,PUBLIC/notebooks/18_business_recommendation_storyline_260520\18_business_storyline_polish_hotfix_260520_executed.ipynb,notebook_executed,yes,11946,PASS,hotfix output
note.md,PUBLIC\note.md,note,yes,136160,PASS,hotfix output
