full_name,size_bytes
handoff/PUBLIC_pipeline_realignment_260520/PUBLIC_06xy_notebook_relocation_260520.csv,433
handoff/PUBLIC_pipeline_realignment_260520/PUBLIC_existing_inventory_before_realignment.csv,52404
handoff/PUBLIC_pipeline_realignment_260520/PUBLIC_pipeline_realignment_final_checks.csv,2299
handoff/PUBLIC_pipeline_realignment_260520/PUBLIC_pipeline_realignment_zip_inventory.csv,1510
handoff/PUBLIC_pipeline_realignment_260520/PUBLIC_pipeline_stage_map_260520.csv,8841
handoff/PUBLIC_pipeline_realignment_260520/README.md,2652
handoff/PUBLIC_pipeline_realignment_260520/misnumbered_06_model_artifacts_audit.csv,5455
note.md,63374
notebooks/06_dataset_260520/README.md,1502
notebooks/07_feature_mapping_AARRR_260520/README.md,564
notebooks/08_promotion_nonpromotion_EDA_260520/README.md,635
notebooks/09_promotion_repurchase_2x2_EDA_260520/README.md,635
notebooks/10_feature_distribution_redundancy_pre_audit_260520/README.md,658
notebooks/11_baseline_growth_comparison_260520/README.md,604
notebooks/12_model_family_comparison_260520/README.md,569
notebooks/14_candidate_tuning_260520/README.md,603
notebooks/15_oof_score_or_sensitivity_260520/README.md,606
notebooks/16_SHAP_candidate_interpretation_260520/README.md,568
notebooks/17_segmentation_design_260520/README.md,620
notebooks/18_business_recommendation_storyline_260520/README.md,688
notebooks/99_model_selections/99_model_selections_notebook_manifest_260520.csv,5132
notebooks/99_model_selections/README.md,646
