"relative_path","item_type","size_bytes","modified_time","inferred_model_family","inferred_scope","filename_numeric_prefix","prefix_warning","current_status","notes"
"PUBLIC/notebooks/99_model_selections/99_model_selections_notebook_manifest_260520.csv","file","5132","2026-05-20 15:52:56","unknown","unknown","99","numeric_prefix_is_not_pipeline_stage","archived_or_reference_candidate","path/name based classification only; notebook execution not performed"
"PUBLIC/notebooks/99_model_selections/catboost","directory","","2026-05-20 15:47:58","catboost","unknown","","no_numeric_prefix_detected","model_candidate_notebook_pool","path/name based classification only; notebook execution not performed"
"PUBLIC/notebooks/99_model_selections/catboost/01_catboost_promo0.ipynb","file","8240","2026-05-20 15:32:06","catboost","promo_0","01","numeric_prefix_is_not_pipeline_stage","model_candidate_notebook_pool","path/name based classification only; notebook execution not performed"
"PUBLIC/notebooks/99_model_selections/catboost/01_catboost_promo0_conservative.ipynb","file","19777","2026-05-20 15:32:06","catboost","promo_0","01","numeric_prefix_is_not_pipeline_stage","model_candidate_notebook_pool","path/name based classification only; notebook execution not performed"
"PUBLIC/notebooks/99_model_selections/catboost/02_catboost_promo1.ipynb","file","8240","2026-05-20 15:32:06","catboost","promo_1","02","numeric_prefix_is_not_pipeline_stage","model_candidate_notebook_pool","path/name based classification only; notebook execution not performed"
"PUBLIC/notebooks/99_model_selections/catboost/02_catboost_promo1_conservative.ipynb","file","24322","2026-05-20 15:32:06","catboost","promo_1","02","numeric_prefix_is_not_pipeline_stage","model_candidate_notebook_pool","path/name based classification only; notebook execution not performed"
"PUBLIC/notebooks/99_model_selections/gradient_boosting","directory","","2026-05-20 15:52:37","gradient_boosting","unknown","","no_numeric_prefix_detected","model_candidate_notebook_pool","path/name based classification only; notebook execution not performed"
"PUBLIC/notebooks/99_model_selections/gradient_boosting/06_gb_promo0.ipynb","file","10920","2026-05-20 15:52:56","gradient_boosting","promo_0","06","numeric_prefix_is_not_pipeline_stage","model_candidate_notebook_pool","path/name based classification only; notebook execution not performed"
"PUBLIC/notebooks/99_model_selections/gradient_boosting/06_gb_promo1.ipynb","file","10920","2026-05-20 15:52:56","gradient_boosting","promo_1","06","numeric_prefix_is_not_pipeline_stage","model_candidate_notebook_pool","path/name based classification only; notebook execution not performed"
"PUBLIC/notebooks/99_model_selections/gradient_boosting/09_gradientboosting_promo0.ipynb","file","19037","2026-05-20 15:32:06","gradient_boosting","promo_0","09","numeric_prefix_is_not_pipeline_stage","model_candidate_notebook_pool","path/name based classification only; notebook execution not performed"
"PUBLIC/notebooks/99_model_selections/gradient_boosting/10_gradientboosting_promo1.ipynb","file","19218","2026-05-20 15:32:06","gradient_boosting","promo_1","10","numeric_prefix_is_not_pipeline_stage","model_candidate_notebook_pool","path/name based classification only; notebook execution not performed"
"PUBLIC/notebooks/99_model_selections/logistic_regression","directory","","2026-05-20 15:52:37","logistic_regression","unknown","","no_numeric_prefix_detected","model_candidate_notebook_pool","path/name based classification only; notebook execution not performed"
"PUBLIC/notebooks/99_model_selections/logistic_regression/06_lr_promo0.ipynb","file","36547","2026-05-20 15:52:56","logistic_regression","promo_0","06","numeric_prefix_is_not_pipeline_stage","model_candidate_notebook_pool","path/name based classification only; notebook execution not performed"
"PUBLIC/notebooks/99_model_selections/logistic_regression/06_lr_promo1.ipynb","file","36636","2026-05-20 15:52:56","logistic_regression","promo_1","06","numeric_prefix_is_not_pipeline_stage","model_candidate_notebook_pool","path/name based classification only; notebook execution not performed"
"PUBLIC/notebooks/99_model_selections/logistic_regression/07_lr_promo0.ipynb","file","8188","2026-05-20 15:32:06","logistic_regression","promo_0","07","numeric_prefix_is_not_pipeline_stage","model_candidate_notebook_pool","path/name based classification only; notebook execution not performed"
"PUBLIC/notebooks/99_model_selections/logistic_regression/08_lr_promo1.ipynb","file","8188","2026-05-20 15:32:06","logistic_regression","promo_1","08","numeric_prefix_is_not_pipeline_stage","model_candidate_notebook_pool","path/name based classification only; notebook execution not performed"
"PUBLIC/notebooks/99_model_selections/random_forest","directory","","2026-05-20 15:47:58","random_forest","unknown","","no_numeric_prefix_detected","model_candidate_notebook_pool","path/name based classification only; notebook execution not performed"
"PUBLIC/notebooks/99_model_selections/random_forest/05_rf_promo0.ipynb","file","15084","2026-05-20 15:32:06","random_forest","promo_0","05","numeric_prefix_is_not_pipeline_stage","model_candidate_notebook_pool","path/name based classification only; notebook execution not performed"
"PUBLIC/notebooks/99_model_selections/random_forest/06_rf_promo1.ipynb","file","15017","2026-05-20 15:32:06","random_forest","promo_1","06","numeric_prefix_is_not_pipeline_stage","model_candidate_notebook_pool","path/name based classification only; notebook execution not performed"
"PUBLIC/notebooks/99_model_selections/README.md","file","1548","2026-05-20 16:08:10","unknown","unknown","","no_numeric_prefix_detected","archived_or_reference_candidate","path/name based classification only; notebook execution not performed"
"PUBLIC/notebooks/99_model_selections/svm","directory","","2026-05-20 15:47:58","svm","unknown","","no_numeric_prefix_detected","model_candidate_notebook_pool","path/name based classification only; notebook execution not performed"
"PUBLIC/notebooks/99_model_selections/svm/03_svm_promo0.ipynb","file","8221","2026-05-20 15:32:06","svm","promo_0","03","numeric_prefix_is_not_pipeline_stage","model_candidate_notebook_pool","path/name based classification only; notebook execution not performed"
"PUBLIC/notebooks/99_model_selections/svm/04_svm_promo1.ipynb","file","8221","2026-05-20 15:32:06","svm","promo_1","04","numeric_prefix_is_not_pipeline_stage","model_candidate_notebook_pool","path/name based classification only; notebook execution not performed"
