"relative_path","item_type","size_bytes","modified_time","depth","top_level_area","inferred_role","notes"
"data","directory","","2026-05-20 15:52:37","1","data","directory_role_unknown_from_path_only","inferred_role is path/name based only; no semantic validation performed"
"data/06_expanded_dataset_log_retention.csv","file","12958570","2026-05-20 13:42:33","2","data","public_data_artifact_inferred_from_path","inferred_role is path/name based only; no semantic validation performed"
"data/06_expanded_dataset_promo_0_log_retention.csv","file","6269242","2026-05-20 13:42:33","2","data","public_data_artifact_inferred_from_path","inferred_role is path/name based only; no semantic validation performed"
"data/06_expanded_dataset_promo_1_log_retention.csv","file","6690807","2026-05-20 13:42:34","2","data","public_data_artifact_inferred_from_path","inferred_role is path/name based only; no semantic validation performed"
"data/06_log_retention_validation.csv","file","1092","2026-05-20 15:52:43","2","data","public_data_artifact_inferred_from_path","inferred_role is path/name based only; no semantic validation performed"
"data/06_model_input_promo_0.csv","file","5993802","2026-05-20 14:39:46","2","data","public_data_artifact_inferred_from_path","inferred_role is path/name based only; no semantic validation performed"
"data/06_model_input_promo_1.csv","file","6397348","2026-05-20 14:39:47","2","data","public_data_artifact_inferred_from_path","inferred_role is path/name based only; no semantic validation performed"
"data/260520_raw_Membership_v2_with_derived_features.csv","file","13815967","2026-05-20 12:40:23","2","data","public_data_artifact_inferred_from_path","inferred_role is path/name based only; no semantic validation performed"
"handoff","directory","","2026-05-20 15:54:50","1","handoff","directory_role_unknown_from_path_only","inferred_role is path/name based only; no semantic validation performed"
"handoff/PUBLIC_lineage_snapshot_20260520_155450","directory","","2026-05-20 15:54:50","2","handoff","handoff_or_review_evidence_inferred_from_path","inferred_role is path/name based only; no semantic validation performed"
"handoff/PUBLIC_lineage_snapshot_20260520_155450/PUBLIC_folder_summary_depth3.csv","file","4261","2026-05-20 15:54:50","3","handoff","handoff_or_review_evidence_inferred_from_path","inferred_role is path/name based only; no semantic validation performed"
"handoff/PUBLIC_lineage_snapshot_20260520_155450/PUBLIC_inventory_full.csv","file","25357","2026-05-20 15:54:50","3","handoff","handoff_or_review_evidence_inferred_from_path","inferred_role is path/name based only; no semantic validation performed"
"handoff/PUBLIC_lineage_snapshot_20260520_155450/PUBLIC_key_artifact_inventory.csv","file","12518","2026-05-20 15:54:50","3","handoff","handoff_or_review_evidence_inferred_from_path","inferred_role is path/name based only; no semantic validation performed"
"handoff/PUBLIC_lineage_snapshot_20260520_155450/PUBLIC_note_copy.md","file","63374","2026-05-20 15:53:55","3","handoff","handoff_or_review_evidence_inferred_from_path","inferred_role is path/name based only; no semantic validation performed"
"handoff/PUBLIC_lineage_snapshot_20260520_155450/PUBLIC_notebook_inventory.csv","file","1972","2026-05-20 15:54:50","3","handoff","handoff_or_review_evidence_inferred_from_path","inferred_role is path/name based only; no semantic validation performed"
"handoff/PUBLIC_lineage_snapshot_20260520_155450/PUBLIC_tree_full.txt","file","20244","2026-05-20 15:54:50","3","handoff","handoff_or_review_evidence_inferred_from_path","inferred_role is path/name based only; no semantic validation performed"
"handoff/PUBLIC_lineage_snapshot_20260520_155450/README.md","file","444","2026-05-20 15:54:50","3","handoff","handoff_or_review_evidence_inferred_from_path","inferred_role is path/name based only; no semantic validation performed"
"handoff/PUBLIC_pipeline_realignment_260520","directory","","2026-05-20 15:53:04","2","handoff","handoff_or_review_evidence_inferred_from_path","inferred_role is path/name based only; no semantic validation performed"
"handoff/PUBLIC_pipeline_realignment_260520/misnumbered_06_model_artifacts_audit.csv","file","5455","2026-05-20 15:53:56","3","handoff","handoff_or_review_evidence_inferred_from_path","inferred_role is path/name based only; no semantic validation performed"
"handoff/PUBLIC_pipeline_realignment_260520/PUBLIC_06xy_notebook_relocation_260520.csv","file","433","2026-05-20 15:53:04","3","handoff","handoff_or_review_evidence_inferred_from_path","inferred_role is path/name based only; no semantic validation performed"
"handoff/PUBLIC_pipeline_realignment_260520/PUBLIC_existing_inventory_before_realignment.csv","file","52404","2026-05-20 15:53:56","3","handoff","handoff_or_review_evidence_inferred_from_path","inferred_role is path/name based only; no semantic validation performed"
"handoff/PUBLIC_pipeline_realignment_260520/PUBLIC_pipeline_realignment_final_checks.csv","file","2299","2026-05-20 15:53:04","3","handoff","handoff_or_review_evidence_inferred_from_path","inferred_role is path/name based only; no semantic validation performed"
"handoff/PUBLIC_pipeline_realignment_260520/PUBLIC_pipeline_realignment_zip_inventory.csv","file","1510","2026-05-20 15:53:58","3","handoff","handoff_or_review_evidence_inferred_from_path","inferred_role is path/name based only; no semantic validation performed"
"handoff/PUBLIC_pipeline_realignment_260520/PUBLIC_pipeline_stage_map_260520.csv","file","8841","2026-05-20 15:53:56","3","handoff","handoff_or_review_evidence_inferred_from_path","inferred_role is path/name based only; no semantic validation performed"
"handoff/PUBLIC_pipeline_realignment_260520/README.md","file","2652","2026-05-20 15:53:56","3","handoff","handoff_or_review_evidence_inferred_from_path","inferred_role is path/name based only; no semantic validation performed"
"handoff/PUBLIC_pipeline_realignment_260520/run_realignment_260520.py","file","32866","2026-05-20 15:53:56","3","handoff","handoff_or_review_evidence_inferred_from_path","inferred_role is path/name based only; no semantic validation performed"
"legacy","directory","","2026-05-20 13:09:02","1","legacy","directory_role_unknown_from_path_only","inferred_role is path/name based only; no semantic validation performed"
"legacy/06x_expanded_dataset.csv","file","9983123","2026-05-19 12:54:25","2","legacy","legacy_reference_area_inferred_from_path","inferred_role is path/name based only; no semantic validation performed"
"legacy/aarrr_visual_guide.html","file","97199","2026-05-19 15:33:04","2","legacy","legacy_reference_area_inferred_from_path","inferred_role is path/name based only; no semantic validation performed"
"legacy/FINAL_promo_0.csv","file","4719535","2026-05-19 18:14:58","2","legacy","legacy_reference_area_inferred_from_path","inferred_role is path/name based only; no semantic validation performed"
"legacy/FINAL_promo_1.csv","file","5034067","2026-05-19 18:14:58","2","legacy","legacy_reference_area_inferred_from_path","inferred_role is path/name based only; no semantic validation performed"
"legacy/note.md","file","205613","2026-05-19 12:54:25","2","legacy","legacy_reference_area_inferred_from_path","inferred_role is path/name based only; no semantic validation performed"
"legacy/project_guide_v2.html","file","116037","2026-05-19 15:31:35","2","legacy","legacy_reference_area_inferred_from_path","inferred_role is path/name based only; no semantic validation performed"
"legacy/segment_visual_guide.html","file","143995","2026-05-19 15:26:32","2","legacy","legacy_reference_area_inferred_from_path","inferred_role is path/name based only; no semantic validation performed"
"legacy/shap_visual_guide.html","file","30720","2026-05-19 12:54:27","2","legacy","legacy_reference_area_inferred_from_path","inferred_role is path/name based only; no semantic validation performed"
"note.md","file","73677","2026-05-20 15:55:55","1","note.md","project_note_or_work_log_inferred_from_filename","inferred_role is path/name based only; no semantic validation performed"
"notebooks","directory","","2026-05-20 15:52:37","1","notebooks","directory_role_unknown_from_path_only","inferred_role is path/name based only; no semantic validation performed"
"notebooks/_archive","directory","","2026-05-20 15:52:37","2","notebooks","directory_role_unknown_from_path_only","inferred_role is path/name based only; no semantic validation performed"
"notebooks/_archive/misnumbered_06_model_notebooks_260520","directory","","2026-05-20 15:47:58","3","notebooks","directory_role_unknown_from_path_only","inferred_role is path/name based only; no semantic validation performed"
"notebooks/06_dataset_260520","directory","","2026-05-20 15:52:37","2","notebooks","pipeline_stage_placeholder_or_work_area_inferred_from_path","inferred_role is path/name based only; no semantic validation performed"
"notebooks/06_dataset_260520/06x_dataset_generation_260515.ipynb","file","49286","2026-05-20 13:33:51","3","notebooks","pipeline_stage_placeholder_or_work_area_inferred_from_path","inferred_role is path/name based only; no semantic validation performed"
"notebooks/06_dataset_260520/06y_promo_split_260520.ipynb","file","18001","2026-05-20 13:34:11","3","notebooks","pipeline_stage_placeholder_or_work_area_inferred_from_path","inferred_role is path/name based only; no semantic validation performed"
"notebooks/06_dataset_260520/README.md","file","1502","2026-05-20 15:53:57","3","notebooks","pipeline_stage_placeholder_or_work_area_inferred_from_path","inferred_role is path/name based only; no semantic validation performed"
"notebooks/07_feature_mapping_AARRR_260520","directory","","2026-05-20 15:26:44","2","notebooks","pipeline_stage_placeholder_or_work_area_inferred_from_path","inferred_role is path/name based only; no semantic validation performed"
"notebooks/07_feature_mapping_AARRR_260520/README.md","file","564","2026-05-20 15:52:56","3","notebooks","pipeline_stage_placeholder_or_work_area_inferred_from_path","inferred_role is path/name based only; no semantic validation performed"
"notebooks/08_promotion_nonpromotion_EDA_260520","directory","","2026-05-20 15:26:44","2","notebooks","pipeline_stage_placeholder_or_work_area_inferred_from_path","inferred_role is path/name based only; no semantic validation performed"
"notebooks/08_promotion_nonpromotion_EDA_260520/README.md","file","635","2026-05-20 15:52:56","3","notebooks","pipeline_stage_placeholder_or_work_area_inferred_from_path","inferred_role is path/name based only; no semantic validation performed"
"notebooks/09_promotion_repurchase_2x2_EDA_260520","directory","","2026-05-20 15:26:44","2","notebooks","pipeline_stage_placeholder_or_work_area_inferred_from_path","inferred_role is path/name based only; no semantic validation performed"
