"relative_path","item_type","size_bytes","modified_time","contains_final_result_csv","contains_trials_all_csv","inferred_model_family","inferred_scope","current_status","reason","requires_user_review"
"PUBLIC/results/model/01_catboost_promo0","directory","","2026-05-20 09:41:20","True","True","catboost","promo_0","legacy_reference_model_output","path/name/file-existence only; model performance not read or judged","True"
"PUBLIC/results/model/01_catboost_promo0_conservative","directory","","2026-05-20 11:11:38","True","True","catboost","promo_0","legacy_reference_model_output","path/name/file-existence only; model performance not read or judged","True"
"PUBLIC/results/model/02_catboost_promo1","directory","","2026-05-20 09:41:20","True","True","catboost","promo_1","legacy_reference_model_output","path/name/file-existence only; model performance not read or judged","True"
"PUBLIC/results/model/02_catboost_promo1_conservative","directory","","2026-05-20 11:47:07","True","True","catboost","promo_1","legacy_reference_model_output","path/name/file-existence only; model performance not read or judged","True"
"PUBLIC/results/model/03_svm_promo0","directory","","2026-05-20 09:31:23","True","True","svm","promo_0","legacy_reference_model_output","path/name/file-existence only; model performance not read or judged","True"
"PUBLIC/results/model/04_svm_promo1","directory","","2026-05-20 09:31:23","True","True","svm","promo_1","legacy_reference_model_output","path/name/file-existence only; model performance not read or judged","True"
"PUBLIC/results/model/05_rf_promo0","directory","","2026-05-19 22:05:21","True","True","random_forest","promo_0","legacy_reference_model_output","path/name/file-existence only; model performance not read or judged","True"
"PUBLIC/results/model/06_rf_promo1","directory","","2026-05-19 23:34:36","True","True","random_forest","promo_1","legacy_reference_model_output","path/name/file-existence only; model performance not read or judged","True"
"PUBLIC/results/model/07_lr_promo0","directory","","2026-05-20 09:41:20","True","True","logistic_regression","promo_0","legacy_reference_model_output","path/name/file-existence only; model performance not read or judged","True"
"PUBLIC/results/model/08_lr_promo1","directory","","2026-05-20 09:05:10","True","True","logistic_regression","promo_1","legacy_reference_model_output","path/name/file-existence only; model performance not read or judged","True"
"PUBLIC/results/model/09_gradientboosting_promo0","directory","","2026-05-20 11:59:34","True","True","gradient_boosting","promo_0","legacy_reference_model_output","path/name/file-existence only; model performance not read or judged","True"
"PUBLIC/results/model/10_gradientboosting_promo1","directory","","2026-05-20 11:59:34","True","True","gradient_boosting","promo_1","legacy_reference_model_output","path/name/file-existence only; model performance not read or judged","True"
"PUBLIC/results/model/README.md","file","1310","2026-05-20 16:08:10","False","False","unknown","unknown","unknown_needs_user_review","path/name/file-existence only; model performance not read or judged","True"
