model_family,scope,fold,val_size,val_pos,val_neg,fold_roc_auc,fold_pr_auc
LogisticRegression,promo0,0,2239,1708,531,0.875997,0.95904
LogisticRegression,promo0,1,2239,1708,531,0.857793,0.944813
LogisticRegression,promo0,2,2239,1707,532,0.862507,0.949106
LogisticRegression,promo0,3,2238,1707,531,0.870064,0.955674
LogisticRegression,promo0,4,2238,1707,531,0.859507,0.949672
LogisticRegression,promo1,0,2381,1608,773,0.83885,0.915041
LogisticRegression,promo1,1,2381,1608,773,0.840268,0.919002
LogisticRegression,promo1,2,2381,1607,774,0.835849,0.913769
LogisticRegression,promo1,3,2381,1607,774,0.854215,0.92569
LogisticRegression,promo1,4,2380,1607,773,0.828672,0.913292
GradientBoosting,promo0,0,2239,1708,531,0.889479,0.963967
GradientBoosting,promo0,1,2239,1708,531,0.874125,0.952451
GradientBoosting,promo0,2,2239,1707,532,0.880289,0.956416
GradientBoosting,promo0,3,2238,1707,531,0.886387,0.961627
GradientBoosting,promo0,4,2238,1707,531,0.873364,0.953841
GradientBoosting,promo1,0,2381,1608,773,0.863954,0.933501
GradientBoosting,promo1,1,2381,1608,773,0.862443,0.931412
GradientBoosting,promo1,2,2381,1607,774,0.850786,0.923151
GradientBoosting,promo1,3,2381,1607,774,0.877668,0.939475
GradientBoosting,promo1,4,2380,1607,773,0.84174,0.922448
