USER_KEY,is_repurchase,repurchase_score_oof_logisticregression,churn_risk_score_oof_logisticregression,repurchase_score_oof_gradientboosting,churn_risk_score_oof_gradientboosting
7a6960912bebe03c6e4c770eb1aa91329c3497f18f90cae56d6c8ddc144b0f23979d3794e250b9dd3a5c9a663e2fba6bb142541282756d406d98ee9e5b233153,1,0.84650192,0.15349808,0.74910054,0.25089946
4ec765db76545c1d6dda9f421590bf9d02f584009f8d92100afeef4594ee72306b661c43d19086f82f85f02bbb5716280f52bb7f0fde823a0656a830a0e6e41f,0,0.02807909,0.97192091,0.12919408,0.87080592
01b16f9f7ff29b48b1ee0d1a89d1eb9662474e5eedb8c2d967ea43793d3f9d03a560771374901302484d7598e771f39abbd8766c54f38753186b3f17eee9fb48,0,0.28820963,0.71179037,0.50593342,0.49406658
70da9913e0b9dd104fe781fd724bf1423f4cb4416f640e5d6820aa4cf4797841e27860fc7c8b0310348100c53cc861448978dc74d15f6f527d1e68cc0469d6a6,1,0.75704941,0.24295059,0.78560745,0.21439255
ce55ecaa87931f40db2fc448a88af43b50cbed84642851d11882544b1d2f9bc8ce1a08ec30afa994637b3a8e69e7d0e9d3beee9d1b1301fe7ebe73076b75b4f4,0,0.02140152,0.97859848,0.11210872,0.88789128
985ed8305ba05d88f22ad4b4dc1b832af4eb66d39d9ff5cd21613bf6ebc66258516a3ffa5afdf9e45160d505b5a18acab7e9a7dd6eb8b3b6d551a88e1ca46643,1,0.95100471,0.04899529,0.95698699,0.04301301
482a8174f937ec686cfed3dd029604b33df40d4d7616a7e9c985fb6b19f44d58c8aeb01c318ea12601bb501a5b17a6d3c867d1f2a68deecbba5ffda494328a49,1,0.70802742,0.29197258,0.89914876,0.10085124
457120a6023152e0aa7fce1d5ad546126bda5506b30ed81f89d02462db466df5e081a233b09fd5d051392312404b9b4ae3f4aa360a33ce3e683102a00e66334d,1,0.29325967,0.70674033,0.6450019,0.3549981
682d79dad73fef7acc8ef0424fc34344db76d46b9958609dfc99110d1ecf15fd3e0d05ec5a3b0ea9a3a8c70dbd3f6af0bbbd512b095e504f207fac6d707c4010,0,0.26089034,0.73910966,0.47767983,0.52232017
ba6fee19b0ee3f777057486ec4fd8ae2bdec4d861a1ef617920e87e604e41961ab06b66708017602e96c5fe01619c28614bb60af65f3787b126bf232c89a2eaf,1,0.98161219,0.01838781,0.95962865,0.04037135
3eb81658b0cd17c628dbf7cbed98b09aa66e0383866feb05c194f05f0113581281a6e273245c27ec86fcb8e6e9b1127c6d018f3559c72438b1dcde09292da0c3,1,0.83338122,0.16661878,0.93440585,0.06559415
1ff9d693be9f6ff2efc65ebf39f40c568efe92e3e6d7e47412f5fb3fca14b490d2f83e8799c3c56d9c3ef2dd4e689614cfba205747baa01baf2310422acebcb8,0,0.08026847,0.91973153,0.19301661,0.80698339
2bff782c4dbe0aca845d2d9446f8ba48b59b10145e019f89abbf63462d1ab1b1740b97de6d842b2a91dd8006f7407733de3933cc1c23ed270b20333920f9edd0,0,0.04716385,0.95283615,0.19008087,0.80991913
064b4d70d2129e99d78a97fa594485ab1d73b45a2eff9d3a4bd73cad1d888873faacf4f04dcff5319677ad2af01df416f3942c01725b3faea789e606abc0d41d,0,0.54220069,0.45779931,0.68147147,0.31852853
798a6947f2dca038aa7f74d4c477ddf7499485d9c252b40a1e27eb9b1c166fb032e1add3e7cd3b51f3cb8e42aafe7a62dbdeafd7d98dab2b4c45f9b97330792a,1,0.84978783,0.15021217,0.94587253,0.05412747
54175736d7329ec748fa16d244827714a36cab9941d37903ac2f898f9a6d71b1cde808b211e884c837cf8ecd3a0b1c927b4e9fcbbd754445d4849340003d20cc,0,0.07577353,0.92422647,0.28231153,0.71768847
bd8b18a2d5aa38bc122346789936e757442ddc3d8be8dde63be93e0f096d549584047b0c09010d9d12c1942af21e5c0271cde52eeaf7da8ae34c354119faf502,1,0.43802953,0.56197047,0.58792377,0.41207623
f08d2ac930d5480ecda13e4d7d03d4d2dffb5a6a6023938aced45c95532d6589c78a14a90533e27ddc8dc0ce07842d9c9aa291341d2d1ed0b4c94f9ffc545f3b,1,0.69846428,0.30153572,0.75482773,0.24517227
8a9217ad1f2e18ba77d15d1eb0f73c4ea0c3105df50ccb8511122376fa6dfca3cc04fe7be3c15d4b920e1eccd13605a5e19927651751c436a36426f70d7eec92,1,0.83899701,0.16100299,0.84273289,0.15726711
093a5431bb5a7f2d8ed42a3c8dbeeba279fda5bd973bafc00d27a8f10c99734a2266025efc9e9e201ebdb74ea8ca52bc4bd7366f7cce1b9870b08038ee212a91,0,0.51901821,0.48098179,0.68201386,0.31798614
b809aa50af5a0b5394d295615ff0db12bcb7617b8858260907545cc9fce8aec59a203db14e6484ce7d05de9c11f53624542f0f4868710098c59e4994629a2223,1,0.96622849,0.03377151,0.97208238,0.02791762
9e2ddd58b29bf9cd74907a2ece4db4ae6c26b12ea44a28bc2f214286c162076251e268dd9fe9552b3521808267a6a5b28815c22584b0eca133dec028088f063e,0,0.49162442,0.50837558,0.61151777,0.38848223
64307c3584a401e7794b9dfa17767400654c7d706aa5858683bb5b85dc4fd299dfb3a6e0d8366ea3d38800c694804bea598da56fe991e45e39345c766a60f5a7,0,0.05242951,0.94757049,0.20824758,0.79175242
3eeb0831d2284e7bec46b00e204e23aa37954352338b7ff3d16d58547266e7f68b62a987d293dbcc4be2895e96c40a8ee546b7a27ed022fd73f28d66f3ca091b,1,0.9304405,0.0695595,0.96096851,0.03903149
a19935a80061c8bcb5c8cd0fc3964b38f6af299fa93a5ecf8a76cf7712bb24679d2235cbb3b22d87a446d1f920cfce55679924e95479d59458a491c4c4ba5468,0,0.42960685,0.57039315,0.61214163,0.38785837
19953a84ed20d779c8c4e2398a1cfb21b00fc0899714ef73532e8146642da76f14161c25473abac4f557079b0ee07da0fd8829fffb5786d4ab73d0f971f13f77,1,0.11117465,0.88882535,0.3867703,0.6132297
