model_family,feature_or_family,comparison_level,promo1_importance,promo0_importance,delta_promo1_minus_promo0,stronger_in,interpretation,caveat,notes
GradientBoosting,action_adventure_ratio,feature,0.1830513290689194,0.1686234832727902,0.014427845796129213,promo1,model uses this feature more strongly in promo1,"This is model behavior, not evidence that 100won caused the difference.",Feature-level comparison retains existing SHAP values.
GradientBoosting,active_ratio,feature,0.0,0.0006590159546071,-0.0006590159546071,promo0,model uses this feature more strongly in promo0,"This is model behavior, not evidence that 100won caused the difference.",Feature-level comparison retains existing SHAP values.
GradientBoosting,age_group,feature,0.0222242350255946,0.0440784042948923,-0.0218541692692977,promo0,model uses this feature more strongly in promo0,"This is model behavior, not evidence that 100won caused the difference.",Feature-level comparison retains existing SHAP values.
GradientBoosting,avg_daily_watch_time_min,feature,0.0029510492596108,0.0015777090244295,0.0013733402351813002,promo1,model uses this feature more strongly in promo1,"This is model behavior, not evidence that 100won caused the difference.",Feature-level comparison retains existing SHAP values.
GradientBoosting,avg_gap_between_watch_days,feature,0.0066981503334543,0.0050148849351185,0.0016832653983357999,promo1,model uses this feature more strongly in promo1,"This is model behavior, not evidence that 100won caused the difference.",Feature-level comparison retains existing SHAP values.
GradientBoosting,avg_gap_w1_watch_days,feature,0.001359090188866,0.0175170734203014,-0.0161579832314354,promo0,model uses this feature more strongly in promo0,"This is model behavior, not evidence that 100won caused the difference.",Feature-level comparison retains existing SHAP values.
GradientBoosting,avg_gap_w2_watch_days,feature,0.0028234087712799,0.0,0.0028234087712799,promo1,model uses this feature more strongly in promo1,"This is model behavior, not evidence that 100won caused the difference.",Feature-level comparison retains existing SHAP values.
GradientBoosting,avg_gap_w3_watch_days,feature,0.0085588630446249,0.0024134034051284,0.006145459639496499,promo1,model uses this feature more strongly in promo1,"This is model behavior, not evidence that 100won caused the difference.",Feature-level comparison retains existing SHAP values.
GradientBoosting,avg_ott_release_year,feature,0.028833479130041,0.0071398043428102,0.0216936747872308,promo1,model uses this feature more strongly in promo1,"This is model behavior, not evidence that 100won caused the difference.",Feature-level comparison retains existing SHAP values.
GradientBoosting,avg_rewatch_ratio,feature,0.0203490809379794,0.0032517052333312,0.017097375704648202,promo1,model uses this feature more strongly in promo1,"This is model behavior, not evidence that 100won caused the difference.",Feature-level comparison retains existing SHAP values.
GradientBoosting,avg_watch_time_min,feature,0.028641947531886,0.0057304107506177,0.022911536781268303,promo1,model uses this feature more strongly in promo1,"This is model behavior, not evidence that 100won caused the difference.",Feature-level comparison retains existing SHAP values.
GradientBoosting,comedy_ratio,feature,0.009576699016241,0.0015117578074268,0.0080649412088142,promo1,model uses this feature more strongly in promo1,"This is model behavior, not evidence that 100won caused the difference.",Feature-level comparison retains existing SHAP values.
GradientBoosting,day_count_over_3times,feature,0.0,0.0,0.0,similar,similar_or_unavailable,"This is model behavior, not evidence that 100won caused the difference.",Feature-level comparison retains existing SHAP values.
