model_family,promo_scope,feature_family,total_mean_abs_shap,mean_mean_abs_shap,feature_count,family_rank,changed_from_original,interpretation_caveat,notes
GradientBoosting,promo0,weekly_usage,1.3809966019692443,0.04454827748287885,31,1,False,SHAP values are unchanged; only family aggregation changed.,Use for 17 handoff after review.
GradientBoosting,promo0,genre_preference,1.1514309430942005,0.09595257859118338,12,2,True,SHAP values are unchanged; only family aggregation changed.,Use for 17 handoff after review.
GradientBoosting,promo0,retention_decay,0.4568113300419129,0.22840566502095644,2,3,False,SHAP values are unchanged; only family aggregation changed.,Use for 17 handoff after review.
GradientBoosting,promo0,usage_concentration,0.1117107748217988,0.037236924940599596,3,4,True,SHAP values are unchanged; only family aggregation changed.,Use for 17 handoff after review.
GradientBoosting,promo0,week_specific_usage_pattern,0.1023168296453725,0.03410560988179084,3,5,True,SHAP values are unchanged; only family aggregation changed.,Use for 17 handoff after review.
GradientBoosting,promo0,historical_churn_prevention_context,0.0581674155004773,0.0581674155004773,1,6,False,SHAP values are unchanged; only family aggregation changed.,Use for 17 handoff after review.
GradientBoosting,promo0,onboarding_activation,0.0500236933924705,0.02501184669623525,2,7,False,SHAP values are unchanged; only family aggregation changed.,Use for 17 handoff after review.
GradientBoosting,promo0,demographic_context,0.0440784042948923,0.014692801431630766,3,8,False,SHAP values are unchanged; only family aggregation changed.,Use for 17 handoff after review.
GradientBoosting,promo0,membership_context,0.0278777663834184,0.0069694415958546,4,9,False,SHAP values are unchanged; only family aggregation changed.,Use for 17 handoff after review.
GradientBoosting,promo0,content_preference,0.0186109058323862,0.0026587008331980283,7,10,False,SHAP values are unchanged; only family aggregation changed.,Use for 17 handoff after review.
GradientBoosting,promo0,inactivity_recency,0.014944887710824799,0.007472443855412399,2,11,True,SHAP values are unchanged; only family aggregation changed.,Use for 17 handoff after review.
GradientBoosting,promo0,registration_timing_context,0.0077517250385885006,0.0015503450077177,5,12,True,SHAP values are unchanged; only family aggregation changed.,Use for 17 handoff after review.
GradientBoosting,promo1,genre_preference,1.34462531693964,0.11205210974497,12,1,True,SHAP values are unchanged; only family aggregation changed.,Use for 17 handoff after review.
GradientBoosting,promo1,weekly_usage,1.22934786505636,0.03965638274375355,31,2,False,SHAP values are unchanged; only family aggregation changed.,Use for 17 handoff after review.
GradientBoosting,promo1,retention_decay,0.5663888408155987,0.28319442040779935,2,3,False,SHAP values are unchanged; only family aggregation changed.,Use for 17 handoff after review.
GradientBoosting,promo1,onboarding_activation,0.1755691321829313,0.08778456609146565,2,4,False,SHAP values are unchanged; only family aggregation changed.,Use for 17 handoff after review.
GradientBoosting,promo1,membership_context,0.1311474780597214,0.03278686951493035,4,5,False,SHAP values are unchanged; only family aggregation changed.,Use for 17 handoff after review.
