model_family,feature_or_family,comparison_level,promo1_importance,promo0_importance,delta_promo1_minus_promo0,stronger_in,interpretation,caveat,notes
GradientBoosting,action_adventure_ratio,feature,0.1830513290689194,0.16862348327279028,0.01442784579612913,promo1,stronger_in_promo1_100won_context,"Importance difference is model behavior, not causal effect of promotion.",Promo1 is the main 100won business scope; promo0 is comparison scope.
GradientBoosting,active_ratio,feature,0.0,0.0006590159546071622,-0.0006590159546071622,promo0,stronger_in_promo0_general_customer_context,"Importance difference is model behavior, not causal effect of promotion.",Promo1 is the main 100won business scope; promo0 is comparison scope.
GradientBoosting,age_group,feature,0.022224235025594608,0.044078404294892334,-0.021854169269297726,promo0,stronger_in_promo0_general_customer_context,"Importance difference is model behavior, not causal effect of promotion.",Promo1 is the main 100won business scope; promo0 is comparison scope.
GradientBoosting,avg_daily_watch_time_min,feature,0.0029510492596108526,0.0015777090244295017,0.001373340235181351,promo1,stronger_in_promo1_100won_context,"Importance difference is model behavior, not causal effect of promotion.",Promo1 is the main 100won business scope; promo0 is comparison scope.
GradientBoosting,avg_gap_between_watch_days,feature,0.006698150333454347,0.005014884935118515,0.0016832653983358328,promo1,stronger_in_promo1_100won_context,"Importance difference is model behavior, not causal effect of promotion.",Promo1 is the main 100won business scope; promo0 is comparison scope.
GradientBoosting,avg_gap_w1_watch_days,feature,0.001359090188866015,0.017517073420301458,-0.016157983231435444,promo0,stronger_in_promo0_general_customer_context,"Importance difference is model behavior, not causal effect of promotion.",Promo1 is the main 100won business scope; promo0 is comparison scope.
GradientBoosting,avg_gap_w2_watch_days,feature,0.0028234087712799604,0.0,0.0028234087712799604,promo1,stronger_in_promo1_100won_context,"Importance difference is model behavior, not causal effect of promotion.",Promo1 is the main 100won business scope; promo0 is comparison scope.
GradientBoosting,avg_gap_w3_watch_days,feature,0.008558863044624923,0.0024134034051284782,0.006145459639496445,promo1,stronger_in_promo1_100won_context,"Importance difference is model behavior, not causal effect of promotion.",Promo1 is the main 100won business scope; promo0 is comparison scope.
GradientBoosting,avg_ott_release_year,feature,0.028833479130041,0.007139804342810297,0.021693674787230704,promo1,stronger_in_promo1_100won_context,"Importance difference is model behavior, not causal effect of promotion.",Promo1 is the main 100won business scope; promo0 is comparison scope.
GradientBoosting,avg_rewatch_ratio,feature,0.020349080937979415,0.003251705233331281,0.017097375704648133,promo1,stronger_in_promo1_100won_context,"Importance difference is model behavior, not causal effect of promotion.",Promo1 is the main 100won business scope; promo0 is comparison scope.
GradientBoosting,avg_watch_time_min,feature,0.028641947531886053,0.005730410750617729,0.022911536781268324,promo1,stronger_in_promo1_100won_context,"Importance difference is model behavior, not causal effect of promotion.",Promo1 is the main 100won business scope; promo0 is comparison scope.
GradientBoosting,comedy_ratio,feature,0.009576699016241015,0.0015117578074268162,0.008064941208814198,promo1,stronger_in_promo1_100won_context,"Importance difference is model behavior, not causal effect of promotion.",Promo1 is the main 100won business scope; promo0 is comparison scope.
GradientBoosting,day_count_over_3times,feature,0.0,0.0,0.0,similar,similar_across_scopes,"Importance difference is model behavior, not causal effect of promotion.",Promo1 is the main 100won business scope; promo0 is comparison scope.
