model_family,promo_scope,feature_family,total_mean_abs_shap,mean_mean_abs_shap,feature_count,family_rank,interpretation_caveat,notes
GradientBoosting,promo0,weekly_usage,1.3809966019692455,0.04454827748287889,31,1,Family mapping is provisional for 16 SHAP only.,07 mapping remains pending validation.
GradientBoosting,promo0,genre_preference,1.112997298446305,0.1236663664940339,9,2,Family mapping is provisional for 16 SHAP only.,07 mapping remains pending validation.
GradientBoosting,promo0,retention_decay,0.4568113300419129,0.22840566502095644,2,3,Family mapping is provisional for 16 SHAP only.,07 mapping remains pending validation.
GradientBoosting,promo0,technical_or_unknown,0.27515786186448093,0.01719736636653006,16,4,Family mapping is provisional for 16 SHAP only.,07 mapping remains pending validation.
GradientBoosting,promo0,historical_churn_prevention_context,0.05816741550047737,0.05816741550047737,1,5,Family mapping is provisional for 16 SHAP only.,07 mapping remains pending validation.
GradientBoosting,promo0,onboarding_activation,0.050023693392470515,0.025011846696235258,2,6,Family mapping is provisional for 16 SHAP only.,07 mapping remains pending validation.
GradientBoosting,promo0,demographic_context,0.044078404294892334,0.014692801431630778,3,7,Family mapping is provisional for 16 SHAP only.,07 mapping remains pending validation.
GradientBoosting,promo0,membership_context,0.027877766383418545,0.006969441595854636,4,8,Family mapping is provisional for 16 SHAP only.,07 mapping remains pending validation.
GradientBoosting,promo0,content_preference,0.018610905832386518,0.002658700833198074,7,9,Family mapping is provisional for 16 SHAP only.,07 mapping remains pending validation.
GradientBoosting,promo1,genre_preference,1.2765918635143723,0.1418435403904858,9,1,Family mapping is provisional for 16 SHAP only.,07 mapping remains pending validation.
GradientBoosting,promo1,weekly_usage,1.2293478650563614,0.03965638274375359,31,2,Family mapping is provisional for 16 SHAP only.,07 mapping remains pending validation.
GradientBoosting,promo1,retention_decay,0.5663888408155988,0.2831944204077994,2,3,Family mapping is provisional for 16 SHAP only.,07 mapping remains pending validation.
GradientBoosting,promo1,technical_or_unknown,0.2486430884589186,0.015540193028682413,16,4,Family mapping is provisional for 16 SHAP only.,07 mapping remains pending validation.
GradientBoosting,promo1,onboarding_activation,0.17556913218293138,0.08778456609146569,2,5,Family mapping is provisional for 16 SHAP only.,07 mapping remains pending validation.
GradientBoosting,promo1,membership_context,0.1311474780597215,0.03278686951493037,4,6,Family mapping is provisional for 16 SHAP only.,07 mapping remains pending validation.
GradientBoosting,promo1,content_preference,0.07881103011043619,0.01125871858720517,7,7,Family mapping is provisional for 16 SHAP only.,07 mapping remains pending validation.
GradientBoosting,promo1,historical_churn_prevention_context,0.07032606727898785,0.07032606727898785,1,8,Family mapping is provisional for 16 SHAP only.,07 mapping remains pending validation.
GradientBoosting,promo1,demographic_context,0.02309061832409375,0.0076968727746979165,3,9,Family mapping is provisional for 16 SHAP only.,07 mapping remains pending validation.
LogisticRegression,promo0,weekly_usage,3.371806886673307,0.10876796408623571,31,1,Family mapping is provisional for 16 SHAP only.,07 mapping remains pending validation.
LogisticRegression,promo0,technical_or_unknown,1.8858428232033333,0.11786517645020833,16,2,Family mapping is provisional for 16 SHAP only.,07 mapping remains pending validation.
LogisticRegression,promo0,genre_preference,1.770864523047051,0.19676272478300566,9,3,Family mapping is provisional for 16 SHAP only.,07 mapping remains pending validation.
LogisticRegression,promo0,retention_decay,1.2764475739853807,0.6382237869926903,2,4,Family mapping is provisional for 16 SHAP only.,07 mapping remains pending validation.
LogisticRegression,promo0,content_preference,0.5280776827615028,0.07543966896592898,7,5,Family mapping is provisional for 16 SHAP only.,07 mapping remains pending validation.
LogisticRegression,promo0,membership_context,0.18717247951672514,0.046793119879181284,4,6,Family mapping is provisional for 16 SHAP only.,07 mapping remains pending validation.
LogisticRegression,promo0,demographic_context,0.16068871659182177,0.053562905530607254,3,7,Family mapping is provisional for 16 SHAP only.,07 mapping remains pending validation.
LogisticRegression,promo0,historical_churn_prevention_context,0.13190646033153633,0.13190646033153633,1,8,Family mapping is provisional for 16 SHAP only.,07 mapping remains pending validation.
LogisticRegression,promo0,onboarding_activation,0.11349633801520834,0.05674816900760417,2,9,Family mapping is provisional for 16 SHAP only.,07 mapping remains pending validation.
LogisticRegression,promo1,weekly_usage,2.7917755334460663,0.09005727527245375,31,1,Family mapping is provisional for 16 SHAP only.,07 mapping remains pending validation.
LogisticRegression,promo1,genre_preference,1.7642705175747715,0.19603005750830793,9,2,Family mapping is provisional for 16 SHAP only.,07 mapping remains pending validation.
LogisticRegression,promo1,technical_or_unknown,1.4122810906489425,0.0882675681655589,16,3,Family mapping is provisional for 16 SHAP only.,07 mapping remains pending validation.
LogisticRegression,promo1,retention_decay,0.8840242033822658,0.4420121016911329,2,4,Family mapping is provisional for 16 SHAP only.,07 mapping remains pending validation.
LogisticRegression,promo1,content_preference,0.5835439028931306,0.08336341469901866,7,5,Family mapping is provisional for 16 SHAP only.,07 mapping remains pending validation.
LogisticRegression,promo1,onboarding_activation,0.28652581154577983,0.14326290577288991,2,6,Family mapping is provisional for 16 SHAP only.,07 mapping remains pending validation.
LogisticRegression,promo1,membership_context,0.23878857412016724,0.05969714353004181,4,7,Family mapping is provisional for 16 SHAP only.,07 mapping remains pending validation.
LogisticRegression,promo1,historical_churn_prevention_context,0.14544984537680164,0.14544984537680164,1,8,Family mapping is provisional for 16 SHAP only.,07 mapping remains pending validation.
LogisticRegression,promo1,demographic_context,0.09378849415930092,0.03126283138643364,3,9,Family mapping is provisional for 16 SHAP only.,07 mapping remains pending validation.
