row_id,promo_scope,is_repurchase,gb_churn_risk_score_oof,lr_churn_risk_score_oof,lr_high_risk_top10,gb_high_risk_top10,lr_high_risk_top20,gb_high_risk_top20,lr_high_risk_top30,gb_high_risk_top30,gb_lr_both_high_risk_top20,gb_only_high_risk_top20,lr_only_high_risk_top20,neither_high_risk_top20,low_watch_count,low_watch_time,low_watch_days,low_activity,low_activity_reason,cold_start_weak,early_activation_success,week2_drop,week3_drop,week3_inactive,only_w1,only_w2,only_w3,retention_decay,inactivity_recency_risk,usage_concentrated,stable_usage,genre_preference_clear,content_preference_signal
0,promo0,1,0.279608029249159,0.5515820166388248,0,0,0,0,0,0,0,0,0,1,1,1,1,1,"low_watch_count,low_watch_time,low_watch_days",1,0,0,0,1,0,0,0,0,1,1,0,1,1
1,promo0,0,0.2536669955485878,0.5354092196845048,0,0,0,0,0,0,0,0,0,1,1,1,1,1,"low_watch_count,low_watch_time,low_watch_days",1,0,0,0,1,0,0,0,0,1,1,0,1,1
2,promo0,1,0.1765590612694076,0.7071312343048948,0,0,0,0,1,0,0,0,0,1,0,0,1,1,low_watch_days,1,0,0,1,1,0,1,0,1,0,1,0,1,1
3,promo0,1,0.0216402583358897,0.0154918413810879,0,0,0,0,0,0,0,0,0,1,0,0,0,0,none,1,0,0,1,0,0,0,0,1,0,0,0,0,1
4,promo0,1,0.4988197839929712,0.7943558095562772,0,0,1,1,1,1,1,0,0,0,0,0,0,0,none,0,1,1,1,1,0,0,0,1,0,0,0,0,1
5,promo0,1,0.1737822033714096,0.292871860201144,0,0,0,0,0,0,0,0,0,1,0,1,1,1,"low_watch_time,low_watch_days",0,1,0,1,1,0,0,0,1,1,1,0,0,1
6,promo0,1,0.0241789285991412,0.1000243858180917,0,0,0,0,0,0,0,0,0,1,0,0,0,0,none,0,1,0,0,0,0,0,0,0,1,0,0,0,1
7,promo0,1,0.393263981357101,0.5723349311517063,0,0,0,0,1,1,0,0,0,1,0,0,0,0,none,0,1,0,1,0,0,0,0,0,0,0,1,0,1
8,promo0,1,0.0601216076423098,0.1469220680679003,0,0,0,0,0,0,0,0,0,1,0,0,0,0,none,0,1,1,0,0,0,0,0,1,1,0,0,0,1
9,promo0,1,0.2746547590801321,0.5492300760308394,0,0,0,0,0,0,0,0,0,1,1,1,1,1,"low_watch_count,low_watch_time,low_watch_days",1,0,0,0,1,0,0,0,0,1,1,0,1,1
10,promo0,1,0.1877433761815747,0.387121532738511,0,0,0,0,0,0,0,0,0,1,0,0,0,0,none,1,0,0,1,0,0,0,0,1,0,0,0,0,1
11,promo0,0,0.0988027698671656,0.5902511437345516,0,0,0,0,1,0,0,0,0,1,0,0,0,0,none,0,1,0,0,0,0,0,0,0,0,0,1,0,1
12,promo0,0,0.1608122030879576,0.423617561965987,0,0,0,0,0,0,0,0,0,1,1,1,1,1,"low_watch_count,low_watch_time,low_watch_days",1,0,0,0,0,0,0,1,0,0,1,0,1,1
13,promo0,1,0.1706861805806606,0.2916752887311226,0,0,0,0,0,0,0,0,0,1,1,1,1,1,"low_watch_count,low_watch_time,low_watch_days",1,0,0,1,1,0,1,0,1,1,1,0,1,1
14,promo0,1,0.0901898857015731,0.2306091466023676,0,0,0,0,0,0,0,0,0,1,0,0,0,0,none,0,1,1,0,0,0,0,0,1,0,0,0,0,1
15,promo0,1,0.0384810691761983,0.0420385813354005,0,0,0,0,0,0,0,0,0,1,0,0,0,0,none,1,0,0,0,0,0,0,0,0,0,0,0,0,1
16,promo0,0,0.270623896401691,0.521536031845834,0,0,0,0,0,0,0,0,0,1,1,1,1,1,"low_watch_count,low_watch_time,low_watch_days",1,0,0,0,1,0,0,0,0,1,1,0,1,1
17,promo0,0,0.1504039470290684,0.6401101459709069,0,0,0,0,1,0,0,0,0,1,0,0,1,1,low_watch_days,0,1,0,1,1,0,0,0,1,0,1,0,0,1
18,promo0,0,0.7361876684470501,0.898257595997112,1,1,1,1,1,1,1,0,0,0,1,1,1,1,"low_watch_count,low_watch_time,low_watch_days",0,1,1,0,1,1,0,0,1,1,1,0,1,1
19,promo0,1,0.2650068437471155,0.6291609698955292,0,0,0,0,1,0,0,0,0,1,1,1,1,1,"low_watch_count,low_watch_time,low_watch_days",1,0,0,0,0,0,0,1,0,0,1,0,1,1
20,promo0,1,0.1130032888436817,0.2357354796847393,0,0,0,0,0,0,0,0,0,1,0,0,0,0,none,0,1,0,0,0,0,0,0,0,0,0,1,0,1
21,promo0,1,0.72846932083951,0.9501598999406924,1,1,1,1,1,1,1,0,0,0,1,1,1,1,"low_watch_count,low_watch_time,low_watch_days",0,1,0,0,1,1,0,0,0,1,1,0,0,1
22,promo0,1,0.0564716926056323,0.0219061911602501,0,0,0,0,0,0,0,0,0,1,1,0,1,1,"low_watch_count,low_watch_days",1,0,0,0,0,0,0,0,0,1,1,0,1,1
23,promo0,0,0.2492333931539786,0.5927214300599659,0,0,0,0,1,0,0,0,0,1,1,1,1,1,"low_watch_count,low_watch_time,low_watch_days",1,0,0,0,0,0,0,1,0,0,1,0,1,1
