row_id,promo_scope,is_repurchase,representative_segment_id,provisional_label,assignment_priority_order,gb_churn_risk_score_oof,lr_churn_risk_score_oof,gb_risk_percentile,lr_risk_percentile,gb_high_risk_top20,lr_high_risk_top20,gb_lr_both_high_risk_top20,week3_inactive,retention_decay,only_w1,cold_start_weak,early_activation_success,low_activity,low_activity_reason,low_watch_count,low_watch_time,low_watch_days,genre_preference_clear,content_preference_signal,stable_usage
0,promo0,1,promo0_s99,promo0_other_needs_review,99,0.279608029249159,0.5515820166388248,31.29634593049227,30.938979719467525,0,0,0,1,0,0,1,0,1,"low_watch_count,low_watch_time,low_watch_days",1,1,1,1,1,0
1,promo0,0,promo0_s99,promo0_other_needs_review,99,0.2536669955485878,0.5354092196845048,36.92486375413205,32.654337532386315,0,0,0,1,0,0,1,0,1,"low_watch_count,low_watch_time,low_watch_days",1,1,1,1,1,0
2,promo0,1,promo0_s99,promo0_other_needs_review,99,0.1765590612694076,0.7071312343048948,44.911998570535154,20.646832841954797,0,0,0,1,1,0,1,0,1,low_watch_days,0,0,1,1,1,0
3,promo0,1,promo0_s99,promo0_other_needs_review,99,0.0216402583358897,0.0154918413810879,93.17430536942732,97.1232020012508,0,0,0,0,1,0,1,0,0,none,0,0,0,0,1,0
4,promo0,1,promo0_s01,promo0_high_risk_week3_inactive,1,0.4988197839929712,0.7943558095562772,16.51031894934334,14.884302689180736,1,1,1,1,1,0,0,1,0,none,0,0,0,0,1,0
5,promo0,1,promo0_s99,promo0_other_needs_review,99,0.1737822033714096,0.292871860201144,45.21575984990619,53.13142142410435,0,0,0,1,1,0,0,1,1,"low_watch_time,low_watch_days",0,1,1,0,1,0
6,promo0,1,promo0_s99,promo0_other_needs_review,99,0.0241789285991412,0.1000243858180917,91.42321093540605,76.64611810953275,0,0,0,0,0,0,0,1,0,none,0,0,0,0,1,0
7,promo0,1,promo0_s05,promo0_stable_usage_lower_risk,5,0.393263981357101,0.5723349311517063,21.933351201643887,29.170016974895024,0,0,0,0,0,0,0,1,0,none,0,0,0,0,1,1
8,promo0,1,promo0_s99,promo0_other_needs_review,99,0.0601216076423098,0.1469220680679003,69.52559635486465,68.57857589564907,0,0,0,0,1,0,0,1,0,none,0,0,0,0,1,0
9,promo0,1,promo0_s99,promo0_other_needs_review,99,0.2746547590801321,0.5492300760308394,32.46672027159832,31.42142410435093,0,0,0,1,0,0,1,0,1,"low_watch_count,low_watch_time,low_watch_days",1,1,1,1,1,0
10,promo0,1,promo0_s99,promo0_other_needs_review,99,0.1877433761815747,0.387121532738511,43.58974358974359,45.707138390065225,0,0,0,0,1,0,1,0,0,none,0,0,0,0,1,0
11,promo0,0,promo0_s05,promo0_stable_usage_lower_risk,5,0.0988027698671656,0.5902511437345516,57.2143303850621,27.91030108103279,0,0,0,0,0,0,0,1,0,none,0,0,0,0,1,1
12,promo0,0,promo0_s99,promo0_other_needs_review,99,0.1608122030879576,0.423617561965987,46.81497364424194,43.13410167068704,0,0,0,0,0,0,1,0,1,"low_watch_count,low_watch_time,low_watch_days",1,1,1,1,1,0
13,promo0,1,promo0_s99,promo0_other_needs_review,99,0.1706861805806606,0.2916752887311226,45.671401768962745,53.185026355758055,0,0,0,1,1,0,1,0,1,"low_watch_count,low_watch_time,low_watch_days",1,1,1,1,1,0
14,promo0,1,promo0_s99,promo0_other_needs_review,99,0.0901898857015731,0.2306091466023676,59.31385687483248,58.60805860805861,0,0,0,0,1,0,0,1,0,none,0,0,0,0,1,0
15,promo0,1,promo0_s99,promo0_other_needs_review,99,0.0384810691761983,0.0420385813354005,80.72902707049049,89.8686679174484,0,0,0,0,0,0,1,0,0,none,0,0,0,0,1,0
16,promo0,0,promo0_s99,promo0_other_needs_review,99,0.270623896401691,0.521536031845834,33.61029214687751,34.45903689806129,0,0,0,1,0,0,1,0,1,"low_watch_count,low_watch_time,low_watch_days",1,1,1,1,1,0
17,promo0,0,promo0_s99,promo0_other_needs_review,99,0.1504039470290684,0.6401101459709069,48.19083355668721,24.425980523541497,0,0,0,1,1,0,0,1,1,low_watch_days,0,0,1,0,1,0
18,promo0,0,promo0_s01,promo0_high_risk_week3_inactive,1,0.7361876684470501,0.898257595997112,5.45876887340302,7.978200661127491,1,1,1,1,1,1,0,1,1,"low_watch_count,low_watch_time,low_watch_days",1,1,1,1,1,0
