promo_scope,subgroup_item,subgroup_value,row_count,share_within_other,actual_repurchase_rate,mean_gb_churn_risk,gb_top10_share,gb_top20_share,top_flags_present,possible_future_rule,caveat
promo0,gb_top10,1,9,0.0012868172719473834,0.4444444444444444,0.6858333481743553,1.0,1.0,content_preference_signal:1.00:broad_marker,candidate_for_future_review_only,Decomposition is not final segment assignment.
promo0,gb_top20,1,71,0.010151558478696025,0.36619718309859156,0.531591534639611,0.1267605633802817,1.0,content_preference_signal:0.99:broad_marker,candidate_for_future_review_only,Decomposition is not final segment assignment.
promo0,gb_top30,1,1125,0.16085215899342292,0.5893333333333334,0.3635731871774928,0.008,0.06311111111111112,week3_inactive:0.59:flag; retention_decay:0.66:flag; cold_start_weak:0.31:flag; low_activity:0.53:flag; usage_concentrated:0.50:flag; genre_preference_clear:0.33:flag; content_preference_signal:0.98:broad_marker,candidate_for_future_review_only,Decomposition is not final segment assignment.
promo0,low_activity,1,3367,0.48141263940520446,0.839025839025839,0.18026596357332206,0.0,0.0,week3_inactive:0.50:flag; retention_decay:0.43:flag; cold_start_weak:0.73:flag; low_activity:1.00:flag; usage_concentrated:0.93:flag; genre_preference_clear:0.55:flag; content_preference_signal:1.00:broad_marker,candidate_for_future_review_only,Decomposition is not final segment assignment.
promo0,stable_usage,1,0,0.0,,,,,,candidate_for_future_review_only,Decomposition is not final segment assignment.
promo0,weak_or_no_flags,1,1068,0.15270231627108952,0.8595505617977528,0.12027726851125968,0.008426966292134831,0.06647940074906367,cold_start_weak:0.45:flag; content_preference_signal:0.98:broad_marker,candidate_for_future_review_only,Decomposition is not final segment assignment.
promo0,genre_preference_clear,1,2181,0.31183871890191595,0.8239339752407153,0.19632730568121876,0.0,0.0,week3_inactive:0.59:flag; retention_decay:0.37:flag; cold_start_weak:0.79:flag; low_activity:0.85:flag; usage_concentrated:0.86:flag; genre_preference_clear:1.00:flag; content_preference_signal:1.00:broad_marker,candidate_for_future_review_only,Decomposition is not final segment assignment.
promo0,week3_inactive,1,2400,0.3431512725193023,0.7970833333333334,0.2247451415113025,0.0,0.0,week3_inactive:1.00:flag; retention_decay:0.71:flag; cold_start_weak:0.58:flag; low_activity:0.70:flag; usage_concentrated:0.69:flag; genre_preference_clear:0.53:flag; content_preference_signal:0.99:broad_marker,candidate_for_future_review_only,Decomposition is not final segment assignment.
promo0,retention_decay,1,3890,0.5561910208750357,0.8760925449871465,0.14754148079016063,0.0,0.0,week3_inactive:0.44:flag; retention_decay:1.00:flag; low_activity:0.37:flag; usage_concentrated:0.37:flag; content_preference_signal:0.97:broad_marker,candidate_for_future_review_only,Decomposition is not final segment assignment.
promo0,cold_start_weak,1,3223,0.4608235630540463,0.8609990691901954,0.15313946499928957,0.0,0.0,week3_inactive:0.43:flag; retention_decay:0.28:flag; cold_start_weak:1.00:flag; low_activity:0.76:flag; usage_concentrated:0.76:flag; genre_preference_clear:0.54:flag; content_preference_signal:0.99:broad_marker,candidate_for_future_review_only,Decomposition is not final segment assignment.
promo1,gb_top10,1,22,0.0029162248144220574,0.09090909090909091,0.778916139587145,1.0,1.0,content_preference_signal:1.00:broad_marker,candidate_for_future_review_only,Decomposition is not final segment assignment.
promo1,gb_top20,1,107,0.014183457051961824,0.18691588785046728,0.6671719030232319,0.205607476635514,1.0,content_preference_signal:0.99:broad_marker,candidate_for_future_review_only,Decomposition is not final segment assignment.
promo1,gb_top30,1,1211,0.16052492046659597,0.40957886044591246,0.5274978259613862,0.018166804293971925,0.08835672997522709,week3_inactive:0.51:flag; retention_decay:0.62:flag; cold_start_weak:0.29:flag; low_activity:0.51:flag; usage_concentrated:0.47:flag; genre_preference_clear:0.33:flag; content_preference_signal:0.98:broad_marker,candidate_for_future_review_only,Decomposition is not final segment assignment.
promo1,low_activity,1,3528,0.4676564156945917,0.7191043083900227,0.28877366583716485,0.0,0.0,week3_inactive:0.50:flag; retention_decay:0.43:flag; cold_start_weak:0.72:flag; low_activity:1.00:flag; usage_concentrated:0.92:flag; genre_preference_clear:0.56:flag; content_preference_signal:1.00:broad_marker,candidate_for_future_review_only,Decomposition is not final segment assignment.
promo1,stable_usage,1,0,0.0,,,,,,candidate_for_future_review_only,Decomposition is not final segment assignment.
promo1,weak_or_no_flags,1,1194,0.158271474019088,0.7470686767169179,0.21963760728600212,0.018425460636515914,0.08961474036850921,cold_start_weak:0.48:flag; content_preference_signal:0.98:broad_marker,candidate_for_future_review_only,Decomposition is not final segment assignment.
promo1,genre_preference_clear,1,2388,0.316542948038176,0.7014237855946399,0.30520398233717194,0.0,0.0,week3_inactive:0.57:flag; retention_decay:0.37:flag; cold_start_weak:0.76:flag; low_activity:0.83:flag; usage_concentrated:0.85:flag; genre_preference_clear:1.00:flag; content_preference_signal:1.00:broad_marker,candidate_for_future_review_only,Decomposition is not final segment assignment.
promo1,week3_inactive,1,2555,0.3386797454931071,0.6637964774951076,0.3402988434506694,0.0,0.0,week3_inactive:1.00:flag; retention_decay:0.70:flag; cold_start_weak:0.54:flag; low_activity:0.69:flag; usage_concentrated:0.68:flag; genre_preference_clear:0.54:flag; content_preference_signal:0.98:broad_marker,candidate_for_future_review_only,Decomposition is not final segment assignment.
promo1,retention_decay,1,4180,0.5540827147401909,0.7760765550239235,0.23421160130568583,0.0,0.0,week3_inactive:0.43:flag; retention_decay:1.00:flag; low_activity:0.36:flag; usage_concentrated:0.35:flag; content_preference_signal:0.96:broad_marker,candidate_for_future_review_only,Decomposition is not final segment assignment.
promo1,cold_start_weak,1,3433,0.45506362672322376,0.7631808913486746,0.24264585067512745,0.0,0.0,week3_inactive:0.40:flag; retention_decay:0.26:flag; cold_start_weak:1.00:flag; low_activity:0.74:flag; usage_concentrated:0.74:flag; genre_preference_clear:0.53:flag; content_preference_signal:0.99:broad_marker,candidate_for_future_review_only,Decomposition is not final segment assignment.
