promo_scope,other_subgroup,row_count,share_within_other,share_within_scope,actual_repurchase_rate,actual_churn_rate,mean_gb_churn_risk,median_gb_churn_risk,gb_top10_share,gb_top20_share,gb_top30_share,dominant_flags,possible_future_rule,representative_promotion_recommendation,caveat
promo0,other_demographic_or_profile_note,4037,0.5772090363168431,0.3606718484767265,0.8754025266286847,0.12459747337131533,0.15037601825760688,0.1322149703335572,0.0,0.0,0.0,week3_inactive:0.37:flag; retention_decay:0.49:flag; cold_start_weak:0.53:flag; low_activity:0.56:flag; genre_preference_clear:0.39:flag; content_preference_signal:1.00:broad_marker,monitoring_or_profile_note,do_not_promote_without_user_review,Other decomposition is not a new final representative segment.
promo0,other_high_risk_unexplained,71,0.010151558478696025,0.00634325024568927,0.36619718309859156,0.6338028169014085,0.531591534639611,0.5130389635586143,0.1267605633802817,1.0,1.0,content_preference_signal:0.99:broad_marker,monitoring_or_profile_note,do_not_promote_without_user_review,Other decomposition is not a new final representative segment.
promo0,other_low_risk_general,83,0.011867314841292536,0.007415348878763513,0.891566265060241,0.10843373493975905,0.12334487552570611,0.0915288148099192,0.0,0.0,0.0,retention_decay:0.86:flag,monitoring_or_profile_note,do_not_promote_without_user_review,Other decomposition is not a new final representative segment.
promo0,other_mid_risk_watchlist,1054,0.15070060051472692,0.094165996605021,0.6043643263757116,0.3956356736242884,0.3522550632023406,0.3500910711471106,0.0,0.0,1.0,week3_inactive:0.63:flag; retention_decay:0.71:flag; cold_start_weak:0.33:flag; low_activity:0.57:flag; genre_preference_clear:0.35:flag; content_preference_signal:0.98:broad_marker,future_representative_candidate_if_user_approved,do_not_promote_without_user_review,Other decomposition is not a new final representative segment.
promo0,other_stable_like_residual,1749,0.2500714898484415,0.1562583757705709,0.9879931389365352,0.012006861063464824,0.02947509805000046,0.02970598409005,0.0,0.0,0.0,retention_decay:0.62:flag; cold_start_weak:0.42:flag; low_activity:0.30:flag; content_preference_signal:0.98:broad_marker,future_representative_candidate_if_user_approved,do_not_promote_without_user_review,Other decomposition is not a new final representative segment.
promo1,other_demographic_or_profile_note,4350,0.5766171792152704,0.3654233870967742,0.7489655172413793,0.2510344827586207,0.256416535795637,0.25350834605632905,0.0,0.0,0.0,week3_inactive:0.39:flag; retention_decay:0.50:flag; cold_start_weak:0.53:flag; low_activity:0.55:flag; genre_preference_clear:0.39:flag; content_preference_signal:1.00:broad_marker,monitoring_or_profile_note,do_not_promote_without_user_review,Other decomposition is not a new final representative segment.
promo1,other_high_risk_unexplained,107,0.014183457051961824,0.008988575268817205,0.18691588785046728,0.8130841121495327,0.6671719030232319,0.6433371882236363,0.205607476635514,1.0,1.0,content_preference_signal:0.99:broad_marker,monitoring_or_profile_note,do_not_promote_without_user_review,Other decomposition is not a new final representative segment.
promo1,other_low_risk_general,97,0.012857900318133617,0.008148521505376344,0.7319587628865979,0.2680412371134021,0.2404366790344763,0.2325808345383017,0.0,0.0,0.0,week3_inactive:0.31:flag; retention_decay:0.88:flag,monitoring_or_profile_note,do_not_promote_without_user_review,Other decomposition is not a new final representative segment.
promo1,other_mid_risk_watchlist,1104,0.14634146341463414,0.09274193548387097,0.4311594202898551,0.5688405797101449,0.5139605739273123,0.513211098863242,0.0,0.0,1.0,week3_inactive:0.56:flag; retention_decay:0.67:flag; cold_start_weak:0.32:flag; low_activity:0.56:flag; genre_preference_clear:0.36:flag; content_preference_signal:0.98:broad_marker,future_representative_candidate_if_user_approved,do_not_promote_without_user_review,Other decomposition is not a new final representative segment.
promo1,other_stable_like_residual,1886,0.25,0.15843413978494625,0.9856839872746553,0.014316012725344662,0.047835437355174974,0.04739978343048195,0.0,0.0,0.0,retention_decay:0.62:flag; cold_start_weak:0.42:flag; low_activity:0.26:flag; content_preference_signal:0.97:broad_marker,future_representative_candidate_if_user_approved,do_not_promote_without_user_review,Other decomposition is not a new final representative segment.
