validation_pass,check_item,status,expected,actual,mismatch_count,severity,notes
Pass 1. Row integrity check,base_datamart_total_rows,PASS,23097 rows expected from current base read,23097,0,info,Read from 17_segmentation_base_datamart.csv
Pass 1. Row integrity check,promo0_base_row_count,PASS,scope row count,11193,0,info,Scope count read directly from base datamart
Pass 1. Row integrity check,promo0_promo_scope_row_id_unique,PASS,0 duplicates,0,0,info,promo_scope + row_id uniqueness
Pass 1. Row integrity check,promo0_original_assignment_rows_match_scope,PASS,11193,11193,0,info,original assignment row count
Pass 1. Row integrity check,promo0_original_segment_counts_sum_to_scope,PASS,11193,11193,0,info,Segment grouped count sum
Pass 1. Row integrity check,promo0_hotfix_assignment_rows_match_scope,PASS,11193,11193,0,info,hotfix assignment row count
Pass 1. Row integrity check,promo0_hotfix_segment_counts_sum_to_scope,PASS,11193,11193,0,info,Segment grouped count sum
Pass 1. Row integrity check,promo1_base_row_count,PASS,scope row count,11904,0,info,Scope count read directly from base datamart
Pass 1. Row integrity check,promo1_promo_scope_row_id_unique,PASS,0 duplicates,0,0,info,promo_scope + row_id uniqueness
Pass 1. Row integrity check,promo1_original_assignment_rows_match_scope,PASS,11904,11904,0,info,original assignment row count
Pass 1. Row integrity check,promo1_original_segment_counts_sum_to_scope,PASS,11904,11904,0,info,Segment grouped count sum
Pass 1. Row integrity check,promo1_hotfix_assignment_rows_match_scope,PASS,11904,11904,0,info,hotfix assignment row count
Pass 1. Row integrity check,promo1_hotfix_segment_counts_sum_to_scope,PASS,11904,11904,0,info,Segment grouped count sum
Pass 2. Score direction check,gb_risk_equals_1_minus_repurchase,PASS,max delta < 1e-9,0.000000000000,0,info,OOF direction check only; no OOF regeneration
Pass 2. Score direction check,promo0_gb_top10_count,PASS,1120,1120,0,info,Count expected by ceil(scope_n * percentile)
Pass 2. Score direction check,promo0_gb_top20_count,PASS,2239,2239,0,info,Count expected by ceil(scope_n * percentile)
Pass 2. Score direction check,promo0_gb_top30_count,PASS,3358,3358,0,info,Count expected by ceil(scope_n * percentile)
Pass 2. Score direction check,promo1_gb_top10_count,PASS,1191,1191,0,info,Count expected by ceil(scope_n * percentile)
Pass 2. Score direction check,promo1_gb_top20_count,PASS,2381,2381,0,info,Count expected by ceil(scope_n * percentile)
Pass 2. Score direction check,promo1_gb_top30_count,PASS,3572,3572,0,info,Count expected by ceil(scope_n * percentile)
Pass 2. Score direction check,lr_risk_equals_1_minus_repurchase,PASS,max delta < 1e-9,0.000000000000,0,info,OOF direction check only; no OOF regeneration
Pass 2. Score direction check,promo0_lr_top10_count,PASS,1120,1120,0,info,Count expected by ceil(scope_n * percentile)
Pass 2. Score direction check,promo0_lr_top20_count,PASS,2239,2239,0,info,Count expected by ceil(scope_n * percentile)
Pass 2. Score direction check,promo0_lr_top30_count,PASS,3358,3358,0,info,Count expected by ceil(scope_n * percentile)
Pass 2. Score direction check,promo1_lr_top10_count,PASS,1191,1191,0,info,Count expected by ceil(scope_n * percentile)
Pass 2. Score direction check,promo1_lr_top20_count,PASS,2381,2381,0,info,Count expected by ceil(scope_n * percentile)
Pass 2. Score direction check,promo1_lr_top30_count,PASS,3572,3572,0,info,Count expected by ceil(scope_n * percentile)
Pass 3. Representative assignment recomputation,original_assignment_vs_independent_recompute,PASS,0,0,0,info,Original rule recomputation from multiflag assignment
Pass 3. Representative assignment recomputation,semantic_hotfix_assignment_vs_independent_recompute,PASS,0,0,0,info,Hotfix rule recomputation demotes content_preference_signal from representative rule
