zip_member,file_size,compress_size
notebooks/06x_dataset_generation_260515.ipynb,49285,10341
results/_06x_dataset_generation_260515/06x_caveat_register.csv,778,435
results/_06x_dataset_generation_260515/06x_cold_start_hotfix_diff_summary.csv,1091,355
results/_06x_dataset_generation_260515/06x_cold_start_hotfix_print_summary.txt,553,310
results/_06x_dataset_generation_260515/06x_cold_start_hotfix_validation.csv,400,214
results/_06x_dataset_generation_260515/06x_cold_start_mismatch_cause_analysis.csv,1384,534
results/_06x_dataset_generation_260515/06x_conservative_dataset.csv,4866739,2380432
results/_06x_dataset_generation_260515/06x_dataset_comparison_summary.csv,289,171
results/_06x_dataset_generation_260515/06x_dataset_schema_conservative.csv,1527,403
results/_06x_dataset_generation_260515/06x_dataset_schema_expanded.csv,8038,1633
results/_06x_dataset_generation_260515/06x_excluded_columns_audit.csv,1392,231
results/_06x_dataset_generation_260515/06x_expanded_dataset.csv,12191995,4422406
results/_06x_dataset_generation_260515/06x_feature_name_mapping.csv,5490,1072
results/_06x_dataset_generation_260515/06x_final_checks.csv,1528,686
results/_06x_dataset_generation_260515/06x_fixed_feature_validation.csv,868,344
results/_06x_dataset_generation_260515/06x_model_feature_lists.csv,12902,1535
results/_06x_dataset_generation_260515/06x_review_zip_inventory.csv,1791,516
results/_06x_dataset_generation_260515/06x_row_policy_audit.csv,214,144
results/_06x_dataset_generation_260515/06x_scope_feature_policy.csv,757,338
results/_06x_dataset_generation_260515/06x_source_master_profile.csv,218,163
results/_06x_dataset_generation_260515/note_tail_copy.md,5795,1903
results/_06x_dataset_generation_260515/README.md,1886,919
note_tail_copy.md,5795,1903
