trial,objective_value,mean_valid_auc,mean_train_auc,gap,overfit,n_estimators,learning_rate,max_depth,min_samples_leaf,min_samples_split,subsample,max_features
76,0.8678894668680801,0.8794565506364751,0.9025907181732652,0.023134167536790096,False,225,0.04326703553523236,3,256,180,0.7513410451962327,
84,0.8678674124286163,0.8784262145395513,0.8995438187614212,0.021117604221869923,False,190,0.044095848412040936,3,247,214,0.7599251745409845,
94,0.8676397957059108,0.8790542281112804,0.9018830929220198,0.022828864810739424,False,200,0.047889399954920316,3,238,127,0.7343800945833654,
95,0.8673557245223318,0.8783697016551706,0.9003976559208482,0.022027954265677607,False,182,0.047507639520857174,3,238,135,0.7458427109794219,
90,0.8673427586911195,0.8779898720136086,0.8992840986585866,0.021294226644978043,False,191,0.04317238753978611,3,240,121,0.7393285194962012,
82,0.867293239592726,0.8790202186825777,0.9024741768622814,0.023453958179703638,False,213,0.04851903025707463,3,249,177,0.7602690969959064,
87,0.867128424493907,0.8779125961063047,0.8994809393311,0.021568343224795283,False,190,0.044028048956697534,3,244,182,0.7482094040631505,
78,0.8670490091835257,0.8777716031718935,0.8992167911486291,0.021445187976735558,False,192,0.043832062361001865,3,259,183,0.7546660795226248,
79,0.8669877402577155,0.8778578322208472,0.8995980161471107,0.021740183926263423,False,190,0.04484523981929133,3,257,185,0.7562870637768,
92,0.8669454806796086,0.877647775910166,0.8990523663712807,0.02140459046111476,False,200,0.04162135303418253,3,251,170,0.7537467602494575,
93,0.8669273139049856,0.8776736288649285,0.8991662587848145,0.021492629919885986,False,183,0.04773312655855137,3,249,135,0.7341248659824138,
98,0.8669171012315535,0.8767626953379862,0.8964538835508515,0.019691188212865307,False,177,0.04143150128906883,3,234,169,0.7498405728588666,
52,0.8669089993131351,0.8779464110956958,0.9000212346608173,0.02207482356512147,False,200,0.04959325154974496,3,267,348,0.7328075230214409,
85,0.8669082499963335,0.8776722660468433,0.899200298147863,0.021528032101019612,False,188,0.04414301096166729,3,245,182,0.7557905883420022,
81,0.8668792947581586,0.877939752791454,0.9000606688580447,0.022120916066590723,False,208,0.04244522346109585,3,256,185,0.7560500587185158,
57,0.8667736819827662,0.8775236706315226,0.8990236479290354,0.02149997729751285,False,224,0.03734482747834439,3,276,208,0.8006035956502499,
61,0.8665499097295195,0.8774503759079432,0.8992513082647904,0.021800932356847214,False,224,0.03696529963600833,3,271,163,0.820322423687496,
91,0.866529692263303,0.8770814093958824,0.8981848436610411,0.021103434265158705,False,190,0.043466051649484826,3,241,121,0.7371224254316909,
55,0.8665101413082986,0.8767223145385573,0.8971466609990747,0.020424346460517384,False,210,0.0369802711365749,3,260,284,0.7198828173911684,
89,0.86648666982739,0.8785713811875352,0.9027408039078256,0.024169422720290434,False,189,0.04954258010373616,3,231,145,0.7707170291771281,
30,0.866480340826598,0.8780669435665397,0.901240149046423,0.02317320547988333,False,250,0.03431484893061431,3,131,348,0.6000786336914139,
88,0.8664017431228044,0.8769406977367427,0.8980186069646191,0.021077909227876446,False,179,0.044423206228298574,3,246,183,0.7497547574267783,
77,0.8663976434913994,0.8770964943167193,0.8984941959673594,0.021397701650640033,False,203,0.042562291876399344,3,256,188,0.751266645978069,
54,0.8663337464066079,0.8761087878635487,0.8956588707774303,0.019550082913881606,False,202,0.03683088868437674,3,266,340,0.7246587675926408,
58,0.8663297055783961,0.8770030786779538,0.8983498248770692,0.021346746199115363,False,224,0.03632239051207589,3,286,196,0.8056390169383449,
64,0.866313047630028,0.8773333605206256,0.8993739863018206,0.022040625781195033,False,233,0.03355386333361713,3,220,102,0.859754737543769,
32,0.8662781089455902,0.8771644456515949,0.8989371190636042,0.02177267341200928,False,215,0.03536385389014954,3,116,320,0.6071747950154982,
83,0.8662576006833316,0.8777145636836554,0.9006284896843031,0.022913926000647677,False,193,0.04794572182497527,3,259,177,0.7756529005068749,
47,0.8662492613687458,0.8759119055223156,0.8952371938294552,0.019325288307139643,False,197,0.038092468959760005,3,276,315,0.6932553414990943,
16,0.8662452701034558,0.8740098737024017,0.8895390809002937,0.01552920719789197,False,203,0.04921405980378528,2,115,323,0.713220788288819,
53,0.8662136611138196,0.8765621835712893,0.8972592284862289,0.02069704491493951,False,198,0.039749182186824876,3,261,345,0.7304607799862759,
41,0.8661791169933823,0.8769394531991244,0.8984601256106085,0.021520672411484143,False,152,0.04576803067254318,3,74,360,0.739292178660163,
21,0.8661310879535749,0.8766604061586432,0.8977190425687797,0.0210586364101365,False,139,0.04907453631282742,3,107,302,0.7076429357152619,
60,0.8660850024155239,0.8765334695762084,0.8974304038975773,0.020896934321368965,False,239,0.031903178419326106,3,251,137,0.800026916132937,
65,0.86603475750365,0.8774510908110991,0.9002837574259971,0.022832666614898023,False,205,0.04142201767704061,3,243,204,0.7940829370696573,
22,0.8659656677953629,0.8759520492265074,0.8959248120887964,0.019972762862288995,False,158,0.040877706440995185,3,87,362,0.7177540537016143,
62,0.8659632007262259,0.8769236555911476,0.898844565320991,0.021920909729843396,False,224,0.03649675234895788,3,271,153,0.8083065039735805,
34,0.8659265946196437,0.8761488304109543,0.8965933019935752,0.02044447158262097,False,250,0.02755567473203645,3,135,258,0.6020601328511117,
