query_title,movieid,title,grouptitle,origintitle,releasedate,originalreleaseyear,country,targetage,playtime_sec,genre,tags,directors,actors,issubtitle,subtitles,audios,ismultiaudiotrack,isatmos,qualities,downloadable,drms,moviemarks,previewstarttime,previewendtime,creditstarttime,creditendtime,kmrbcode,image,synopsis,price
코마,MV_TW01_TW0000000593,코마,코마,,2020-11-12,2020,러시아,15,6654,SF/판타지,SF,니키타 아르구노프,리날 무하메토프|리우보프 악세노바,N,,ru,N,n,1080p|720p|480p|360p,y,,svod,5.0,52.0,14648.0,15054.0,2020-MF02469,image.wavve.com/movieImg/MovieGroup/2023/GMV_TW01_TW0000000593-Vertical_LogoY_RTC.jpg,"젊고 재능은 있지만 세상에 인정받지 못한 건축가 ‘빅터’는 갑작스러운 사고를 당한 후 잠에서 깨어난다. 어떤 과학적 논리로도 설명할 수 없는 중력, 물리법칙을 무시한 건물들과 공간이 있는 이곳은 혼수상태에 빠진 자들만 올 수 있는 곳 ‘코마’라는 세계이다. 이곳에 있는 사람들은 ‘리퍼’라는 정체불명의 괴물에게 쫓겨 안전한 섬을 찾으러 떠나게 되고, 그 섬과 관련해서 엄청난 비밀이 드러나는데 과연 ‘빅터’는 혼수상태에서 현실세계로 빠져나올 수 있을까...",
소울,MV_CA01_DY0000011535,(자막) 소울,소울,,2021-01-20,2021,미국,0,6031,애니메이션,애니메이션,피트 닥터,제이미 폭스|티나 페이|다비드 딕스|필리샤 라샤드|아미어 칼리브 톰슨,Y,ko,en,N,n,1080p|720p|480p|360p,n,"WM,FP,PR,NC,WC",won|drm,1.0,32.0,13028.0,14025.0,2020-MF02826,image.wavve.com/meta/image/202601/1768374975753839809.jpg,"나는 어떻게 ‘나’로 태어나게 되었을까? 지구에 오기 전 영혼들이 머무는 ‘태어나기 전 세상’이 있다면?  뉴욕에서 음악 선생님으로 일하던 ‘조’는 꿈에 그리던 최고의 밴드와 재즈 클럽에서 연주하게 된 그 날, 예기치 못한 사고로 영혼이 되어 ‘태어나기 전 세상’에 떨어진다. 탄생 전 영혼들이 멘토와 함께 자신의 관심사를 발견하면 지구 통행증을 발급하는 ‘태어나기 전 세상’ ‘조’는 그 곳에서 유일하게 지구에 가고 싶어하지 않는 시니컬한 영혼 ‘22’의 멘토가 된다.  컨, 간디, 테레사 수녀도 멘토되길 포기한 영혼 ‘22’ 꿈의 무대에 서려면 ‘22’의 지구 통행증이 필요한 ‘조’ 그는 다시 지구로 돌아가 꿈의 무대에 설 수 있을까?",
소울,MV_CA01_DY0000011536,(더빙) 소울,소울,,2021-01-20,2021,미국,0,6038,애니메이션,애니메이션,피트 닥터,박영재|사문영|한신,N,,ko,N,n,1080p|720p|480p|360p,n,"WM,FP,PR,NC,WC",won|drm,5.0,39.0,13035.0,14030.0,2020-MF02826,image.wavve.com/meta/image/202601/1768374975753839809.jpg,"나는 어떻게 ‘나’로 태어나게 되었을까? 지구에 오기 전 영혼들이 머무는 ‘태어나기 전 세상’이 있다면?  뉴욕에서 음악 선생님으로 일하던 ‘조’는 꿈에 그리던 최고의 밴드와 재즈 클럽에서 연주하게 된 그 날, 예기치 못한 사고로 영혼이 되어 ‘태어나기 전 세상’에 떨어진다. 탄생 전 영혼들이 멘토와 함께 자신의 관심사를 발견하면 지구 통행증을 발급하는 ‘태어나기 전 세상’ ‘조’는 그 곳에서 유일하게 지구에 가고 싶어하지 않는 시니컬한 영혼 ‘22’의 멘토가 된다.  컨, 간디, 테레사 수녀도 멘토되길 포기한 영혼 ‘22’ 꿈의 무대에 서려면 ‘22’의 지구 통행증이 필요한 ‘조’ 그는 다시 지구로 돌아가 꿈의 무대에 설 수 있을까?",
스피드(1994),MV_CH01_FX0000011281,스피드,스피드,,1994-06-25,1994,미국,15,6954,액션|스릴러,액션|스릴러,쟝 드봉,키아누 리브스|데니스 호퍼|산드라 블록,N,,en,N,n,1080p|720p|480p|360p,n,"WM,FP,PR,NC,WC",won|drm,2.0,317.0,15150.0,15554.0,94-187,image.wavve.com/movieImg/MovieGroup/2023/GMV_CH01_FX0000011281-Vertical_LogoY-re.jpg,"'하워드 페인'은 몸값 370만 불을 요구하며 엘리베이터 인질극을 벌이나 경찰 특수반의 '잭'과 '해리'의 활약으로 좌절된다. 앙심을 품은 페인은 버스에 폭탄을 장치해 놓고 잭에게 연락한다. 시속 50마일 이하로 속도가 떨어지면 폭발하도록 만들어 놓았다. 잭은 문제의 버스로 천신만고 끝에 다가가 달리는 버스에 올라탄다. 마침 타고 있던 범죄자가 자신을 체포하려는 것으로 오인, 총을 쏘는 바람에 버스 운전사가 중상을 입는다. 그래서 승객인 '애니'가 핸들을 잡고 러시아워의 LA 시내를 좌충우돌하며 돌진하게 되는데...",
예수는역사다,MV_RT01_RT000000364,예수는 역사다,예수는 역사다,,2017-07-13,2017,미국,0,6808,드라마,드라마,존 건,마이크 보겔|에리카 크리스틴슨|페이 더너웨이|로버트 포스터|프랭키 페이슨,N,,en,N,n,1080p|720p|480p|360p,n,"WM,FP,PR,NC,WC",won|drm,5.0,102.0,14956.0,15328.0,2017-MF00854,image.wavve.com/meta/image/202407/1721105435338518715.jpg,"'리 스트로벨'은 눈에 보이는 것만 믿을 수 있다고 믿는 무신론자고, 시카고 지역 유력 신문의 기자로서 보도 명예상을 수상하고 진급도 한다. 승진을 자축하는 가족 식사 자리에서 사랑하는 딸의 사고로 위급상황에 처하게 되고, 거기서 만난 간호사 '앨피'를 통해 아내가 갑작스럽게 예수를 믿게 되면서 부부의 갈등이 시작된다. 리 스트로벨은 아내로 인한 고민을 회사의 동료들과 상의하면서 아내가 믿기 시작한 기독교의 허구를 파헤쳐 아내를 기독교라는 미신으로부터 구출해 내기 위한 취재를 시작하게 된다. 한편, 그는 아내와의 갈등이 시작되던 시기에 발생한 경찰관을 쏜 총기 사건의 범인으로 지목된 '힉스'를 취재한다. 취재에 자신이 있던 리 스트로벨은 취재의 방향이 자신이 예상했던 방향과 달리 진행되는 것을 보면서 혼란에 빠지기 시작하는데...",
아티스트봉만대,MV_LX01_LX0000001156,아티스트 봉만대,아티스트 봉만대,,2013-08-29,2013,대한민국,18,6320,코미디,코미디,봉만대,봉만대|곽현화|성은|이파니,N,,ko,N,n,1080p|720p|480p|360p,n,"WM,FP,PR,NC,WC",won|drm,1.0,32.0,14410.0,14520.0,2013-MF00469,image.wavve.com/meta/image/202504/1744785809311087862.jpg,"이상은 A급 현실은 B급? 에로 거장 '봉만대' 감독과 기 쎈 세 여배우 '곽현화', '성은', '이파니'가 솔직하게 까발리는 100% 리얼 촬영 현장! <남극일기><헨젤과 그레텔>의 '임필성' 감독이 인도네시아 발리에서 올 로케로 야심만만하게 촬영 중인 에로 공포영화 <해변의 광기>. 그러나 무난해도 너무 무난한 에로 씬에 실망한 제작자는 특단의 조치를 하고야 만다. 에로 영화계의 거장 봉만대 감독 긴급 투입! 봉감독의 등장으로 촬영장은 폭풍전야의 불길한 기운이 감돌고, 확 바뀐 에로 씬에 여배우들의(곽현화, 성은, 이파니) 불만은 최고조! 급기야 예정에 없던 노출 씬을 앞두고 봉감독에게 대놓고 막말을 불사하는데... 미션 임파서블! 아티스트 봉감독, 예술하기 한번 더럽게 힘들다! 봉감독의 일방적인 진행에 폭발 일보 직전인 조연출, 틈만 나면 섹시화보를 찍으려는 사진작가와 임기응변으로 위기를 무마하기 바쁜 실리주의 제작자 그리고 졸지에 감독 자리에서 밀려나 시시때때로 복수의 칼날을 가는 임필성 감독까지! 하루도 바람 잘 날 없는 촬영장에서 아티스트 봉감독은 과연 영화를 무사히 완성할 수 있을까?",
그대이름은장미,MV_C901_SG0000115896,그대 이름은 장미,그대 이름은 장미,,2019-01-16,2019,대한민국,12,7544,코미디|가족,코미디|가족,조석현,유호정|박성웅|오정세|하연수|이원근|최우식|채수빈,N,,ko,N,n,1080p|720p|480p|360p,y,,svod,5.0,32.0,20234.0,20544.0,2018-MF02409,image.wavve.com/meta/image/202311/1699422925644847486.jpg,"아줌마! 아니 아이돌? 전 국민을 눈물 나게 빵 터뜨릴 ‘홍장미’ 씨를 소개합니다!  딸에겐 잔소리 1등, 딸을 위해선 오지랖 1등, 대한민국 평범한 엄마 ‘홍장미’씨 우연한 사고로 과거의 남자 ‘명환’을 만나며 평온했던 일상이 꼬여만 가고, 설상가상으로 그녀의 대단했던(?) 과거까지 들통날 위기에 처한다. 여기에 20년 남사친 ‘순철’까지 끼어들어 강제과거소환을 막으려 애를 쓰기 시작하는데... 평범한 엄마 ‘홍장미’ 씨! 그녀의 믿을 수 없는 반전과거는 영원한 비밀이 될 수 있을까?!",
잭스나이더의저스티스리그,MV_CD01_WR0000011659,잭 스나이더의 저스티스 리그,잭 스나이더의 저스티스 리그,,2021-03-18,2021,미국,12,14532,SF/판타지|모험|액션,판타지|모험|액션,잭 스나이더,벤 애플렉|갤 가돗|제이슨 모모아,N,,en,N,n,1080p|720p|480p|360p,n,"WM,FP,PR,NC,WC",won|drm,12.0,55.0,35338.0,40212.0,2021-MF00612,image.wavve.com/meta/image/202601/1769407493039026052.jpg,"기다렸던 감독판, 잭 스나이더의 저스티스 리그 슈퍼맨이 죽고 지구에 어둠의 그림자가 드리운다. ‘마더박스’를 차지하기 위해 빌런 스테픈울프가 파라데몬 군단을 이끌고 지구에 온 것이다. 지구를 지키기 위해 목숨을 바친 슈퍼맨의 희생이 헛되지 않도록 하기 위해 브루스 웨인은 다이애나 프린스와 적에 맞서기로 한다. 배트맨과 원더 우먼은 새로이 등장한 위협에 맞서 싸우기 위해 특별한 능력을 가진 메타휴먼, 아쿠아맨과 사이보그, 플래시를 찾아가 설득하여 힘을 합친다. 드디어 한 팀이 된 저스티스 리그. 혹시 스테픈울프와 데사드 그리고 다크사이드를 물리치기에 너무 늦어버린 것이 아닐까?",
배트맨대슈퍼맨:저스티스의시작,MV_CD01_WR0000011498,배트맨 대 슈퍼맨: 저스티스의 시작,배트맨 대 슈퍼맨: 저스티스의 시작,,2016-03-24,2016,미국,12,9096,모험|극장판|SF/판타지|액션,모험|극장판|판타지|액션,잭 스나이더,헨리 카빌|벤 애플렉|에이미 아담스|로렌스 피시번|제시 아이젠버그,Y,ko,en,N,n,1080p|720p|480p|360p,n,"WM,FP,PR,NC,WC",won|drm,2.0,17.0,22354.0,23138.0,2016-MF00269,image.wavve.com/movieImg/MovieGroup/2023/GMV_CD01_WR0000011498-Vertical_LogoY-re.jpg,모든 대결에는 이유가 있다! 슈퍼맨과 조드 장군의 격렬한 전투 이후 메트로폴리스는 파괴되었고 슈퍼맨은 세계 최고 논쟁의 인물이 되어버린다. 한편 배트맨은 그 동안 타락했던 많은 자들처럼 슈퍼맨 역시 언젠가 타락을 할 것이라 생각하며 사회에서 가장 위험한 존재로 여긴다. 세계의 미래를 위해 무모하고 제어할 수 없는 힘을 가진 슈퍼맨으로 인해 벌어졌던 일들을 바로 잡으려 하는데...,
어니스트씨프,MV_TW01_TW0000000666,어니스트 씨프,어니스트 씨프,,2021-02-03,2021,미국,15,5915,액션,액션,마크 윌리엄스,리암 니슨|케이트 월쉬,N,,en,N,n,1080p|720p|480p|360p,y,,svod,5.0,38.0,13005.0,13835.0,2021-MF00230,image.wavve.com/movieImg/MovieGroup/2023/GMV_TW01_TW0000000666-Vertical_LogoY.jpg,"“7개의 주, 12개의 은행을 털었고 9백만불의 현금을 가지고 있다. 하지만 아무도 나를 모른다!“ 희대의 폭파 전문 은행털이범 ‘톰’. 어떠한 증거도 남기지 않는 뛰어난 범행으로 8년간 FBI의 추적을 따돌린 그는 새로운 인생을 시작하기 위해 자수를 결심한다. 그러나 돈을 노리는 부패한 FBI의 음모와 가공할 위협이 그를 기다리고 있는데...",
