USER_NUM,MOVIE_NUM,watch_time(min),watch_day,watch_seq,movie_title,genre,country,showTM,ott_release_month,USER_KEY,product_code,price,billing_method,max_screen,is_promotion,is_churn_prevented,is_repurchase,payment_device,is_user_verified,gender,age,reg_date,reg_hour,end_date
1,10978,124,20210324,1,예수는역사다,드라마,미국,1시간 52분,201708.0,a314c8a65b0fd91e1889c1debaa21e5bb6330560ee97217f3a9b099faaad1642739429ef28c8346ba642f47c08d1ba87dbd13380eeadd501fb97e4360669e14b,pk_1487,100.0,134.0,1.0,1.0,0.0,0.0,android,1.0,M,40.0,2021-03-12,16.0,2021-04-12
2,7541,1,20210310,1,아티스트봉만대,코미디,대한민국,1시간 40분,201611.0,6652e2597875d4f34b48a0610c035521f2aea2f8abc5f3b8ae4e7ea0436fe43b5ae201d51a894e6fc878555e2b7692933ed635c275a5df1ada9cf11abecbad66,pk_1487,100.0,190.0,1.0,1.0,0.0,1.0,android,1.0,F,30.0,2021-03-10,23.0,2021-04-10
2,40,1,20210321,1,그대이름은장미,코미디,대한민국,2시간 6분,201901.0,6652e2597875d4f34b48a0610c035521f2aea2f8abc5f3b8ae4e7ea0436fe43b5ae201d51a894e6fc878555e2b7692933ed635c275a5df1ada9cf11abecbad66,pk_1487,100.0,190.0,1.0,1.0,0.0,1.0,android,1.0,F,30.0,2021-03-10,23.0,2021-04-10
2,13893,85,20210327,1,잭스나이더의저스티스리그,"액션, 판타지, SF, 다큐멘터리",미국,4시간 2분,202103.0,6652e2597875d4f34b48a0610c035521f2aea2f8abc5f3b8ae4e7ea0436fe43b5ae201d51a894e6fc878555e2b7692933ed635c275a5df1ada9cf11abecbad66,pk_1487,100.0,190.0,1.0,1.0,0.0,1.0,android,1.0,F,30.0,2021-03-10,23.0,2021-04-10
2,13893,150,20210327,2,잭스나이더의저스티스리그,"액션, 판타지, SF, 다큐멘터리",미국,4시간 2분,202103.0,6652e2597875d4f34b48a0610c035521f2aea2f8abc5f3b8ae4e7ea0436fe43b5ae201d51a894e6fc878555e2b7692933ed635c275a5df1ada9cf11abecbad66,pk_1487,100.0,190.0,1.0,1.0,0.0,1.0,android,1.0,F,30.0,2021-03-10,23.0,2021-04-10
2,559,5,20210328,1,배트맨대슈퍼맨:저스티스의시작,"액션, 판타지, SF",미국,2시간 32분,201801.0,6652e2597875d4f34b48a0610c035521f2aea2f8abc5f3b8ae4e7ea0436fe43b5ae201d51a894e6fc878555e2b7692933ed635c275a5df1ada9cf11abecbad66,pk_1487,100.0,190.0,1.0,1.0,0.0,1.0,android,1.0,F,30.0,2021-03-10,23.0,2021-04-10
2,13893,1,20210328,2,잭스나이더의저스티스리그,"액션, 판타지, SF, 다큐멘터리",미국,4시간 2분,202103.0,6652e2597875d4f34b48a0610c035521f2aea2f8abc5f3b8ae4e7ea0436fe43b5ae201d51a894e6fc878555e2b7692933ed635c275a5df1ada9cf11abecbad66,pk_1487,100.0,190.0,1.0,1.0,0.0,1.0,android,1.0,F,30.0,2021-03-10,23.0,2021-04-10
2,559,50,20210328,3,배트맨대슈퍼맨:저스티스의시작,"액션, 판타지, SF",미국,2시간 32분,201801.0,6652e2597875d4f34b48a0610c035521f2aea2f8abc5f3b8ae4e7ea0436fe43b5ae201d51a894e6fc878555e2b7692933ed635c275a5df1ada9cf11abecbad66,pk_1487,100.0,190.0,1.0,1.0,0.0,1.0,android,1.0,F,30.0,2021-03-10,23.0,2021-04-10
7,9247,1,20210320,1,피노키오,"애니메이션, 판타지, 액션, 드라마, 가족",미국,1시간 57분,201612.0,30b296fcfa81df3ef44c72af0eb3a1d0a073faca544b65e65e072d9d0ea7fc1e5ba32452f95679ae1aa69a59ac074d0e9ab03454203bd20f285395a36a9085b1,pk_1487,100.0,190.0,1.0,1.0,0.0,1.0,mobile,1.0,F,30.0,2021-03-07,21.0,2021-04-07
7,2170,1,20210320,2,소울,"판타지, 애니메이션, 가족, 드라마, 음악, 코미디",미국,1시간 41분,202103.0,30b296fcfa81df3ef44c72af0eb3a1d0a073faca544b65e65e072d9d0ea7fc1e5ba32452f95679ae1aa69a59ac074d0e9ab03454203bd20f285395a36a9085b1,pk_1487,100.0,190.0,1.0,1.0,0.0,1.0,mobile,1.0,F,30.0,2021-03-07,21.0,2021-04-07
7,611,8,20210320,3,호라이즌라인,"액션, 스릴러","스페인, 영국, 아일랜드, 스웨덴",1시간 32분,202102.0,30b296fcfa81df3ef44c72af0eb3a1d0a073faca544b65e65e072d9d0ea7fc1e5ba32452f95679ae1aa69a59ac074d0e9ab03454203bd20f285395a36a9085b1,pk_1487,100.0,190.0,1.0,1.0,0.0,1.0,mobile,1.0,F,30.0,2021-03-07,21.0,2021-04-07
7,9247,48,20210320,4,피노키오,"애니메이션, 판타지, 액션, 드라마, 가족",미국,1시간 57분,201612.0,30b296fcfa81df3ef44c72af0eb3a1d0a073faca544b65e65e072d9d0ea7fc1e5ba32452f95679ae1aa69a59ac074d0e9ab03454203bd20f285395a36a9085b1,pk_1487,100.0,190.0,1.0,1.0,0.0,1.0,mobile,1.0,F,30.0,2021-03-07,21.0,2021-04-07
8,2842,2,20210320,1,죽지않는인간들의밤,"SF, 스릴러, 코미디, 공포",대한민국,1시간 50분,202010.0,dd92b02822787c09e75a12e0232ea5a61565ccc85cf3854699be09ea571f51ec5a58909c9d0faca474aa7523e4e082facd05646c672885050923f512c6f549a2,pk_2025,100.0,151.0,1.0,1.0,0.0,1.0,android,1.0,F,45.0,2021-03-06,3.0,2021-04-06
8,6082,68,20210324,1,내부자들,"범죄, 드라마, 액션, 스릴러",대한민국,2시간 10분,201601.0,dd92b02822787c09e75a12e0232ea5a61565ccc85cf3854699be09ea571f51ec5a58909c9d0faca474aa7523e4e082facd05646c672885050923f512c6f549a2,pk_2025,100.0,151.0,1.0,1.0,0.0,1.0,android,1.0,F,45.0,2021-03-06,3.0,2021-04-06
