USER_NUM,USER_KEY,billing_method,max_screen,payment_device,is_churn_prevented,is_user_verified,gender,age,age_band,reg_date,reg_hour,end_date,is_repurchase,mem_tenure_days,mem_billing_method_value,mem_max_screen_value,mem_screen_1_flag,mem_screen_2_flag,mem_screen_4_flag,mem_multi_screen_flag,mem_premium_screen_flag,mem_is_verified,mem_is_churn_prevented_flag,mem_is_female,mem_is_male,mem_reg_hour,mem_reg_hour_morning,mem_reg_hour_afternoon,mem_reg_hour_evening,mem_reg_hour_night,mem_reg_weekday,mem_reg_is_weekend,mem_verified_multi_screen,mem_verified_premium_screen,mem_billing_method_131_flag,mem_billing_method_132_flag,mem_billing_method_134_flag,mem_billing_method_140_flag,mem_billing_method_151_flag,mem_billing_method_170_flag,mem_billing_method_180_flag,mem_billing_method_190_flag,mem_device_android_flag,mem_device_ios_flag,mem_device_mobile_flag,mem_device_pc_flag,mem_device_smarttv_flag,mem_device_ott_flag,vh_event_count,vh_title_count,vh_active_day_count,vh_total_watch_min,vh_avg_watch_min,vh_median_watch_min,vh_std_watch_min,vh_max_watch_min,vh_avg_watch_seq,vh_max_watch_seq,vh_weekend_ratio,vh_short_watch_ratio,vh_long_watch_ratio,vh_recent_release_180d_ratio,vh_recent_release_365d_ratio,vh_old_catalog_5y_ratio,vh_mean_content_age_days,vh_median_content_age_days,vh_first_watch_lag_days,vh_last_watch_gap_days,vh_watch_span_days,vh_active_day_ratio,vh_watch_span_ratio,vh_first_watch_lag_ratio,vh_last_watch_gap_ratio,vh_max_daily_events,vh_multi_event_day_ratio,vh_avg_daily_watch_min,vh_std_daily_watch_min,vh_max_daily_watch_min,vh_mean_gap_days,vh_std_gap_days,vh_max_gap_days,vh_week1_watch_min,vh_week2_watch_min,vh_week3_watch_min,vh_week4_watch_min,vh_week5_watch_min,vh_week1_watch_ratio,vh_week2_watch_ratio,vh_week3_watch_ratio,vh_week4_watch_ratio,vh_week5_watch_ratio,vh_first_half_watch_ratio,vh_last_7d_watch_ratio,vh_last_14d_watch_ratio,vh_front_loaded_ratio,vh_late_ratio,vh_w2_minus_w1_watch_min,vh_w3_minus_w2_watch_min,vh_w3_to_w1_ratio_capped,vh_genre_unique_count,vh_genre_entropy,vh_top_genre_share,genre_share__Action_Adventure,genre_share__Animation_Family,genre_share__Comedy,genre_share__Documentary,genre_share__Drama,genre_share__Historical_War,genre_share__Horror,genre_share__Other,genre_share__Romance,genre_share__SF_Fantasy,genre_share__Thriller_Crime,vh_events_per_active_day,vh_titles_per_active_day,vh_watch_min_per_active_day,vh_event_per_tenure_day,vh_watch_min_per_tenure_day,vh_rewatch_event_ratio,vh_title_per_event_ratio,vh_repeat_event_count,vh_avg_watch_min_per_title,vh_title_diversity_per_day,vh_activity_density,vh_end_near_watch_ratio,vh_recency_intensity_index,vh_retention_curve_index,vh_recent_old_gap,vh_short_minus_long_ratio,vh_binge_index,vh_multi_event_intensity,vh_mid_late_ratio,vh_gap_stability_index,vh_blockbuster_genre_share,vh_emotional_genre_share,vh_light_genre_share,vh_tension_genre_share,vh_nonfiction_genre_share
1,a314c8a65b0fd91e1889c1debaa21e5bb6330560ee97217f3a9b099faaad1642739429ef28c8346ba642f47c08d1ba87dbd13380eeadd501fb97e4360669e14b,134.0,1.0,android,0.0,1.0,M,40.0,40,2012-03-21,16.0,2012-04-21,1.0,31.0,134.0,1.0,1,0,0,0,0,1,0,0,1,16.0,0,1,0,0,4.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1.0,1.0,1.0,124.0,124.0,124.0,0.0,124.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1331.0,1331.0,12.0,19.0,1.0,0.03225806451612903,0.03225806451612903,0.3870967741935484,0.6129032258064516,1.0,0.0,124.0,0.0,124.0,0.0,0.0,0.0,0.0,124.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,124.0,-124.0,0.0,1.0,-0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,124.0,0.03225806451612903,4.0,0.0,1.0,0.0,124.0,1.0,1.0,0.3870967741935484,0.012486992715920915,-1.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2,6652e2597875d4f34b48a0610c035521f2aea2f8abc5f3b8ae4e7ea0436fe43b5ae201d51a894e6fc878555e2b7692933ed635c275a5df1ada9cf11abecbad66,190.0,1.0,android,0.0,1.0,F,30.0,30,2010-03-21,23.0,2010-04-21,1.0,31.0,190.0,1.0,1,0,0,0,0,1,0,1,0,23.0,0,0,1,0,2.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,7.0,4.0,4.0,293.0,41.857142857142854,5.0,57.71894134923293,150.0,1.5714285714285714,3.0,0.8571428571428571,0.5714285714285714,0.2857142857142857,0.42857142857142855,0.42857142857142855,0.0,691.8571428571429,810.0,0.0,13.0,19.0,0.12903225806451613,0.6129032258064516,0.0,0.41935483870967744,3.0,0.5,73.25,110.9064921454105,235.0,6.0,5.0,11.0,1.0,1.0,291.0,0.0,0.0,0.0034129692832764505,0.0034129692832764505,0.9931740614334471,0.0,0.0,0.006825938566552901,0.0,0.9931740614334471,0.006825938566552901,0.0,0.0,290.0,10.0,2.0,0.04084371786340105,0.9931740614334471,0.0,0.0,0.006825938566552901,0.0,0.0,0.0,0.0,0.0,0.0,0.9931740614334471,0.0,1.75,1.0,73.25,0.22580645161290322,9.451612903225806,0.42857142857142855,0.5714285714285714,3.0,73.25,1.0,0.21052631578947367,0.5806451612903225,0.07492195629552548,0.9863481228668942,0.42857142857142855,0.2857142857142857,0.8020477815699659,0.875,0.9931740614334471,0.16666666666666666,0.9931740614334471,0.0,0.006825938566552901,0.0,0.0
7,30b296fcfa81df3ef44c72af0eb3a1d0a073faca544b65e65e072d9d0ea7fc1e5ba32452f95679ae1aa69a59ac074d0e9ab03454203bd20f285395a36a9085b1,190.0,1.0,mobile,0.0,1.0,F,30.0,30,2007-03-21,21.0,2007-04-21,0.0,31.0,190.0,1.0,1,0,0,0,0,1,0,1,0,21.0,0,0,1,0,6.0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,4.0,3.0,1.0,58.0,14.5,4.5,22.575798250929395,48.0,2.5,4.0,1.0,0.5,0.0,0.5,0.5,0.0,801.5,808.5,13.0,18.0,1.0,0.03225806451612903,0.03225806451612903,0.41935483870967744,0.5806451612903226,4.0,1.0,58.0,0.0,58.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,58.0,-58.0,0.0,3.0,0.4857063391522919,0.8448275862068966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017241379310344827,0.0,0.8448275862068966,0.13793103448275862,4.0,3.0,58.0,0.12903225806451613,1.8709677419354838,0.25,0.75,1.0,19.333333333333332,3.0,1.0,0.4193548387096774,0.013527575442247657,-1.0,0.5,0.5,1.0,4.0,0.0,0.0,0.8448275862068966,0.0,0.0,0.13793103448275862,0.017241379310344827
8,dd92b02822787c09e75a12e0232ea5a61565ccc85cf3854699be09ea571f51ec5a58909c9d0faca474aa7523e4e082facd05646c672885050923f512c6f549a2,151.0,1.0,android,0.0,1.0,F,45.0,40,2006-03-21,3.0,2006-04-21,0.0,31.0,151.0,1.0,1,0,0,0,0,1,0,1,0,3.0,0,0,0,1,5.0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,4.0,3.0,3.0,133.0,33.25,31.5,28.605069480775605,68.0,1.25,2.0,0.25,0.25,0.25,0.25,0.25,0.75,1497.75,1909.0,14.0,11.0,7.0,0.0967741935483871,0.22580645161290322,0.45161290322580644,0.3548387096774194,2.0,0.3333333333333333,44.333333333333336,58.432297005451815,111.0,3.0,1.4142135623730951,4.0,0.0,0.0,133.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.015037593984962405,0.0,0.9849624060150376,0.0,0.0,0.0,133.0,0.0,3.0,0.49892963816258984,0.8345864661654135,0.0,0.0,0.015037593984962405,0.0,0.15037593984962405,0.0,0.0,0.0,0.0,0.0,0.8345864661654135,1.3333333333333333,1.0,44.333333333333336,0.12903225806451613,4.290322580645161,0.25,0.75,1.0,44.333333333333336,1.0,0.42857142857142855,0.6451612903225806,0.062434963579604576,0.9699248120300752,-0.5,0.0,0.8345864661654135,0.4444444444444444,1.0,0.4142135623730951,0.0,0.15037593984962405,0.015037593984962405,0.8345864661654135,0.0
13,9c462462724cb0ef3d725dc315043af4c38566171d50ccab2f6be0847941ec4a35a10139f0d405587b9088f99771a21865a7fdeca7871e70d2c438a2a77bba0f,151.0,1.0,android,0.0,1.0,M,35.0,30,2014-03-21,7.0,2014-04-21,0.0,31.0,151.0,1.0,1,0,0,0,0,1,0,0,1,7.0,1,0,0,0,6.0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,13.0,9.0,4.0,700.0,53.84615384615385,56.0,58.309299078057514,155.0,2.5384615384615383,6.0,0.7692307692307693,0.46153846153846156,0.46153846153846156,0.7692307692307693,0.9230769230769231,0.0,179.23076923076923,116.0,6.0,13.0,13.0,0.12903225806451613,0.41935483870967744,0.1935483870967742,0.41935483870967744,6.0,1.0,175.0,177.1402457564815,391.0,4.0,3.0,7.0,61.0,391.0,248.0,0.0,0.0,0.08714285714285715,0.5585714285714286,0.35428571428571426,0.0,0.0,0.9957142857142857,0.0,0.004285714285714286,0.6457142857142857,0.0,330.0,-143.0,4.065573770491803,5.0,1.301314535453086,0.44285714285714284,0.15714285714285714,0.0,0.0,0.0,0.0014285714285714286,0.22142857142857142,0.0,0.0,0.0,0.17714285714285713,0.44285714285714284,3.25,2.25,175.0,0.41935483870967744,22.580645161290324,0.3076923076923077,0.6923076923076923,4.0,77.77777777777777,2.25,0.3076923076923077,0.5806451612903225,0.07492195629552548,-0.9914285714285713,0.9230769230769231,0.0,0.5585714285714286,3.25,0.35428571428571426,0.25,0.5557142857142857,0.0014285714285714286,0.0,0.44285714285714284,0.0
14,1d1d80d1ccba41e116930b29b81a2d93005d0abe4706dd3e2d925c356df7eaa75c111073e1fc29ff58a06b06b54c8ea0c6aaeb4a61dacb8f8d09b06bffe6ed93,180.0,1.0,mobile,0.0,1.0,F,25.0,20,2006-03-21,23.0,2006-04-21,1.0,31.0,180.0,1.0,1,0,0,0,0,1,0,1,0,23.0,0,0,1,0,5.0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,13.0,8.0,6.0,578.0,44.46153846153846,4.0,56.98627815041001,133.0,2.076923076923077,5.0,0.9230769230769231,0.6153846153846154,0.38461538461538464,0.38461538461538464,0.38461538461538464,0.15384615384615385,846.5384615384615,491.0,0.0,10.0,22.0,0.1935483870967742,0.7096774193548387,0.0,0.3225806451612903,5.0,0.5,96.33333333333333,123.85905968747973,316.0,4.2,2.588435821108957,7.0,317.0,118.0,138.0,5.0,0.0,0.5484429065743944,0.2041522491349481,0.23875432525951557,0.00865051903114187,0.0,0.9913494809688581,0.0,0.00865051903114187,0.7525951557093425,0.00865051903114187,-199.0,20.0,0.4353312302839117,4.0,1.0764848347155254,0.39273356401384085,0.3892733564013841,0.0,0.0,0.0,0.39273356401384085,0.0,0.0,0.0,0.0017301038062283738,0.0,0.21626297577854672,2.1666666666666665,1.3333333333333333,96.33333333333333,0.41935483870967744,18.64516129032258,0.38461538461538464,0.6153846153846154,5.0,72.25,1.3333333333333333,0.2727272727272727,0.6774193548387097,0.13111342351716962,-0.9826989619377162,0.23076923076923078,0.23076923076923078,0.5467128027681661,1.0833333333333333,0.24740484429065743,0.27867295107174683,0.3892733564013841,0.39446366782006925,0.0,0.21626297577854672,0.0
16,9c267c48f93b99c36cbcb43bee3cf2bbb3f9502e478425baccd517ac2bc062d4b3b9fa9ec3589dcfffb923dd1a94197ec05f1b5bf2dbbede1eb7363ed1ab1c63,134.0,2.0,pc,1.0,1.0,M,25.0,20,2008-03-21,10.0,2008-04-21,0.0,31.0,134.0,2.0,0,1,0,1,0,1,1,0,1,10.0,1,0,0,0,0.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,7.0,3.0,5.0,219.0,31.285714285714285,18.0,37.34842382088918,109.0,1.2857142857142858,2.0,0.2857142857142857,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.2857142857142857,1376.7142857142858,775.0,0.0,13.0,19.0,0.16129032258064516,0.6129032258064516,0.0,0.41935483870967744,2.0,0.4,43.8,45.16303798461746,109.0,4.5,3.3166247903554,9.0,200.0,18.0,1.0,0.0,0.0,0.91324200913242,0.0821917808219178,0.0045662100456621,0.0,0.0,0.9954337899543378,0.0,0.0045662100456621,0.9954337899543378,0.0,-182.0,-17.0,0.005,2.0,0.029163402473937387,0.9954337899543378,0.0,0.9954337899543378,0.0045662100456621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.6,43.8,0.22580645161290322,7.064516129032258,0.5714285714285714,0.42857142857142855,4.0,73.0,0.6,0.2631578947368421,0.5806451612903225,0.09365244536940685,-0.9908675799086757,-0.14285714285714285,0.14285714285714285,0.4977168949771689,0.5599999999999999,0.0045662100456621,0.23166247903554,0.0,0.0,1.0,0.0,0.0
18,fe95c26ddf4bd9513b21cb4624c8cb8984f5cd4c91e2d7179f7cb54bc19ef1d2f575595949e553acbd0eaafee83d2cea2207654daac410f61646b19b3d0aff16,151.0,2.0,android,1.0,1.0,M,40.0,40,2012-03-21,7.0,2012-04-21,1.0,31.0,151.0,2.0,0,1,0,1,0,1,1,0,1,7.0,1,0,0,0,4.0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,4.0,2.0,1.0,221.0,55.25,49.0,63.46849612209194,122.0,2.5,4.0,1.0,0.5,0.5,1.0,1.0,0.0,40.0,40.0,15.0,16.0,1.0,0.03225806451612903,0.03225806451612903,0.4838709677419355,0.5161290322580645,4.0,1.0,221.0,0.0,221.0,0.0,0.0,0.0,0.0,0.0,221.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,221.0,0.0,2.0,0.6867351511986424,0.5565610859728507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4434389140271493,0.0,0.0,0.5565610859728507,4.0,2.0,221.0,0.12903225806451613,7.129032258064516,0.5,0.5,2.0,110.5,2.0,1.0,0.4838709677419355,0.015608740894901144,-1.0,1.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.5565610859728507,0.4434389140271493
20,9f40a5fa6e394b7921946cd6fd4dd8e51913a02ec2443a2e334093c410fc65a21efb57fbe7bebde4de48cd2b382e655d2fd27cf9a13cf2b5f2c4029e2d5c95f6,131.0,2.0,android,0.0,1.0,M,35.0,30,2013-03-21,16.0,2013-04-21,0.0,31.0,131.0,2.0,0,1,0,1,0,1,0,0,1,16.0,0,1,0,0,5.0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,3.0,3.0,3.0,3.0,1.0,1.0,0.0,1.0,1.0,1.0,0.6666666666666666,1.0,0.0,0.3333333333333333,0.6666666666666666,0.0,483.0,306.0,9.0,10.0,13.0,0.0967741935483871,0.41935483870967744,0.2903225806451613,0.3225806451612903,1.0,0.0,1.0,0.0,1.0,6.0,1.4142135623730951,7.0,0.0,1.0,1.0,1.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.6666666666666666,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.0,0.0,3.0,1.0986122886681096,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,1.0,1.0,1.0,0.0967741935483871,0.0967741935483871,0.0,1.0,0.0,1.0,1.0,0.23076923076923078,0.6774193548387097,0.06555671175858481,-0.3333333333333333,0.6666666666666666,1.0,0.3333333333333333,0.0,0.6666666666666666,0.4142135623730951,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0
21,a11d268286b737679f86e0cf03fb4f19058ab7305db333743765926bea8542e1ee90b0bd8f2696469306c5f8fd2cef60106793036261226f9605bc5e6551cddf,151.0,1.0,android,0.0,1.0,M,35.0,30,2006-03-21,18.0,2006-04-21,1.0,31.0,151.0,1.0,1,0,0,0,0,1,0,0,1,18.0,0,0,1,0,5.0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1.0,1.0,1.0,102.0,102.0,102.0,0.0,102.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1512.0,1512.0,18.0,13.0,1.0,0.03225806451612903,0.03225806451612903,0.5806451612903226,0.41935483870967744,1.0,0.0,102.0,0.0,102.0,0.0,0.0,0.0,0.0,0.0,102.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,102.0,0.0,1.0,-0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,102.0,0.03225806451612903,3.2903225806451615,0.0,1.0,0.0,102.0,1.0,1.0,0.5806451612903225,0.01873048907388137,1.0,0.0,-1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
