USER_NUM,MOVIE_NUM,watch_time(min),watch_day,watch_seq
0,4243,1,20210314,1
0,4243,111,20210314,2
0,1860,101,20210319,1
0,2170,1,20210325,1
0,6031,100,20210326,1
0,2170,1,20210328,1
0,6031,100,20210328,2
0,12495,3,20210328,3
0,2170,92,20210328,4
1,10978,124,20210324,1
2,7541,1,20210310,1
2,40,1,20210321,1
2,13893,85,20210327,1
2,13893,150,20210327,2
2,559,5,20210328,1
2,13893,1,20210328,2
2,559,50,20210328,3
3,6708,1,20210326,1
3,6708,1,20210326,1
3,14287,1,20210326,2
3,14287,1,20210326,2
3,14287,1,20210326,2
3,14125,1,20210328,1
4,2198,200,20210307,1
4,2198,1,20210307,2
4,2198,86,20210308,1
4,2198,1,20210311,1
4,8074,21,20210321,1
5,14380,3,20210326,1
6,8283,100,20210328,1
7,9247,1,20210320,1
7,2170,1,20210320,2
7,611,8,20210320,3
7,9247,48,20210320,4
8,2842,2,20210320,1
8,6082,68,20210324,1
8,6082,43,20210324,2
8,10865,20,20210326,1
9,966,56,20210308,1
9,7340,1,20210308,2
9,10053,25,20210308,3
9,14250,1,20210313,1
9,3781,1,20210313,2
9,3781,110,20210313,3
9,4039,100,20210314,1
9,4039,1,20210320,1
9,13893,1,20210320,2
9,13893,3,20210321,1
9,14596,105,20210322,1
10,2170,1,20210326,1
10,2170,18,20210327,1
10,2170,26,20210327,2
10,6708,2,20210328,1
10,2170,17,20210328,2
10,2170,2,20210329,1
10,2170,20,20210330,1
13,6880,1,20210320,1
13,6880,60,20210320,2
13,4216,155,20210327,1
13,12484,56,20210327,2
13,6654,107,20210327,3
13,6654,1,20210327,4
13,2198,4,20210327,5
13,10232,68,20210327,6
13,2198,94,20210328,1
13,10693,151,20210328,2
13,13093,1,20210401,1
13,13093,1,20210401,2
13,8283,1,20210401,3
14,7121,100,20210306,1
14,2198,1,20210306,2
14,3767,90,20210306,3
14,6533,1,20210306,4
14,6533,124,20210306,5
14,5168,1,20210311,1
14,10828,1,20210313,1
14,2198,1,20210313,2
14,10828,116,20210314,1
14,1616,133,20210320,1
14,2198,1,20210320,2
14,1616,4,20210320,3
14,10600,5,20210327,1
16,9650,18,20210308,1
16,7896,1,20210308,2
16,3736,109,20210312,1
16,3736,29,20210313,1
16,9650,43,20210313,2
16,9650,18,20210317,1
16,9650,1,20210326,1
17,7568,71,20210306,1
17,8579,9,20210321,1
17,8579,46,20210322,1
18,3009,122,20210327,1
18,2170,1,20210327,2
18,2170,97,20210327,3
18,3009,1,20210327,4
19,12385,1,20210320,1
19,7391,41,20210320,2
19,5352,17,20210320,3
20,13893,1,20210322,1
20,10526,1,20210327,1
20,4396,1,20210403,1
21,1616,102,20210324,1
22,4100,35,20210313,1
22,5946,200,20210320,1
22,5946,100,20210320,2
23,2394,162,20210315,1
23,2394,162,20210315,1
23,12364,148,20210320,1
23,12364,14,20210320,2
23,6880,2,20210320,3
23,6880,2,20210320,3
23,13180,60,20210324,1
24,14250,2,20210319,1
24,10281,6,20210319,2
24,14250,20,20210320,1
24,14250,84,20210320,2
24,6654,3,20210320,3
24,13893,3,20210320,4
24,2198,3,20210320,5
24,6654,106,20210321,1
24,6654,1,20210322,1
24,13893,1,20210322,2
26,10639,5,20210319,1
26,8076,25,20210319,2
26,11132,70,20210319,3
26,611,1,20210319,4
26,10561,1,20210319,5
26,10561,17,20210319,6
26,12174,4,20210320,1
26,12174,3,20210320,2
28,11418,115,20210404,1
28,13190,85,20210404,2
28,7232,57,20210404,3
28,6129,9,20210405,1
28,6129,21,20210405,2
28,7232,49,20210405,3
29,9959,27,20210303,1
29,9959,34,20210304,1
29,2198,24,20210305,1
29,9959,26,20210305,2
29,12648,1,20210306,1
29,12648,54,20210306,2
29,2198,54,20210308,1
29,2198,12,20210309,1
30,1037,27,20210319,1
30,5946,9,20210321,1
30,5135,12,20210328,1
30,8116,27,20210328,2
31,14250,125,20210313,1
31,14250,1,20210313,2
31,5532,90,20210313,3
31,6271,1,20210320,1
31,14250,1,20210321,1
31,611,87,20210321,2
31,9821,62,20210328,1
31,9821,48,20210328,2
31,2170,1,20210330,1
31,2170,91,20210330,2
31,14489,89,20210403,1
32,8968,1,20210310,1
32,1765,20,20210310,2
33,3766,1,20210311,1
34,12097,15,20210306,1
34,14071,86,20210308,1
34,5038,6,20210309,1
34,1589,3,20210309,2
34,3620,26,20210323,1
34,2922,61,20210323,2
34,2922,61,20210323,2
34,255,31,20210323,3
34,5991,9,20210324,1
34,2874,4,20210324,2
34,1302,1,20210325,1
34,300,10,20210325,2
35,8599,140,20210304,1
35,12705,63,20210304,2
35,2943,60,20210311,1
35,2943,84,20210311,2
35,1616,139,20210314,1
35,13215,112,20210318,1
35,10682,118,20210318,2
35,1494,128,20210320,1
35,5184,106,20210321,1
35,10508,108,20210322,1
35,8106,168,20210323,1
35,13596,88,20210323,2
36,2198,141,20210320,1
36,2198,1,20210320,2
36,13893,143,20210328,1
36,13893,149,20210328,2
37,5220,35,20210310,1
37,7133,3,20210310,2
37,5220,63,20210310,3
37,5220,18,20210310,4
37,5220,31,20210311,1
37,6654,11,20210313,1
37,6654,10,20210315,1
37,6654,41,20210315,2
38,6926,113,20210305,1
38,5085,5,20210315,1
38,5085,1,20210315,2
38,1892,1,20210315,3
38,5085,97,20210315,4
39,14250,129,20210327,1
40,1842,38,20210307,1
41,1610,135,20210314,1
41,1610,44,20210314,2
41,1610,82,20210315,1
41,1126,102,20210328,1
41,1610,28,20210329,1
42,2526,1,20210312,1
42,8283,1,20210318,1
42,9524,63,20210324,1
42,4439,1,20210324,2
42,734,1,20210324,3
42,13893,135,20210327,1
42,13893,37,20210327,2
42,13893,1,20210327,3
42,13893,84,20210328,1
42,13893,20,20210328,2
42,13893,19,20210328,3
43,8965,100,20210302,1
43,12648,3,20210302,2
43,2198,97,20210309,1
43,7592,87,20210313,1
43,6236,108,20210313,2
43,6236,9,20210314,1
43,10308,94,20210314,2
44,10639,6,20210321,1
44,13893,1,20210321,2
44,2170,1,20210330,1
44,9963,1,20210330,2
44,10238,1,20210330,3
44,2170,1,20210401,1
45,2198,92,20210311,1
45,7592,62,20210312,1
45,3090,104,20210312,2
45,7592,200,20210312,3
45,5081,111,20210312,4
45,7758,87,20210313,1
45,10828,1,20210313,2
46,2198,7,20210318,1
46,6319,37,20210319,1
46,8736,1,20210321,1
46,3495,1,20210321,2
46,1284,1,20210321,3
46,8736,1,20210321,4
46,8736,66,20210322,1
47,13879,1,20210331,1
47,13879,1,20210331,2
47,2293,1,20210331,3
47,2293,1,20210331,4
47,6038,1,20210331,5
47,8283,1,20210331,6
47,12043,1,20210331,7
47,2293,19,20210403,1
48,2198,1,20210313,1
48,12484,1,20210313,2
48,6654,1,20210313,3
48,611,1,20210316,1
49,14250,104,20210314,1
49,7340,1,20210314,2
49,14250,74,20210321,1
49,12399,72,20210327,1
49,10978,63,20210327,2
49,12558,65,20210330,1
49,8288,1,20210330,2
49,12558,51,20210330,3
49,13893,1,20210330,4
50,559,76,20210314,1
50,12641,36,20210318,1
50,6167,135,20210320,1
50,14250,100,20210327,1
50,14250,1,20210327,2
50,12484,14,20210327,3
50,12484,200,20210327,4
50,11934,177,20210329,1
50,3411,1,20210330,1
50,7340,1,20210330,2
52,14596,37,20210320,1
52,14596,12,20210321,1
52,5218,1,20210321,2
52,5218,9,20210321,3
52,14596,20,20210321,4
53,13841,1,20210326,1
53,6654,1,20210326,2
53,482,1,20210326,3
53,8480,1,20210401,1
53,9534,75,20210403,1
53,2738,1,20210403,2
53,9534,4,20210403,3
53,8503,1,20210403,4
54,6024,1,20210306,1
54,10828,1,20210306,2
54,10957,2,20210306,3
54,7754,2,20210314,1
54,3478,2,20210314,2
54,3634,1,20210314,3
54,458,1,20210314,4
54,3478,4,20210314,5
54,3478,45,20210314,6
55,4278,2,20210312,1
55,14250,99,20210315,1
55,13893,2,20210319,1
55,6075,109,20210327,1
56,4108,51,20210319,1
56,4108,1,20210319,2
56,4108,27,20210321,1
56,13180,101,20210322,1
56,7938,122,20210324,1
56,1443,40,20210326,1
56,1443,48,20210326,2
58,2198,93,20210310,1
58,5843,1,20210313,1
58,8556,52,20210319,1
58,8556,49,20210319,2
58,8556,14,20210319,3
58,10958,63,20210320,1
58,5843,1,20210321,1
59,11845,98,20210323,1
59,9497,60,20210326,1
59,5541,110,20210401,1
59,9670,105,20210401,2
59,10365,52,20210404,1
60,5765,49,20210315,1
60,9278,124,20210315,2
60,9278,1,20210315,3
60,4946,48,20210315,4
60,4946,56,20210317,1
60,13075,101,20210318,1
60,2123,1,20210324,1
60,2123,105,20210324,2
61,6271,1,20210306,1
61,14250,1,20210313,1
63,13215,10,20210321,1
63,10508,2,20210326,1
63,1494,95,20210326,2
64,2198,99,20210315,1
64,2198,1,20210315,2
64,13404,1,20210315,3
64,13404,42,20210316,1
66,5414,85,20210326,1
68,1908,91,20210306,1
68,2943,3,20210312,1
68,2943,81,20210313,1
68,1616,2,20210320,1
69,4108,12,20210301,1
69,5085,21,20210301,2
69,6477,19,20210301,3
69,13236,70,20210301,4
69,10282,63,20210305,1
69,6477,51,20210306,1
69,6477,71,20210306,2
69,10294,1,20210306,3
69,6477,3,20210306,4
69,12212,80,20210307,1
69,1319,1,20210309,1
69,1319,132,20210310,1
69,269,4,20210310,2
69,8843,7,20210315,1
69,5020,1,20210315,2
69,987,109,20210315,3
71,8232,130,20210319,1
72,8121,5,20210314,1
72,7286,91,20210315,1
72,13821,11,20210327,1
72,13180,29,20210328,1
74,6994,93,20210306,1
