MOVIE_NUM,movie_title,ott_release_month,category
3,그링고,202003,Comedy
5,국도극장,202005,Drama
5,국도극장,202005,Drama
6,맨인블랙2,201205,SF/Fantasy
9,손오공:색즉시공,201901,SF/Fantasy
11,앵그리버드더무비,201606,Animation/Family
11,앵그리버드더무비,201606,Animation/Family
12,백조공주:왕실결혼식,202008,Animation/Family
14,크레이지리치아시안,201811,Comedy
16,벌룬,202001,Drama
23,연애의목적,201906,Romance
24,블랙클랜스맨,201811,Comedy
27,마법에걸린사랑,201202,Romance
31,전설의파이터,202006,Action/Adventure
33,영화로운나날,202001,SF/Fantasy
40,그대이름은장미,201901,Comedy
42,천장지구(1990),201610,Action/Adventure
55,당갈,201901,Drama
62,그렇게아버지가된다,201402,Animation/Family
73,한나,201111,Action/Adventure
73,한나,201111,Action/Adventure
76,엘리자베스(1998),201506,Historical/War
77,아메리칸허슬,201611,Thriller/Crime
82,익스토션,201807,Action/Adventure
84,애프터라이프,202009,Thriller/Crime
86,"동거,동락",201805,Romance
87,사랑에빠진여자,201703,Romance
90,기억속에퍼즐,201401,Thriller/Crime
91,사랑이눈뜰때,202009,Romance
94,상흔,201901,Animation/Family
97,백투더퓨쳐3,201506,SF/Fantasy
99,북두의신,202102,Action/Adventure
103,취화선(2002),202011,Historical/War
104,U311,202012,Historical/War
105,미드나잇선(2018),201807,Romance
114,레고배트맨:더무비(2013),201504,Animation/Family
116,미니언즈,201701,Animation/Family
116,미니언즈,201701,Animation/Family
120,로그시티,202102,Thriller/Crime
121,블러드샷,202005,SF/Fantasy
125,혼:공포의시작,202002,Horror
128,"지금,만나러갑니다",201304,Romance
128,"지금,만나러갑니다",201304,Romance
129,더로드(2009),202002,Documentary
129,더로드(2009),202002,Documentary
129,더로드(2009),202002,Documentary
130,어쌔신:더비기닝,201712,Action/Adventure
131,그사람추기경(2013),202009,Documentary
133,1987,201802,Drama
135,에일리언어브덕션(2014),201804,Horror
138,택시:더맥시멈,201603,Action/Adventure
139,스파이브릿지,201602,Drama
150,복수(1970),201504,Horror
151,나홀로집에,201511,Other
152,금발이너무해2(2003),201908,Comedy
153,크라잉게임(1992),201803,Drama
160,도망친여자,202010,Drama
161,우리들,201701,Comedy
164,관종,201803,Thriller/Crime
166,리젠드,202006,Drama
168,리그레션,201612,Thriller/Crime
169,궁합,201803,Historical/War
172,파인더스키퍼스,201912,Documentary
176,서울역,201609,Animation/Family
180,0.0mhz,201906,Horror
190,저산너머,202006,Drama
191,멋진인생,201307,Other
192,올더머니,201803,Thriller/Crime
200,황금나침반,201504,Animation/Family
205,우먼인할리우드,201911,Documentary
210,청춘연애,201705,Romance
218,캠퍼스레전드(1998),202003,Horror
220,오르가즘다이어리:브릴리언트러브,201312,Romance
221,아자미의모든것,202012,Romance
226,화이:괴물을삼킨아이,202002,Action/Adventure
229,웬디와루시,202003,Drama
234,캣츠뮤지컬특별공연,202001,Documentary
237,어바웃타임,201612,Romance
239,9월의사랑과만날때까지,201909,SF/Fantasy
243,해피피트2,201504,Animation/Family
243,해피피트2,201504,Animation/Family
247,스파이더맨:얼티밋빌런쇼다운,201909,Animation/Family
255,매직마이크,201612,Comedy
260,사라진시간(2019)[별도편성][예고편],202102,Thriller/Crime
262,레이니데이인뉴욕,202005,Romance
264,잉글리쉬페이션트,201403,Historical/War
269,독고리와인드(2018)[상],201810,Drama
271,페티쉬(2007),201804,Thriller/Crime
272,리노,201903,Animation/Family
275,콩:스컬아일랜드,201704,SF/Fantasy
276,스틸라이프,202003,Drama
281,버니드롭(2011),202012,Comedy
282,북오브헨리,201805,Drama
285,프라이빗워,202006,Historical/War
289,작전명덩케르크,201808,Historical/War
290,홈프론트-가족을지켜라,201910,Drama
293,오늘도위위,201910,Drama
294,귀신이산다,201305,Horror
295,비행,202004,Animation/Family
298,라디오스타,201304,Drama
300,우리는같은꿈을꾼다,201712,Drama
303,연가시,201906,Horror
309,호날두:세상은그의발아래에,201611,Documentary
311,태평륜,201611,Historical/War
313,살인의뢰,201701,Thriller/Crime
313,살인의뢰,201701,Thriller/Crime
316,소녀검객아즈미대혈전(2003),201905,Action/Adventure
324,나를찾아줘,201504,Thriller/Crime
324,나를찾아줘,201504,Thriller/Crime
326,버레스크,201411,Romance
336,그레이브인카운터,201612,Horror
339,밤의해변에서혼자,201704,Drama
344,용의자X,201906,Thriller/Crime
345,담쟁이,202011,Animation/Family
346,코만도:라스트액션히어로,201708,Action/Adventure
349,댄싱퀸,201906,Comedy
361,하이스쿨뮤지컬:졸업반,201812,Animation/Family
362,레고닌자고무비,201710,Animation/Family
362,레고닌자고무비,201710,Animation/Family
370,리틀킹덤,202011,Drama
374,YMCA야구단,201407,Comedy
375,라따뚜이,201405,Animation/Family
375,라따뚜이,201405,Animation/Family
377,이다,202103,Drama
381,비틀스:에잇데이즈어위크투어링이어즈,201612,Documentary
383,12피트,201811,Thriller/Crime
384,장난스런키스더무비2:캠퍼스편,201807,Romance
385,체게바라:1부아르헨티나,201906,Historical/War
388,"소년,소녀를만나다(2016)",201905,Drama
388,"소년,소녀를만나다(2016)",201905,Drama
403,사탄의인형2,201506,Horror
411,더허니문,202102,Horror
420,허리케인하이스트,201804,Thriller/Crime
426,폴리스스토리2-구룡의눈,202004,Thriller/Crime
428,서유기2:선리기연,201205,Comedy
429,나랏말싸미,201908,Historical/War
431,식스센스,201703,Horror
432,스타이즈본디오리지널,201811,Drama
443,용형호제2(1991),201807,Thriller/Crime
445,선물(2019),201910,SF/Fantasy
445,선물(2019),201910,SF/Fantasy
446,정글(2018),201806,Drama
446,정글(2018),201806,Drama
446,정글(2018),201806,Drama
447,마피아Inc,202103,Thriller/Crime
448,튤립피버,201801,Romance
453,아틀란틱림,201410,SF/Fantasy
454,라스트솔져스:최후의결전,201810,Historical/War
458,아이,202103,Action/Adventure
459,귀천도(1996),201909,SF/Fantasy
462,페르디난드,201802,Action/Adventure
462,페르디난드,201802,Action/Adventure
465,스머프:비밀의숲,201706,Animation/Family
465,스머프:비밀의숲,201706,Animation/Family
466,이스턴프라미스[리마스터링],201605,Thriller/Crime
468,바람[감독판],202011,Drama
469,할힌골전투:일본군최후의날,202010,Historical/War
470,"사탄의인형5:처키,사탄의씨앗",201911,Horror
472,천재강아지미스터피바디,201511,Animation/Family
473,순수의시대(2014),201503,Historical/War
473,순수의시대(2014),201503,Historical/War
474,사범,201906,Documentary
475,도굴꾼,202101,SF/Fantasy
478,종횡사해(1991),202004,Thriller/Crime
480,딜린저,202004,Drama
482,뉴뮤턴트,202011,Horror
490,아메리카뮤직&와일드,201905,Documentary
511,강철비,201801,Drama
515,도망자2018,201805,Action/Adventure
516,워킹데드나잇,201808,Horror
517,역린,201405,Historical/War
520,런던해즈폴른,201701,Thriller/Crime
522,리벤지라이드,202007,Thriller/Crime
527,홀로코스트:소비보르탈출,201811,Historical/War
530,엑스우먼,201702,SF/Fantasy
532,칠검2:백발마녀전,201911,SF/Fantasy
544,일론머스크:리얼아이언맨,202102,Documentary
552,국가대표,201907,Comedy
559,배트맨대슈퍼맨:저스티스의시작,201801,SF/Fantasy
561,나를찾아줘(2019),201912,Thriller/Crime
561,나를찾아줘(2019),201912,Thriller/Crime
564,오만과편견(2005),201701,Romance
565,조선명탐정:사라진놉의딸,201504,Historical/War
568,유로파리포트,201612,SF/Fantasy
571,그랜드파더,201612,Drama
572,프리스테이트,201802,Historical/War
575,플래툰,201801,Historical/War
576,터치오브스파이스,201905,Drama
578,그날의분위기,201602,Romance
579,담보,202010,Drama
580,하이소사이어티,201706,Comedy
581,스타워즈2:클론의습격,201701,SF/Fantasy
596,사도,201511,Drama
597,메이즈러너:데스큐어,201802,SF/Fantasy
598,알카트라즈:죽음의수용소,201911,Thriller/Crime
608,너와100번째사랑,201706,Romance
610,헷지,201202,Comedy
611,호라이즌라인,202102,Thriller/Crime
612,더바버:사라진연쇄살인마,202101,Thriller/Crime
613,메모리즈[단편],201910,SF/Fantasy
614,딥워터,202007,Drama
616,산의톰씨,201802,Drama
617,레이싱:더라이벌,201902,Drama
622,금의위:비검수춘도,202001,Romance
624,깡치2,202006,Comedy
633,더게임(2007),201405,Thriller/Crime
633,더게임(2007),201405,Thriller/Crime
635,1944워히어로,201704,Drama
641,박물관이살아있다2,201706,Action/Adventure
