iter	Logloss
0	0.6642068291
1	0.6411719725
2	0.6206696705
3	0.6046007641
4	0.591840579
5	0.5806875614
6	0.5725616646
7	0.5648248355
8	0.5585619619
9	0.5536827176
10	0.5491376697
11	0.5456120427
12	0.5427337555
13	0.5404825231
14	0.5378129248
15	0.5360960424
16	0.5343169969
17	0.5331449436
18	0.5322723844
19	0.5310625113
20	0.5301786907
21	0.5293279123
22	0.5285413171
23	0.5277985005
24	0.5271346561
25	0.5263565797
26	0.5258135907
27	0.5253819119
28	0.5249291719
29	0.5244652413
30	0.5239586796
31	0.523659041
32	0.5234184047
33	0.5231068749
34	0.5228607253
35	0.5225430489
36	0.5222023853
37	0.5220275778
38	0.5217767059
39	0.5215120761
40	0.5213128273
41	0.5211771602
42	0.5210161828
43	0.5207409407
44	0.5204485051
45	0.5203109956
46	0.5202545994
47	0.520068737
48	0.5198996749
49	0.5197122387
50	0.5194952826
51	0.5194212279
52	0.5193242778
53	0.5192084053
54	0.5190786354
55	0.5188883653
56	0.5187785771
57	0.5186255567
58	0.5185286257
59	0.5184158166
60	0.5182587599
61	0.5181350678
62	0.5180253067
63	0.5179488011
64	0.5178628303
65	0.5177837373
66	0.5176313126
67	0.51745544
68	0.517387951
69	0.5173146019
70	0.5171997977
71	0.517092484
72	0.5169915265
73	0.5169097323
74	0.516884406
75	0.5168054014
76	0.5167470072
77	0.5167095471
78	0.5166054393
79	0.516554253
80	0.5164632247
81	0.5163750766
82	0.5162106164
83	0.5161497819
84	0.5159992056
85	0.5158829219
86	0.5158278032
87	0.5157211476
88	0.5155526428
89	0.5154499017
90	0.5153810619
91	0.5152455039
92	0.5150702744
93	0.5149710012
94	0.5148809049
95	0.5148068698
96	0.5147585537
97	0.5147082345
98	0.5146759403
99	0.5146162187
100	0.5145879898
101	0.5144625339
102	0.5143475696
103	0.5141341935
104	0.5140745724
105	0.5138433193
106	0.5138234014
107	0.5137586786
108	0.5136023442
109	0.5134215423
110	0.5133703404
111	0.5133029619
112	0.5132819537
113	0.5130565491
114	0.5130445841
115	0.5128394074
116	0.512642557
117	0.5125006003
118	0.5123285384
119	0.5122011853
120	0.5121154364
121	0.5120241635
122	0.5120150799
123	0.5119155612
124	0.5119006804
125	0.5117844481
126	0.5117781373
127	0.5116025301
128	0.5114844494
129	0.5113304939
130	0.5111587401
131	0.5111520503
132	0.5109460582
133	0.5108427023
134	0.5106773883
135	0.5106068627
136	0.5104609514
137	0.5103548158
138	0.5102168883
139	0.510209639
140	0.5100522838
141	0.5099594921
142	0.5098681892
143	0.5097436865
144	0.5097369495
145	0.5097206275
146	0.5096275154
147	0.50952956
148	0.509388711
149	0.5092494839
150	0.509135457
151	0.5091217342
152	0.5089358076
153	0.5087921311
154	0.5086426409
155	0.5085733737
156	0.5083876539
157	0.5081879325
158	0.5080195728
159	0.5079389364
160	0.5078680579
161	0.5077595119
162	0.5076387539
163	0.5075334796
164	0.507370111
165	0.5072480431
166	0.5071334504
167	0.5070487565
168	0.5069051158
169	0.5067879672
170	0.5067328296
171	0.5066372206
172	0.5063887569
173	0.5062683334
174	0.5061306131
175	0.5057339357
176	0.5054989159
177	0.5053574715
178	0.5053047323
179	0.5052774068
180	0.5051706597
181	0.5050212633
182	0.5049226204
183	0.5047346063
184	0.5045832436
185	0.5045363732
186	0.5044096354
187	0.5041716052
188	0.5040575357
189	0.5039185153
190	0.5037485858
191	0.5035545568
192	0.5034977373
193	0.5033299845
194	0.5032068614
195	0.5029985052
196	0.5028729551
197	0.5027606392
198	0.5026735689
199	0.5025264536
