MOVIE_NUM,원제,왓챠_제목,왓챠_연도,watcha_code,ratings_avg,ratings_count
3,그링고,그링고,2018.0,mdEwrKg,5.448953709575143,1577.0
6,맨인블랙2,맨 인 블랙 2,2002.0,mnWJ2QW,7.461594932854482,479481.0
9,손오공:색즉시공,손오공: 색즉시공,2018.0,mWqwmaK,4.80625,160.0
11,앵그리버드더무비,앵그리버드 더 무비,2016.0,mWLjJ96,6.16543358568479,11624.0
12,백조공주:왕실결혼식,백조 공주 : 왕실 결혼식,2020.0,m5GoYDK,2.6666666666666665,6.0
14,크레이지리치아시안,크레이지 리치 아시안,2018.0,mOVvD3R,5.690399206069725,31237.0
16,벌룬,벌룬,2018.0,mOAk9bQ,7.622989407610828,2549.0
18,프리댄스,프리댄스,2018.0,m5nX99Y,8.252799057159693,1697.0
22,철권:블러드벤젠스,,,,,
23,연애의목적,연애의 목적,2005.0,m5QqYD5,6.454449748250834,305860.0
24,블랙클랜스맨,블랙클랜스맨,2018.0,mdBz7Jq,7.074952561669829,6324.0
27,마법에걸린사랑,마법에 걸린 사랑,2007.0,mJOVnpO,6.730124915955979,141295.0
31,전설의파이터,전설의 파이터,2020.0,m5GoPLp,6.144876325088339,283.0
37,슈퍼에이트,슈퍼 에이트,2011.0,mWqaaaW,6.270925843694494,36032.0
39,얼굴없는보스:못다한이야기[감독판],,,,,
40,그대이름은장미,그대 이름은 장미,2018.0,m5ZX9ge,5.540147206423553,5978.0
42,천장지구(1990),,,,,
55,당갈,당갈,2016.0,mOgBMZM,7.932445223488168,28525.0
57,디센던트,디센던트,2011.0,m5Gn0vd,7.241507920593543,24935.0
62,그렇게아버지가된다,그렇게 아버지가 된다,2013.0,m533YYj,7.837493526292371,274186.0
66,무비43,무비 43,2013.0,mOAKgV5,5.710641708708567,21209.0
73,한나,한나,2011.0,mWqxYK5,6.0456583552056,54864.0
76,엘리자베스(1998),,,,,
77,아메리칸허슬,아메리칸 허슬,2013.0,mOgbXaW,6.922949539555173,148552.0
84,애프터라이프,애프터라이프,2003.0,mObbaLO,2.7142857142857144,7.0
86,"동거,동락","동거, 동락",2007.0,mWye4MW,4.5313376987839105,1069.0
87,사랑에빠진여자,사랑에 빠진 여자,2016.0,mWwB86E,5.898058252427185,206.0
91,사랑이눈뜰때,사랑이 눈뜰 때,2017.0,mdEmw9b,6.874576271186441,590.0
93,데드돈다이,데드 돈 다이,2019.0,mWywzBr,5.574545454545454,9625.0
94,상흔,상흔,2018.0,mdKpJJV,5.142857142857143,7.0
97,백투더퓨쳐3,,,,,
99,북두의신,북두의 신,2019.0,mOkLgaw,5.352941176470588,34.0
104,U311,U311,2019.0,mdEm0EV,4.717557251908397,131.0
105,미드나잇선(2018),,,,,
114,레고배트맨:더무비(2013),,,,,
116,미니언즈,미니언즈,2015.0,m5NVlD7,7.081317186011702,220470.0
120,로그시티,로그 시티,2020.0,mO2Pgyn,6.387832699619772,263.0
121,블러드샷,블러드샷,2020.0,mWyaPEY,,
128,"지금,만나러갑니다","지금, 만나러 갑니다",2004.0,mMO2zkO,,
129,더로드(2009),,,,,
130,어쌔신:더비기닝,어쌔신: 더 비기닝,2017.0,mW4ZAqd,,
133,1987,1987,2017.0,m5aVMGQ,,
135,에일리언어브덕션(2014),,,,,
139,스파이브릿지,스파이 브릿지,2015.0,mdRLx0V,,
141,액슬,액슬,2018.0,mO2M1g0,,
147,아이.티.,아이.티.,2016.0,mOAZ7LQ,,
148,러시:더라이벌,러시: 더 라이벌,2013.0,mdRJqyd,,
150,복수(1970),,,,,
151,나홀로집에,나 홀로 집에,1990.0,mQO8YGd,,
152,금발이너무해2(2003),,,,,
154,각설탕,각설탕,2006.0,mpWpw5D,,
160,도망친여자,도망친 여자,2019.0,mWz343D,,
161,우리들,우리들,2015.0,mOo0P9a,,
164,관종,관종,2017.0,mdRLZkD,,
165,우리집멍멍이진진과아키다,우리집 멍멍이 진진과 아키다,2016.0,m5xJkBg,6.073825503355705,149.0
166,리젠드,리젠드,1985.0,mdMzqR5,5.4941798941798945,1890.0
169,궁합,궁합,2018.0,m5GXzED,5.0597748573757135,39264.0
176,서울역,서울역,2016.0,mdBzvQG,5.695548456251708,95158.0
177,찌라시:위험한소문,찌라시 : 위험한 소문,2013.0,m5xJlpj,6.066736128513209,151642.0
180,0.0mhz,0.0MHz,2018.0,mdMBlxR,4.437077354444995,6063.0
190,저산너머,저 산 너머,2024.0,mdKpXa9,6.363636363636363,22.0
192,올더머니,올 더 머니,2017.0,mdBzDMD,6.859649122807017,22002.0
198,드럼라인,드럼라인,2002.0,mBOkzJW,7.3958221443310626,70754.0
203,7년:그들이없는언론,7년-그들이 없는 언론,2016.0,m5ZXo0L,6.555949693647211,3101.0
210,청춘연애,청춘연애,2015.0,mdMg71R,6.330070874114074,2963.0
216,홈프론트-하드액션,,,,,
218,캠퍼스레전드(1998),,,,,
220,오르가즘다이어리:브릴리언트러브,오르가즘 다이어리: 브릴리언트 러브,2010.0,m5ZkxzW,5.414141414141414,99.0
221,아자미의모든것,아자미의 모든 것,2020.0,mWq19Kp,4.519774011299435,354.0
225,셜록홈즈:그림자게임,셜록 홈즈: 그림자 게임,2011.0,mdR0brW,7.298021203782742,387761.0
232,제멋대로떨고있어,제멋대로 떨고 있어,2017.0,mdEwr6p,6.815852682145716,3747.0
237,어바웃타임,어바웃 타임,2013.0,mO2x9k5,8.572304997893553,1540509.0
239,9월의사랑과만날때까지,9월의 사랑과 만날 때까지,2019.0,mW99b01,7.010221465076661,2935.0
243,해피피트2,해피 피트 2,2011.0,mW9G9Bd,6.747075331882824,31713.0
246,두번할까요,두번할까요,2018.0,mdj2aKr,3.85717277486911,4775.0
251,선물,선물,2019.0,m5ZlxXV,6.037425769921281,7241.0
255,매직마이크,매직 마이크,2012.0,mOoBBZW,6.17226184696964,26779.0
260,사라진시간(2019)[별도편성][예고편],,,,,
