summary_type,name,count
patched_primary_role_count,acquisition,6
patched_primary_role_count,activation,7
patched_primary_role_count,aggregate_usage_review,21
patched_primary_role_count,content_recency,4
patched_primary_role_count,date_or_time_anchor,1
patched_primary_role_count,genre_ratio,13
patched_primary_role_count,id,1
patched_primary_role_count,leakage_suspect,1
patched_primary_role_count,membership_context,17
patched_primary_role_count,retention,16
patched_primary_role_count,split,1
patched_primary_role_count,target,1
patched_primary_role_count,timing_review_required,2
patched_feature_family_count,activation_onboarding,2
patched_feature_family_count,content_genre,13
patched_feature_family_count,content_metadata_recency,1
patched_feature_family_count,content_recency,4
patched_feature_family_count,engagement_depth,1
patched_feature_family_count,identifier,1
patched_feature_family_count,membership_context,17
patched_feature_family_count,outcome_or_intervention_proxy,1
patched_feature_family_count,registration_context,6
patched_feature_family_count,retention_change,3
patched_feature_family_count,retention_ratio,2
patched_feature_family_count,short_watch_behavior,2
patched_feature_family_count,split_variable,1
patched_feature_family_count,subscription_anchor,1
patched_feature_family_count,subscription_end_timing_review,1
patched_feature_family_count,target,1
patched_feature_family_count,usage_aggregate,2
patched_feature_family_count,usage_behavior_ratio,1
patched_feature_family_count,usage_behavior_summary,15
patched_feature_family_count,usage_observation,15
patched_feature_family_count,viewing_pattern,1
patched_overall_status_count,no,3
patched_overall_status_count,review,65
patched_overall_status_count,yes,23
patched_groupwise_status_count,no,4
patched_groupwise_status_count,review,65
patched_groupwise_status_count,yes,22
patch_metric,number_of_patched_columns,84
patch_metric,number_of_columns_whose_role_changed,46
patch_metric,number_of_columns_whose_allowed_status_changed,8
patch_metric,number_of_columns_still_requiring_review,66
patch_metric,number_of_forbidden_drop_columns,4
