duplicate_group_id,source_row_number,keep_or_exclude,USER_KEY,is_promotion,is_repurchase,reg_date,end_date,duration_days
1,47,keep_first_source_row,a02a14ff1ab86edbfe46ad5a6a7fce054dc83c39aa7c362622171c550dcfe7099733a95d986e379eedfcb8edb5adc79c3f2439a56104f63410b83a10131c8ea5,0,1,2021-03-12,2021-04-12,31
1,48,exclude_extra_duplicate,a02a14ff1ab86edbfe46ad5a6a7fce054dc83c39aa7c362622171c550dcfe7099733a95d986e379eedfcb8edb5adc79c3f2439a56104f63410b83a10131c8ea5,0,1,2021-03-12,2021-04-12,31
2,635,keep_first_source_row,48a1980ffa4529b083aac4cd2905b676125fc2fe48903e11cdc8f3a40c5c91b386249156c3a04e9030cd90126f481478b9df5c2501b933c4c64cdaa1bb82fc91,1,0,2021-03-12,2021-03-12,0
2,636,exclude_extra_duplicate,48a1980ffa4529b083aac4cd2905b676125fc2fe48903e11cdc8f3a40c5c91b386249156c3a04e9030cd90126f481478b9df5c2501b933c4c64cdaa1bb82fc91,1,0,2021-03-12,2021-03-12,0
3,752,keep_first_source_row,a02a14ff1ab86edbfe46ad5a6a7fce054dc83c39aa7c362622171c550dcfe7099733a95d986e379eedfcb8edb5adc79c3f2439a56104f63410b83a10131c8ea5,0,1,2021-03-09,2021-03-12,3
3,753,exclude_extra_duplicate,a02a14ff1ab86edbfe46ad5a6a7fce054dc83c39aa7c362622171c550dcfe7099733a95d986e379eedfcb8edb5adc79c3f2439a56104f63410b83a10131c8ea5,0,1,2021-03-09,2021-03-12,3
4,1307,keep_first_source_row,06413c96660e23ddd8e6cc93b3e03e299201a9a1aa05ba70ea10b8a8c6f7a17686772ce450d9427ac59dd24d830052c31a8122bb355ce6d58ae7d6d16a9c8d65,0,1,2021-03-06,2021-03-12,6
4,1308,exclude_extra_duplicate,06413c96660e23ddd8e6cc93b3e03e299201a9a1aa05ba70ea10b8a8c6f7a17686772ce450d9427ac59dd24d830052c31a8122bb355ce6d58ae7d6d16a9c8d65,0,1,2021-03-06,2021-03-12,6
5,1672,keep_first_source_row,51114f7359992ecf5c70f08e63cbc1b450779dcdb874723aa7cd7568142ffa41f53e4b1eb65a6efd481423c33a894fecad9d1928c401acb0dc10c73caa195a0e,0,1,2021-03-01,2021-04-02,32
5,1673,exclude_extra_duplicate,51114f7359992ecf5c70f08e63cbc1b450779dcdb874723aa7cd7568142ffa41f53e4b1eb65a6efd481423c33a894fecad9d1928c401acb0dc10c73caa195a0e,0,1,2021-03-01,2021-04-02,32
6,1849,keep_first_source_row,07e8934c2a06f8b6e27296413d04e783282f9446ea0c8c983a99fbfcb6646e34c86e2ba3d365d822d0f6978b8b38a354b089e2caf0ffa9ab3c49df4151f13ac0,0,1,2021-03-13,2021-04-13,31
6,1850,exclude_extra_duplicate,07e8934c2a06f8b6e27296413d04e783282f9446ea0c8c983a99fbfcb6646e34c86e2ba3d365d822d0f6978b8b38a354b089e2caf0ffa9ab3c49df4151f13ac0,0,1,2021-03-13,2021-04-13,31
