feature_name,feature_type,overall_zero_rate,zero_rate_by_2x2,max_zero_rate_gap_between_2x2,binary_positive_rate_by_2x2,max_positive_rate_gap_between_2x2,whether_signal_is_mainly_zero_nonzero,interpretation
avg_gap_w1_watch_days,gap,0.6762858009445817,"{""nonpromotion_repurchase"": 0.671479, ""nonpromotion_nonrepurchase"": 0.696045, ""promotion_repurchase"": 0.67127, ""promotion_nonrepurchase"": 0.683734}",0.024774823222258102,,,no,descriptive zero/nonzero or binary proportion audit only
avg_gap_w2_watch_days,gap,0.6738593526582608,"{""nonpromotion_repurchase"": 0.634624, ""nonpromotion_nonrepurchase"": 0.80339, ""promotion_repurchase"": 0.627971, ""promotion_nonrepurchase"": 0.766744}",0.17541919469909295,,,yes,descriptive zero/nonzero or binary proportion audit only
avg_gap_w3_watch_days,gap,0.6709562806014125,"{""nonpromotion_repurchase"": 0.608451, ""nonpromotion_nonrepurchase"": 0.902072, ""promotion_repurchase"": 0.575215, ""promotion_nonrepurchase"": 0.848979}",0.3268569307630176,,,yes,descriptive zero/nonzero or binary proportion audit only
is_cold_start_3d,binary,0.5365483773127085,"{""nonpromotion_repurchase"": 0.531103, ""nonpromotion_nonrepurchase"": 0.541243, ""promotion_repurchase"": 0.522085, ""promotion_nonrepurchase"": 0.575381}",0.053296077403065856,"{""nonpromotion_repurchase"": 0.468897, ""nonpromotion_nonrepurchase"": 0.458757, ""promotion_repurchase"": 0.477915, ""promotion_nonrepurchase"": 0.424619}",0.05329607740306591,review,descriptive zero/nonzero or binary proportion audit only
is_cold_start_7d,binary,0.32072446813120153,"{""nonpromotion_repurchase"": 0.328873, ""nonpromotion_nonrepurchase"": 0.281733, ""promotion_repurchase"": 0.330223, ""promotion_nonrepurchase"": 0.309801}",0.04849013988270351,"{""nonpromotion_repurchase"": 0.671127, ""nonpromotion_nonrepurchase"": 0.718267, ""promotion_repurchase"": 0.669777, ""promotion_nonrepurchase"": 0.690199}",0.048490139882703565,no,descriptive zero/nonzero or binary proportion audit only
watch_time(min)_w1,continuous_time,0.362147406733394,"{""nonpromotion_repurchase"": 0.376056, ""nonpromotion_nonrepurchase"": 0.303955, ""promotion_repurchase"": 0.376882, ""promotion_nonrepurchase"": 0.340833}",0.07292711885495684,,,review,descriptive zero/nonzero or binary proportion audit only
watch_time(min)_w2,continuous_time,0.37102994063867584,"{""nonpromotion_repurchase"": 0.336502, ""nonpromotion_nonrepurchase"": 0.479096, ""promotion_repurchase"": 0.33408, ""promotion_nonrepurchase"": 0.449703}",0.1450161646452952,,,review,descriptive zero/nonzero or binary proportion audit only
watch_time(min)_w3,continuous_time,0.36288400710602714,"{""nonpromotion_repurchase"": 0.286972, ""nonpromotion_nonrepurchase"": 0.631262, ""promotion_repurchase"": 0.264029, ""promotion_nonrepurchase"": 0.551332}",0.3672329037523488,,,yes,descriptive zero/nonzero or binary proportion audit only
watch_session_w1,count,0.362147406733394,"{""nonpromotion_repurchase"": 0.376056, ""nonpromotion_nonrepurchase"": 0.303955, ""promotion_repurchase"": 0.376882, ""promotion_nonrepurchase"": 0.340833}",0.07292711885495684,,,review,descriptive zero/nonzero or binary proportion audit only
watch_session_w2,count,0.37102994063867584,"{""nonpromotion_repurchase"": 0.336502, ""nonpromotion_nonrepurchase"": 0.479096, ""promotion_repurchase"": 0.33408, ""promotion_nonrepurchase"": 0.449703}",0.1450161646452952,,,review,descriptive zero/nonzero or binary proportion audit only
watch_session_w3,count,0.36288400710602714,"{""nonpromotion_repurchase"": 0.286972, ""nonpromotion_nonrepurchase"": 0.631262, ""promotion_repurchase"": 0.264029, ""promotion_nonrepurchase"": 0.551332}",0.3672329037523488,,,yes,descriptive zero/nonzero or binary proportion audit only
retention_w2_ratio,ratio,0.0,"{""nonpromotion_repurchase"": 0.0, ""nonpromotion_nonrepurchase"": 0.0, ""promotion_repurchase"": 0.0, ""promotion_nonrepurchase"": 0.0}",0.0,,,no,descriptive zero/nonzero or binary proportion audit only
retention_w3_ratio,ratio,0.0,"{""nonpromotion_repurchase"": 0.0, ""nonpromotion_nonrepurchase"": 0.0, ""promotion_repurchase"": 0.0, ""promotion_nonrepurchase"": 0.0}",0.0,,,no,descriptive zero/nonzero or binary proportion audit only
diff_between_w2_w1,retention_change,0.16621170761298149,"{""nonpromotion_repurchase"": 0.159977, ""nonpromotion_nonrepurchase"": 0.169492, ""promotion_repurchase"": 0.16225, ""promotion_nonrepurchase"": 0.185932}",0.025955721398470993,,,no,descriptive zero/nonzero or binary proportion audit only
