feature_name,used_in_ladder_steps,AARRR_stage,feature_family,appears_in_09_top_signal,appears_in_10_focus_feature,included_in_best_baseline_any_scope,caution
avg_gap_w1_watch_days,L4_all_conservative_behavior;L5_all_conservative_plus_promotion_indicator,retention,usage_observation,False,False,True,Conservative behavior feature; descriptive model input only.
avg_gap_w2_watch_days,L2_add_week2_retention;L3_add_week3_retention;L4_all_conservative_behavior;L5_all_conservative_plus_promotion_indicator,retention,usage_observation,False,False,True,Conservative behavior feature; descriptive model input only.
avg_gap_w3_watch_days,L3_add_week3_retention;L4_all_conservative_behavior;L5_all_conservative_plus_promotion_indicator,retention,usage_observation,True,False,True,Conservative behavior feature; descriptive model input only.
is_cold_start_3d,L1_activation_safe;L2_add_week2_retention;L3_add_week3_retention;L4_all_conservative_behavior;L5_all_conservative_plus_promotion_indicator,activation,activation_onboarding,True,True,True,Conservative behavior feature; descriptive model input only.
is_cold_start_7d,L1_activation_safe;L2_add_week2_retention;L3_add_week3_retention;L4_all_conservative_behavior;L5_all_conservative_plus_promotion_indicator,activation,activation_onboarding,False,True,True,Conservative behavior feature; descriptive model input only.
watch_time(min)_w1,L1_activation_safe;L2_add_week2_retention;L3_add_week3_retention;L4_all_conservative_behavior;L5_all_conservative_plus_promotion_indicator,activation,usage_observation,False,False,True,Conservative behavior feature; descriptive model input only.
watch_time(min)_w2,L2_add_week2_retention;L3_add_week3_retention;L4_all_conservative_behavior;L5_all_conservative_plus_promotion_indicator,retention,usage_observation,False,True,True,Conservative behavior feature; descriptive model input only.
watch_time(min)_w3,L3_add_week3_retention;L4_all_conservative_behavior;L5_all_conservative_plus_promotion_indicator,retention,usage_observation,True,True,True,Conservative behavior feature; descriptive model input only.
watch_session_w1,L1_activation_safe;L2_add_week2_retention;L3_add_week3_retention;L4_all_conservative_behavior;L5_all_conservative_plus_promotion_indicator,activation,usage_observation,False,False,True,Conservative behavior feature; descriptive model input only.
watch_session_w2,L2_add_week2_retention;L3_add_week3_retention;L4_all_conservative_behavior;L5_all_conservative_plus_promotion_indicator,retention,usage_observation,False,True,True,Conservative behavior feature; descriptive model input only.
watch_session_w3,L3_add_week3_retention;L4_all_conservative_behavior;L5_all_conservative_plus_promotion_indicator,retention,usage_observation,True,True,True,Conservative behavior feature; descriptive model input only.
retention_w2_ratio,L2_add_week2_retention;L3_add_week3_retention;L4_all_conservative_behavior;L5_all_conservative_plus_promotion_indicator,retention,retention_ratio,False,True,True,Conservative behavior feature; descriptive model input only.
retention_w3_ratio,L3_add_week3_retention;L4_all_conservative_behavior;L5_all_conservative_plus_promotion_indicator,retention,retention_ratio,True,True,True,Conservative behavior feature; descriptive model input only.
diff_between_w2_w1,L2_add_week2_retention;L3_add_week3_retention;L4_all_conservative_behavior;L5_all_conservative_plus_promotion_indicator,retention,retention_change,True,True,True,Conservative behavior feature; descriptive model input only.
diff_between_w3_w1,L3_add_week3_retention;L4_all_conservative_behavior;L5_all_conservative_plus_promotion_indicator,retention,retention_change,True,True,True,Conservative behavior feature; descriptive model input only.
diff_between_w3_w2,L3_add_week3_retention;L4_all_conservative_behavior;L5_all_conservative_plus_promotion_indicator,retention,retention_change,True,True,True,Conservative behavior feature; descriptive model input only.
is_w1_over_50pct,L1_activation_safe;L2_add_week2_retention;L3_add_week3_retention;L4_all_conservative_behavior;L5_all_conservative_plus_promotion_indicator,activation,usage_observation,True,True,True,Conservative behavior feature; descriptive model input only.
is_w2_over_50pct,L2_add_week2_retention;L3_add_week3_retention;L4_all_conservative_behavior;L5_all_conservative_plus_promotion_indicator,retention,usage_observation,True,False,True,Conservative behavior feature; descriptive model input only.
is_w3_over_50pct,L3_add_week3_retention;L4_all_conservative_behavior;L5_all_conservative_plus_promotion_indicator,retention,usage_observation,False,False,True,Conservative behavior feature; descriptive model input only.
is_only_w1,L1_activation_safe;L2_add_week2_retention;L3_add_week3_retention;L4_all_conservative_behavior;L5_all_conservative_plus_promotion_indicator,activation,usage_observation,True,True,True,Conservative behavior feature; descriptive model input only.
is_only_w2,L2_add_week2_retention;L3_add_week3_retention;L4_all_conservative_behavior;L5_all_conservative_plus_promotion_indicator,retention,usage_observation,False,False,True,Conservative behavior feature; descriptive model input only.
is_only_w3,L3_add_week3_retention;L4_all_conservative_behavior;L5_all_conservative_plus_promotion_indicator,retention,usage_observation,False,False,True,Conservative behavior feature; descriptive model input only.
