membership_row_id,w1_1_has_watch_obs,w1_1_total_watch_time,w1_1_total_sessions,w1_1_unique_contents,w1_1_unique_watch_days,w1_1_avg_watch_time_per_session,w1_1_max_daily_watch_time,w1_1_max_day_share,w1_1_one_minute_watch_count,w1_1_short_watch_count_le5,w1_1_short_watch_time_le5,w1_1_week1_watch_time,w1_1_week1_sessions,w1_1_week1_ratio
1,1,191.0,3,2,3,63.666667,88.0,0.460733,0,0,0.0,191.0,3,1.0
2,1,3.0,2,2,1,1.5,3.0,1.0,1,2,3.0,3.0,2,1.0
3,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0
5,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0
6,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0
7,1,99.0,2,1,1,49.5,99.0,1.0,0,0,0.0,99.0,2,1.0
8,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0
9,1,26.0,3,3,2,8.666667,25.0,0.961538,1,1,1.0,26.0,3,1.0
10,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0
11,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0
12,1,22.0,3,3,2,7.333333,16.0,0.727273,1,2,6.0,22.0,3,1.0
13,1,392.0,4,3,2,98.0,355.0,0.905612,0,1,2.0,392.0,4,1.0
14,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0
15,1,333.0,6,4,1,55.5,333.0,1.0,0,0,0.0,333.0,6,1.0
16,1,1.0,1,1,1,1.0,1.0,1.0,1,1,1.0,1.0,1,1.0
17,1,50.0,1,1,1,50.0,50.0,1.0,0,0,0.0,50.0,1,1.0
18,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0
19,1,119.0,3,3,3,39.666667,61.0,0.512605,0,0,0.0,119.0,3,1.0
20,1,94.0,8,8,2,11.75,71.0,0.755319,0,0,0.0,94.0,8,1.0
21,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0
22,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0
23,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0
24,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0
25,1,40.0,2,1,1,20.0,40.0,1.0,1,1,1.0,40.0,2,1.0
26,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0
27,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0
28,1,228.0,5,5,3,45.6,113.0,0.495614,2,3,4.0,228.0,5,1.0
29,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0
30,1,156.0,2,1,1,78.0,156.0,1.0,0,1,5.0,156.0,2,1.0
31,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0
32,1,82.0,3,2,1,27.333333,82.0,1.0,1,1,1.0,82.0,3,1.0
33,1,7.0,1,1,1,7.0,7.0,1.0,0,0,0.0,7.0,1,1.0
34,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0
35,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0
36,1,141.0,2,2,1,70.5,141.0,1.0,0,1,4.0,141.0,2,1.0
37,1,42.0,1,1,1,42.0,42.0,1.0,0,0,0.0,42.0,1,1.0
38,1,8.0,1,1,1,8.0,8.0,1.0,0,0,0.0,8.0,1,1.0
39,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0
40,1,2.0,2,2,2,1.0,1.0,0.5,2,2,2.0,2.0,2,1.0
41,1,390.0,11,7,2,35.454545,258.0,0.661538,4,5,9.0,390.0,11,1.0
42,1,4.0,1,1,1,4.0,4.0,1.0,0,1,4.0,4.0,1,1.0
43,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0
44,1,3.0,3,3,3,1.0,1.0,0.333333,3,3,3.0,3.0,3,1.0
45,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0
46,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0
47,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0
48,1,231.0,2,2,2,115.5,171.0,0.74026,0,0,0.0,231.0,2,1.0
50,1,33.0,1,1,1,33.0,33.0,1.0,0,0,0.0,33.0,1,1.0
51,1,209.0,6,4,4,34.833333,101.0,0.483254,2,2,2.0,209.0,6,1.0
52,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0
53,1,97.0,4,3,1,24.25,97.0,1.0,2,2,2.0,97.0,4,1.0
54,1,218.0,10,6,5,21.8,100.0,0.458716,1,1,1.0,218.0,10,1.0
55,1,236.0,3,2,2,78.666667,177.0,0.75,0,0,0.0,236.0,3,1.0
56,1,136.0,1,1,1,136.0,136.0,1.0,0,0,0.0,136.0,1,1.0
57,1,839.0,13,8,5,64.538462,328.0,0.390942,1,2,4.0,839.0,13,1.0
58,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0
59,1,133.0,3,2,2,44.333333,80.0,0.601504,0,0,0.0,133.0,3,1.0
60,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0
61,1,134.0,1,1,1,134.0,134.0,1.0,0,0,0.0,134.0,1,1.0
62,1,145.0,1,1,1,145.0,145.0,1.0,0,0,0.0,145.0,1,1.0
63,1,318.0,5,3,2,63.6,193.0,0.606918,2,2,2.0,318.0,5,1.0
64,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0
65,1,93.0,1,1,1,93.0,93.0,1.0,0,0,0.0,93.0,1,1.0
66,1,590.0,12,7,6,49.166667,228.0,0.386441,3,5,8.0,590.0,12,1.0
67,1,196.0,6,5,2,32.666667,181.0,0.923469,3,3,3.0,196.0,6,1.0
68,1,23.0,2,2,2,11.5,12.0,0.521739,0,0,0.0,23.0,2,1.0
69,1,1.0,1,1,1,1.0,1.0,1.0,1,1,1.0,1.0,1,1.0
70,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0
71,1,1.0,1,1,1,1.0,1.0,1.0,1,1,1.0,1.0,1,1.0
72,1,276.0,5,1,1,55.2,276.0,1.0,1,2,3.0,276.0,5,1.0
73,1,232.0,3,2,2,77.333333,117.0,0.50431,1,1,1.0,232.0,3,1.0
74,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0
75,1,1.0,1,1,1,1.0,1.0,1.0,1,1,1.0,1.0,1,1.0
76,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0
77,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0
78,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0
79,1,4.0,2,2,1,2.0,4.0,1.0,1,2,4.0,4.0,2,1.0
80,1,95.0,3,1,1,31.666667,95.0,1.0,1,2,4.0,95.0,3,1.0
81,1,283.0,4,2,2,70.75,157.0,0.55477,0,0,0.0,283.0,4,1.0
82,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0
83,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0
84,1,6.0,1,1,1,6.0,6.0,1.0,0,0,0.0,6.0,1,1.0
85,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0
86,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0
87,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0
88,1,164.0,3,2,2,54.666667,105.0,0.640244,0,0,0.0,164.0,3,1.0
89,1,168.0,2,2,2,84.0,162.0,0.964286,0,0,0.0,168.0,2,1.0
90,1,6.0,4,4,1,1.5,6.0,1.0,2,4,6.0,6.0,4,1.0
91,1,135.0,2,1,2,67.5,112.0,0.82963,0,0,0.0,135.0,2,1.0
92,1,118.0,1,1,1,118.0,118.0,1.0,0,0,0.0,118.0,1,1.0
93,1,51.0,4,3,2,12.75,50.0,0.980392,1,1,1.0,51.0,4,1.0
94,1,94.0,1,1,1,94.0,94.0,1.0,0,0,0.0,94.0,1,1.0
95,1,14.0,2,2,2,7.0,13.0,0.928571,1,1,1.0,14.0,2,1.0
96,1,125.0,2,2,2,62.5,86.0,0.688,0,0,0.0,125.0,2,1.0
97,1,89.0,3,1,3,29.666667,59.0,0.662921,0,0,0.0,89.0,3,1.0
98,1,128.0,1,1,1,128.0,128.0,1.0,0,0,0.0,128.0,1,1.0
99,1,58.0,1,1,1,58.0,58.0,1.0,0,0,0.0,58.0,1,1.0
