membership_row_id,w1_2_has_watch_obs,w1_2_total_watch_time,w1_2_total_sessions,w1_2_unique_contents,w1_2_unique_watch_days,w1_2_avg_watch_time_per_session,w1_2_max_daily_watch_time,w1_2_max_day_share,w1_2_one_minute_watch_count,w1_2_short_watch_count_le5,w1_2_short_watch_time_le5,w1_2_week1_watch_time,w1_2_week1_sessions,w1_2_week2_watch_time,w1_2_week2_sessions,w1_2_week1_ratio,w1_2_week2_ratio,w1_2_w2_minus_w1_watch_time
1,1,504.0,11,9,8,45.818182,201.0,0.39881,3,4,5.0,191.0,3,313.0,8,0.378968,0.621032,122.0
2,1,4.0,3,3,2,1.333333,3.0,0.75,2,3,4.0,3.0,2,1.0,1,0.75,0.25,-2.0
3,1,129.0,2,2,1,64.5,129.0,1.0,1,1,1.0,0.0,0,129.0,2,0.0,1.0,129.0
5,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0.0,0,0,0,0.0
6,1,214.0,5,4,3,42.8,153.0,0.714953,1,1,1.0,0.0,0,214.0,5,0.0,1.0,214.0
7,1,99.0,2,1,1,49.5,99.0,1.0,0,0,0.0,99.0,2,0.0,0,1.0,0.0,-99.0
8,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0.0,0,0,0,0.0
9,1,106.0,11,11,6,9.636364,55.0,0.518868,2,5,14.0,26.0,3,80.0,8,0.245283,0.754717,54.0
10,1,170.0,4,1,2,42.5,100.0,0.588235,0,0,0.0,0.0,0,170.0,4,0.0,1.0,170.0
11,1,902.0,16,14,4,56.375,795.0,0.881375,2,4,10.0,0.0,0,902.0,16,0.0,1.0,902.0
12,1,187.0,5,5,4,37.4,139.0,0.743316,1,2,6.0,22.0,3,165.0,2,0.117647,0.882353,143.0
13,1,502.0,5,4,3,100.4,355.0,0.707171,0,1,2.0,392.0,4,110.0,1,0.780876,0.219124,-282.0
14,1,275.0,4,3,2,68.75,152.0,0.552727,0,0,0.0,0.0,0,275.0,4,0.0,1.0,275.0
15,1,771.0,14,9,4,55.071429,333.0,0.431907,0,1,5.0,333.0,6,438.0,8,0.431907,0.568093,105.0
16,1,19.0,3,3,2,6.333333,18.0,0.947368,1,2,3.0,1.0,1,18.0,2,0.052632,0.947368,17.0
17,1,88.0,2,2,2,44.0,50.0,0.568182,0,0,0.0,50.0,1,38.0,1,0.568182,0.431818,-12.0
18,1,979.0,19,13,7,51.526316,249.0,0.254341,1,5,12.0,0.0,0,979.0,19,0.0,1.0,979.0
19,1,264.0,6,5,6,44.0,81.0,0.306818,0,0,0.0,119.0,3,145.0,3,0.450758,0.549242,26.0
20,1,94.0,8,8,2,11.75,71.0,0.755319,0,0,0.0,94.0,8,0.0,0,1.0,0.0,-94.0
21,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0.0,0,0,0,0.0
22,1,97.0,1,1,1,97.0,97.0,1.0,0,0,0.0,0.0,0,97.0,1,0.0,1.0,97.0
23,1,4.0,1,1,1,4.0,4.0,1.0,0,1,4.0,0.0,0,4.0,1,0.0,1.0,4.0
24,1,98.0,2,2,2,49.0,97.0,0.989796,1,1,1.0,0.0,0,98.0,2,0.0,1.0,98.0
25,1,110.0,5,3,3,22.0,56.0,0.509091,2,2,2.0,40.0,2,70.0,3,0.363636,0.636364,30.0
26,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0.0,0,0,0,0.0
27,1,40.0,2,1,2,20.0,39.0,0.975,1,1,1.0,0.0,0,40.0,2,0.0,1.0,40.0
28,1,229.0,6,6,4,38.166667,113.0,0.49345,3,4,5.0,228.0,5,1.0,1,0.995633,0.004367,-227.0
29,1,87.0,1,1,1,87.0,87.0,1.0,0,0,0.0,0.0,0,87.0,1,0.0,1.0,87.0
30,1,156.0,2,1,1,78.0,156.0,1.0,0,1,5.0,156.0,2,0.0,0,1.0,0.0,-156.0
31,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0.0,0,0,0,0.0
32,1,385.0,6,4,2,64.166667,303.0,0.787013,1,1,1.0,82.0,3,303.0,3,0.212987,0.787013,221.0
33,1,7.0,1,1,1,7.0,7.0,1.0,0,0,0.0,7.0,1,0.0,0,1.0,0.0,-7.0
34,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0.0,0,0,0,0.0
35,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0.0,0,0,0,0.0
36,1,288.0,4,4,3,72.0,141.0,0.489583,0,1,4.0,141.0,2,147.0,2,0.489583,0.510417,6.0
37,1,236.0,4,2,3,59.0,172.0,0.728814,0,0,0.0,42.0,1,194.0,3,0.177966,0.822034,152.0
38,1,146.0,5,3,4,29.2,112.0,0.767123,0,1,4.0,8.0,1,138.0,4,0.054795,0.945205,130.0
39,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0.0,0,0,0,0.0
40,1,2.0,2,2,2,1.0,1.0,0.5,2,2,2.0,2.0,2,0.0,0,1.0,0.0,-2.0
41,1,564.0,17,10,6,33.176471,258.0,0.457447,6,7,11.0,390.0,11,174.0,6,0.691489,0.308511,-216.0
42,1,71.0,2,2,2,35.5,67.0,0.943662,0,1,4.0,4.0,1,67.0,1,0.056338,0.943662,63.0
43,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0.0,0,0,0,0.0
44,1,3.0,3,3,3,1.0,1.0,0.333333,3,3,3.0,3.0,3,0.0,0,1.0,0.0,-3.0
45,1,79.0,1,1,1,79.0,79.0,1.0,0,0,0.0,0.0,0,79.0,1,0.0,1.0,79.0
46,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0.0,0,0,0,0.0
47,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0.0,0,0,0,0.0
48,1,533.0,9,8,7,59.222222,171.0,0.320826,1,1,1.0,231.0,2,302.0,7,0.433396,0.566604,71.0
50,1,145.0,4,3,3,36.25,97.0,0.668966,0,0,0.0,33.0,1,112.0,3,0.227586,0.772414,79.0
51,1,283.0,10,7,8,28.3,101.0,0.35689,5,5,5.0,209.0,6,74.0,4,0.738516,0.261484,-135.0
52,1,415.0,7,5,3,59.285714,243.0,0.585542,1,1,1.0,0.0,0,415.0,7,0.0,1.0,415.0
53,1,190.0,6,4,3,31.666667,97.0,0.510526,2,2,2.0,97.0,4,93.0,2,0.510526,0.489474,-4.0
54,1,368.0,13,7,8,28.307692,100.0,0.271739,1,2,5.0,218.0,10,150.0,3,0.592391,0.407609,-68.0
55,1,236.0,3,2,2,78.666667,177.0,0.75,0,0,0.0,236.0,3,0.0,0,1.0,0.0,-236.0
56,1,225.0,7,6,3,32.142857,136.0,0.604444,2,4,7.0,136.0,1,89.0,6,0.604444,0.395556,-47.0
57,1,839.0,13,8,5,64.538462,328.0,0.390942,1,2,4.0,839.0,13,0.0,0,1.0,0.0,-839.0
58,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0.0,0,0,0,0.0
59,1,148.0,4,3,3,37.0,80.0,0.540541,0,0,0.0,133.0,3,15.0,1,0.898649,0.101351,-118.0
60,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0.0,0,0,0,0.0
