window,feature_set,model_name,importance_type,feature_name,value
w1_3,membership_only_with_churn_prevented,LogisticRegression,logistic_coefficient,num__price,0.1753314127533246
w1_3,membership_only_with_churn_prevented,LogisticRegression,logistic_coefficient,num__max_screen,0.06171857659204358
w1_3,membership_only_with_churn_prevented,LogisticRegression,logistic_coefficient,num__age,0.00936184705420299
w1_3,membership_only_with_churn_prevented,LogisticRegression,logistic_coefficient,cat__product_code_pk_1070,-0.410050179671203
w1_3,membership_only_with_churn_prevented,LogisticRegression,logistic_coefficient,cat__product_code_pk_1071,0.15525440150994577
w1_3,membership_only_with_churn_prevented,LogisticRegression,logistic_coefficient,cat__product_code_pk_1077,-0.5020067547957406
w1_3,membership_only_with_churn_prevented,LogisticRegression,logistic_coefficient,cat__product_code_pk_1079,0.12647788017365474
w1_3,membership_only_with_churn_prevented,LogisticRegression,logistic_coefficient,cat__product_code_pk_1136,-0.5617202801001546
w1_3,membership_only_with_churn_prevented,LogisticRegression,logistic_coefficient,cat__product_code_pk_1137,0.1470726261283234
w1_3,membership_only_with_churn_prevented,LogisticRegression,logistic_coefficient,cat__product_code_pk_1139,-1.0227936146329433
w1_3,membership_only_with_churn_prevented,LogisticRegression,logistic_coefficient,cat__product_code_pk_1140,0.1458662141531164
w1_3,membership_only_with_churn_prevented,LogisticRegression,logistic_coefficient,cat__product_code_pk_1142,0.2727771523204714
w1_3,membership_only_with_churn_prevented,LogisticRegression,logistic_coefficient,cat__product_code_pk_1143,0.13667802757807923
w1_3,membership_only_with_churn_prevented,LogisticRegression,logistic_coefficient,cat__product_code_pk_1145,0.42584546761153735
w1_3,membership_only_with_churn_prevented,LogisticRegression,logistic_coefficient,cat__product_code_pk_1152,0.13666386263181615
w1_3,membership_only_with_churn_prevented,LogisticRegression,logistic_coefficient,cat__product_code_pk_1154,0.14716764636226892
w1_3,membership_only_with_churn_prevented,LogisticRegression,logistic_coefficient,cat__product_code_pk_1157,0.14312658767219769
w1_3,membership_only_with_churn_prevented,LogisticRegression,logistic_coefficient,cat__product_code_pk_1158,0.15154324662512597
w1_3,membership_only_with_churn_prevented,LogisticRegression,logistic_coefficient,cat__product_code_pk_118,0.20121785873718762
w1_3,membership_only_with_churn_prevented,LogisticRegression,logistic_coefficient,cat__product_code_pk_119,-0.5717675802056503
w1_3,membership_only_with_churn_prevented,LogisticRegression,logistic_coefficient,cat__product_code_pk_121,0.007780030058875838
w1_3,membership_only_with_churn_prevented,LogisticRegression,logistic_coefficient,cat__product_code_pk_122,-0.33376027976566935
w1_3,membership_only_with_churn_prevented,LogisticRegression,logistic_coefficient,cat__product_code_pk_123,-0.16995136999021476
w1_3,membership_only_with_churn_prevented,LogisticRegression,logistic_coefficient,cat__product_code_pk_129,0.15392153742742173
w1_3,membership_only_with_churn_prevented,LogisticRegression,logistic_coefficient,cat__product_code_pk_139,0.5401136385416887
w1_3,membership_only_with_churn_prevented,LogisticRegression,logistic_coefficient,cat__product_code_pk_140,0.29310445665344154
w1_3,membership_only_with_churn_prevented,LogisticRegression,logistic_coefficient,cat__product_code_pk_141,-0.7624861756393897
w1_3,membership_only_with_churn_prevented,LogisticRegression,logistic_coefficient,cat__product_code_pk_142,0.566028081371042
w1_3,membership_only_with_churn_prevented,LogisticRegression,logistic_coefficient,cat__product_code_pk_1486,0.16003557839996035
w1_3,membership_only_with_churn_prevented,LogisticRegression,logistic_coefficient,cat__product_code_pk_1487,-0.0624319012024596
