case_type,membership_row_id,is_repurchase,target_repurchase,repurchase_score,churn_risk_score,explanation_method
high_churn_risk_true_N,3488,N,0,0.11522354888553425,0.8847764511144658,fallback_global_importance_row_values_not_shap
high_churn_risk_true_N,11369,N,0,0.1264466868670001,0.8735533131329999,fallback_global_importance_row_values_not_shap
high_churn_risk_true_N,1778,N,0,0.12884446723952203,0.871155532760478,fallback_global_importance_row_values_not_shap
high_churn_risk_false_positive,5455,Y,1,0.12857251589760407,0.8714274841023959,fallback_global_importance_row_values_not_shap
high_churn_risk_false_positive,5176,Y,1,0.1451967881089049,0.8548032118910951,fallback_global_importance_row_values_not_shap
high_churn_risk_false_positive,1413,Y,1,0.1539360170735132,0.8460639829264868,fallback_global_importance_row_values_not_shap
low_churn_risk_true_Y,7709,Y,1,0.9893825534282153,0.01061744657178465,fallback_global_importance_row_values_not_shap
low_churn_risk_true_Y,7807,Y,1,0.9891733709587153,0.01082662904128473,fallback_global_importance_row_values_not_shap
low_churn_risk_true_Y,2140,Y,1,0.988967389937284,0.011032610062716053,fallback_global_importance_row_values_not_shap
ambiguous_mid_score,20379,N,0,0.4997952860006966,0.5002047139993033,fallback_global_importance_row_values_not_shap
ambiguous_mid_score,12678,Y,1,0.4995446958384107,0.5004553041615893,fallback_global_importance_row_values_not_shap
ambiguous_mid_score,5151,N,0,0.5004924485365103,0.4995075514634897,fallback_global_importance_row_values_not_shap
