duration_days,end_date_inclusiveness_status,total_view_log_count,watch_date_lt_reg_date,watch_date_eq_reg_date,reg_date_le_watch_date_le_end_date,watch_date_eq_end_date,watch_date_gt_end_date,membership_rows_without_mapping,membership_rows_without_view_logs,watch_date_parse_error,total_count
0,unresolved_audit_only,4508,2,203,203,203,4303,0,0,0,4508
1,unresolved_audit_only,628,15,16,30,14,583,0,0,0,628
10,unresolved_audit_only,35,0,13,32,0,3,0,0,0,35
11,unresolved_audit_only,12,0,0,7,1,5,0,0,0,12
12,unresolved_audit_only,16,0,0,1,1,15,0,0,0,16
13,unresolved_audit_only,47,0,0,14,7,33,0,0,0,47
14,unresolved_audit_only,14,0,4,14,0,0,0,0,0,14
16,unresolved_audit_only,15,0,0,14,0,1,0,0,0,15
17,unresolved_audit_only,19,0,0,10,0,9,0,0,0,19
18,unresolved_audit_only,6,0,0,6,0,0,0,0,0,6
2,unresolved_audit_only,356,9,3,9,5,338,0,0,0,356
20,unresolved_audit_only,10,0,0,10,0,0,0,0,0,10
3,unresolved_audit_only,215,9,4,40,17,166,0,0,0,215
31,unresolved_audit_only,144363,53,7193,144310,0,0,0,0,0,144363
32,unresolved_audit_only,29405,2,1434,29401,0,2,0,2,0,29407
4,unresolved_audit_only,100,18,4,30,11,52,0,0,0,100
5,unresolved_audit_only,69,0,0,0,0,69,0,0,0,69
6,unresolved_audit_only,54,0,0,6,0,48,0,0,0,54
7,unresolved_audit_only,17,0,0,3,0,14,0,0,0,17
8,unresolved_audit_only,83,0,0,2,0,81,0,0,0,83
9,unresolved_audit_only,29,0,1,11,1,18,0,0,0,29
