feature_set_name,model,n_test,top_10pct_n,overall_churn_rate,top_10pct_churn_rate,top_decile_lift_vs_overall,captured_churners,total_churners,churner_capture_rate,avg_churn_risk_score_top_decile
full_reference_w1_3,HistGradientBoostingClassifier,4777,478,0.287,0.792887,2.762671,379,1371,0.276441,0.79177
full_reference_w1_3,LogisticRegression,4777,478,0.287,0.740586,2.580436,354,1371,0.258206,0.823876
reduced_family_level_interpretable,HistGradientBoostingClassifier,4777,478,0.287,0.751046,2.616883,359,1371,0.261853,0.729607
reduced_family_level_interpretable,LogisticRegression,4777,478,0.287,0.610879,2.128496,292,1371,0.212983,0.642891
reduced_membership_genre_ratio_only,HistGradientBoostingClassifier,4777,478,0.287,0.658996,2.296151,315,1371,0.229759,0.666968
reduced_membership_genre_ratio_only,LogisticRegression,4777,478,0.287,0.596234,2.07747,285,1371,0.207877,0.518361
reduced_membership_only,HistGradientBoostingClassifier,4777,478,0.287,0.403766,1.406848,193,1371,0.140773,0.349824
reduced_membership_only,LogisticRegression,4777,478,0.287,0.374477,1.304797,179,1371,0.130562,0.350425
reduced_membership_simple_usage,HistGradientBoostingClassifier,4777,478,0.287,0.66318,2.31073,317,1371,0.231218,0.636749
reduced_membership_simple_usage,LogisticRegression,4777,478,0.287,0.648536,2.259704,310,1371,0.226112,0.585052
reduced_membership_simple_usage_genre_ratio,HistGradientBoostingClassifier,4777,478,0.287,0.753138,2.624173,360,1371,0.262582,0.740141
reduced_membership_simple_usage_genre_ratio,LogisticRegression,4777,478,0.287,0.709205,2.471096,339,1371,0.247265,0.702165
reduced_membership_week1_2_only,HistGradientBoostingClassifier,4777,478,0.287,0.686192,2.390913,328,1371,0.239241,0.683243
reduced_membership_week1_2_only,LogisticRegression,4777,478,0.287,0.506276,1.764027,242,1371,0.176513,0.521571
reduced_membership_weekly_usage_no_ratios,HistGradientBoostingClassifier,4777,478,0.287,0.732218,2.551279,350,1371,0.255288,0.718416
reduced_membership_weekly_usage_no_ratios,LogisticRegression,4777,478,0.287,0.604603,2.106627,289,1371,0.210795,0.563498
reduced_no_target_adjacent_timing,HistGradientBoostingClassifier,4777,478,0.287,0.774059,2.697066,370,1371,0.269876,0.760822
reduced_no_target_adjacent_timing,LogisticRegression,4777,478,0.287,0.732218,2.551279,350,1371,0.255288,0.735102
