transformed_feature,original_feature,feature_family,mean_shap_high_value,mean_shap_low_value,direction_note
num__w1_3_week3_watch_time,w1_3_week3_watch_time,weekly_usage_pattern,0.7231474578711287,-0.8395071243847583,positive SHAP pushes toward repurchase_score; negative SHAP pushes toward higher churn risk
num__w1_3_week1_watch_time,w1_3_week1_watch_time,weekly_usage_pattern,-0.2531545862963106,0.2897502022036395,positive SHAP pushes toward repurchase_score; negative SHAP pushes toward higher churn risk
num__w1_3_genre_ratio_drama,w1_3_genre_ratio_drama,genre_ratio_proxy,-0.004856153907236882,,positive SHAP pushes toward repurchase_score; negative SHAP pushes toward higher churn risk
num__w1_3_week2_watch_time,w1_3_week2_watch_time,weekly_usage_pattern,0.1755038571323682,-0.09763238309434852,positive SHAP pushes toward repurchase_score; negative SHAP pushes toward higher churn risk
num__w1_3_genre_ratio_animation_family,w1_3_genre_ratio_animation_family,genre_ratio_proxy,-0.004021561658391427,,positive SHAP pushes toward repurchase_score; negative SHAP pushes toward higher churn risk
num__price,price,membership_context,-0.050097841300826486,0.2518101692072154,positive SHAP pushes toward repurchase_score; negative SHAP pushes toward higher churn risk
num__w1_3_genre_ratio_romance,w1_3_genre_ratio_romance,genre_ratio_proxy,-0.006671726407040012,,positive SHAP pushes toward repurchase_score; negative SHAP pushes toward higher churn risk
num__w1_3_genre_ratio_thriller_crime,w1_3_genre_ratio_thriller_crime,genre_ratio_proxy,-0.009012328013300224,,positive SHAP pushes toward repurchase_score; negative SHAP pushes toward higher churn risk
num__w1_3_genre_ratio_action_adventure,w1_3_genre_ratio_action_adventure,genre_ratio_proxy,0.007877210881650455,,positive SHAP pushes toward repurchase_score; negative SHAP pushes toward higher churn risk
num__w1_3_avg_watch_time_per_session,w1_3_avg_watch_time_per_session,simple_usage_volume,0.12820217072979867,-0.13442646404785322,positive SHAP pushes toward repurchase_score; negative SHAP pushes toward higher churn risk
num__w1_3_unique_contents,w1_3_unique_contents,simple_usage_volume,-0.008270790615961178,-0.05909991526685478,positive SHAP pushes toward repurchase_score; negative SHAP pushes toward higher churn risk
num__max_screen,max_screen,membership_context,-0.000818745726433983,,positive SHAP pushes toward repurchase_score; negative SHAP pushes toward higher churn risk
num__w1_3_week3_sessions,w1_3_week3_sessions,weekly_usage_pattern,0.03125415498695703,-0.07692282551610571,positive SHAP pushes toward repurchase_score; negative SHAP pushes toward higher churn risk
num__w1_3_genre_ratio_horror,w1_3_genre_ratio_horror,genre_ratio_proxy,-0.0014455795917700503,,positive SHAP pushes toward repurchase_score; negative SHAP pushes toward higher churn risk
cat__is_user_verified_N,is_user_verified,membership_context,-0.0030190076399277434,,positive SHAP pushes toward repurchase_score; negative SHAP pushes toward higher churn risk
num__w1_3_genre_ratio_sf_fantasy,w1_3_genre_ratio_sf_fantasy,genre_ratio_proxy,0.0022562612648590443,,positive SHAP pushes toward repurchase_score; negative SHAP pushes toward higher churn risk
num__w1_3_genre_ratio_other,w1_3_genre_ratio_other,genre_ratio_proxy,-0.0008081448068110622,,positive SHAP pushes toward repurchase_score; negative SHAP pushes toward higher churn risk
num__w1_3_recent_content_watch_ratio,w1_3_recent_content_watch_ratio,release_month_proxy,-0.001965813396312779,,positive SHAP pushes toward repurchase_score; negative SHAP pushes toward higher churn risk
num__w1_3_unique_watch_days,w1_3_unique_watch_days,simple_usage_volume,0.004250872789160451,-0.025299990539489715,positive SHAP pushes toward repurchase_score; negative SHAP pushes toward higher churn risk
num__w1_3_genre_entropy,w1_3_genre_entropy,genre_ratio_proxy,0.018922806949052826,-0.025513032540896204,positive SHAP pushes toward repurchase_score; negative SHAP pushes toward higher churn risk
num__w1_3_genre_ratio_comedy,w1_3_genre_ratio_comedy,genre_ratio_proxy,-0.000937401506259641,,positive SHAP pushes toward repurchase_score; negative SHAP pushes toward higher churn risk
num__w1_3_week1_sessions,w1_3_week1_sessions,weekly_usage_pattern,-0.00995227472468563,0.01553146802686998,positive SHAP pushes toward repurchase_score; negative SHAP pushes toward higher churn risk
num__age,age,membership_context,0.01587684443035682,-0.01636530745711346,positive SHAP pushes toward repurchase_score; negative SHAP pushes toward higher churn risk
num__w1_3_week2_sessions,w1_3_week2_sessions,weekly_usage_pattern,0.008902113483154808,-0.006120311676225661,positive SHAP pushes toward repurchase_score; negative SHAP pushes toward higher churn risk
cat__payment_device_android,payment_device,membership_context,0.0005943622887470061,,positive SHAP pushes toward repurchase_score; negative SHAP pushes toward higher churn risk
num__w1_3_genre_ratio_historical_war,w1_3_genre_ratio_historical_war,genre_ratio_proxy,-0.0013801077819341793,,positive SHAP pushes toward repurchase_score; negative SHAP pushes toward higher churn risk
cat__payment_device_pc,payment_device,membership_context,-0.0003133822904965712,,positive SHAP pushes toward repurchase_score; negative SHAP pushes toward higher churn risk
cat__payment_device_mobile,payment_device,membership_context,-0.0004679696628119523,,positive SHAP pushes toward repurchase_score; negative SHAP pushes toward higher churn risk
cat__gender_N,gender,membership_context,6.589146410702489e-05,,positive SHAP pushes toward repurchase_score; negative SHAP pushes toward higher churn risk
cat__gender_M,gender,membership_context,0.00021996277924955427,,positive SHAP pushes toward repurchase_score; negative SHAP pushes toward higher churn risk
cat__billing_method_190,billing_method,membership_context,0.0002875887432508217,,positive SHAP pushes toward repurchase_score; negative SHAP pushes toward higher churn risk
cat__billing_method_134,billing_method,membership_context,-0.0003636757910921893,,positive SHAP pushes toward repurchase_score; negative SHAP pushes toward higher churn risk
cat__billing_method_180,billing_method,membership_context,2.0519696671599696e-05,,positive SHAP pushes toward repurchase_score; negative SHAP pushes toward higher churn risk
cat__billing_method_151,billing_method,membership_context,7.96901431093029e-05,,positive SHAP pushes toward repurchase_score; negative SHAP pushes toward higher churn risk
