encoded_feature,vif,r2_approx,severity,corr_matrix_rank,corr_matrix_cols,rank_deficient,feature,include_for_vif_x,reason,original_feature,encoding,include_for_vif_y,feature_family,feature_type,decision
price,31.968265825804952,0.9687189788320393,HIGH,45,63,True,price,True,included,price,numeric,True,membership,numeric,INSUFFICIENT_DATA
age_band_40s,30.178025560201654,0.9668633059507118,HIGH,45,63,True,age_band,True,included,age_band,one_hot_drop_first,True,membership,categorical,KEEP_CORE
age_band_30s,20.773995752590668,0.9518628957130073,HIGH,45,63,True,age_band,True,included,age_band,one_hot_drop_first,True,membership,categorical,KEEP_CORE
age,20.316658747066146,0.9507793081308507,HIGH,45,63,True,age,True,included,age,numeric,True,membership,numeric,KEEP_CORE
age_band_50s,19.521656654819616,0.9487748392627777,HIGH,45,63,True,age_band,True,included,age_band,one_hot_drop_first,True,membership,categorical,KEEP_CORE
age_band_20s,13.908096794614277,0.928099436265986,HIGH,45,63,True,age_band,True,included,age_band,one_hot_drop_first,True,membership,categorical,KEEP_CORE
age_band_60s_plus,12.936728763520675,0.9227007060069292,HIGH,45,63,True,age_band,True,included,age_band,one_hot_drop_first,True,membership,categorical,KEEP_CORE
payment_device_ios,11.844353994983836,0.9155715879123921,HIGH,45,63,True,payment_device,True,included,payment_device,one_hot_drop_first,True,membership,categorical,KEEP_CORE
total_sessions,10.812597658447396,0.9075152861885372,HIGH,45,63,True,total_sessions,True,included,total_sessions,numeric,True,usage,numeric,REJECT
days_since_last_watch_to_obs_end,4.929834757462595,0.7971534444463401,OK,45,63,True,days_since_last_watch_to_obs_end,True,included,days_since_last_watch_to_obs_end,numeric,True,usage,numeric,KEEP_CORE
only_week1_flag,3.5526991015314335,0.7185238683543624,OK,45,63,True,only_week1_flag,True,included,only_week1_flag,numeric,True,weekly_recency_binge,binary,MODEL_ONLY
promo_x_2screen,2.9893198561622136,0.6654757442772175,OK,45,63,True,promo_x_2screen,True,included,promo_x_2screen,numeric,True,membership,binary,INSUFFICIENT_DATA
week2_watch_time,2.1213812203678444,0.5286090070003535,OK,45,63,True,week2_watch_time,True,included,week2_watch_time,numeric,True,,,
family_2screen_lifestyle,2.090366050300281,0.5216148866097639,OK,45,63,True,family_2screen_lifestyle,True,included,family_2screen_lifestyle,numeric,True,interaction_segment,binary,INSUFFICIENT_DATA
promo2_family_lifestyle_candidate,2.088158571543044,0.5211091659284044,OK,45,63,True,promo2_family_lifestyle_candidate,True,included,promo2_family_lifestyle_candidate,numeric,True,interaction_segment,binary,INSUFFICIENT_DATA
stable_2screen_active,1.934905732366959,0.48317895633256214,OK,45,63,True,stable_2screen_active,True,included,stable_2screen_active,numeric,True,interaction_segment,binary,INSUFFICIENT_DATA
screen_2_flag,1.7120461368377369,0.41590359133249377,OK,45,63,True,screen_2_flag,True,included,screen_2_flag,numeric,True,membership,binary,INSUFFICIENT_DATA
premium_action_trial_risk,1.6984129216468287,0.4112150306591097,OK,45,63,True,premium_action_trial_risk,True,included,premium_action_trial_risk,numeric,True,interaction_segment,binary,INSUFFICIENT_DATA
screen_4_flag,1.664738603178472,0.39930509324965013,OK,45,63,True,screen_4_flag,True,included,screen_4_flag,numeric,True,membership,binary,INSUFFICIENT_DATA
discount_sensitive_risk,1.6022315965161185,0.3758705032565871,OK,45,63,True,discount_sensitive_risk,True,included,discount_sensitive_risk,numeric,True,interaction_segment,binary,INSUFFICIENT_DATA
is_user_verified,1.5493017819857964,0.35454795726222965,OK,45,63,True,is_user_verified,True,included,is_user_verified,numeric,True,membership,binary,INSUFFICIENT_DATA
country_entropy_norm,1.5306839800003649,0.34669728496161456,OK,45,63,True,country_entropy_norm,True,included,country_entropy_norm,numeric,True,content,numeric,MODEL_ONLY
max_screen,1.4220271366631752,0.29677853944016364,OK,45,63,True,max_screen,True,included,max_screen,numeric,True,membership,numeric,INSUFFICIENT_DATA
screen_1_flag,1.2624668582716667,0.20789999876193754,OK,45,63,True,screen_1_flag,True,included,screen_1_flag,numeric,True,membership,binary,INSUFFICIENT_DATA
payment_device_mobile,1.224761399116557,0.18351443740689533,OK,45,63,True,payment_device,True,included,payment_device,one_hot_drop_first,True,membership,categorical,KEEP_CORE
alloc_ratio_액션,1.209703807683391,0.17335136613728475,OK,45,63,True,alloc_ratio_액션,True,included,alloc_ratio_액션,numeric,True,content,numeric,MODEL_ONLY
promo_x_1screen,1.1800350896655487,0.15256757298342305,OK,45,63,True,promo_x_1screen,True,included,promo_x_1screen,numeric,True,membership,binary,INSUFFICIENT_DATA
payment_device_pc,1.1734506622634666,0.14781248828041738,OK,45,63,True,payment_device,True,included,payment_device,one_hot_drop_first,True,membership,categorical,KEEP_CORE
rating_ratio_12세,1.146833774837744,0.1280340517164471,OK,45,63,True,rating_ratio_12세,True,included,rating_ratio_12세,numeric,True,content,numeric,MODEL_ONLY
gender_N,1.108495068420429,0.09787600460418033,OK,45,63,True,gender,True,included,gender,one_hot_drop_first,True,membership,categorical,KEEP_CORE
payment_device_smarttv,1.0854268163853078,0.07870343269184787,OK,45,63,True,payment_device,True,included,payment_device,one_hot_drop_first,True,membership,categorical,KEEP_CORE
billing_method,1.0694779786667183,0.06496438454332099,OK,45,63,True,billing_method,True,included,billing_method,numeric,True,membership,numeric,KEEP_CORE
gender_M,1.0556994985692276,0.05276075118413548,OK,45,63,True,gender,True,included,gender,one_hot_drop_first,True,membership,categorical,KEEP_CORE
payment_device_ott,1.0302150105454633,0.029328839355063807,OK,45,63,True,payment_device,True,included,payment_device,one_hot_drop_first,True,membership,categorical,KEEP_CORE
rating_dur_국민학생관람불가,1.0132901321307504,0.013115821134864758,OK,45,63,True,rating_dur_국민학생관람불가,True,included,rating_dur_국민학생관람불가,numeric,True,content,numeric,KEEP_CORE
metadata_missing_watch_ratio,1.0094579358625724,0.00936932142149205,OK,45,63,True,metadata_missing_watch_ratio,True,included,metadata_missing_watch_ratio,numeric,True,,,
daily_watch_slope,1.0,0.0,OK,45,63,True,daily_watch_slope,True,included,daily_watch_slope,numeric,True,weekly_recency_binge,numeric,NEEDS_REVIEW_WEAK_EFFECT
front_loaded_ratio,1.0,0.0,OK,45,63,True,front_loaded_ratio,True,included,front_loaded_ratio,numeric,True,,,
has_content_feature,1.0,0.0,OK,45,63,True,has_content_feature,True,included,has_content_feature,numeric,True,,,
has_prior_churn_prevention_benefit,1.0,0.0,OK,45,63,True,has_prior_churn_prevention_benefit,True,included,has_prior_churn_prevention_benefit,numeric,True,membership,binary,KEEP_CORE
has_usage_feature,1.0,0.0,OK,45,63,True,has_usage_feature,True,included,has_usage_feature,numeric,True,,,
has_watch_obs,1.0,0.0,OK,45,63,True,has_watch_obs,True,included,has_watch_obs,numeric,True,,,
is_churn_prevented,1.0,0.0,OK,45,63,True,is_churn_prevented,True,included,is_churn_prevented,numeric,True,membership,binary,KEEP_CORE
late_ratio,1.0,0.0,OK,45,63,True,late_ratio,True,included,late_ratio,numeric,True,,,
metadata_covered_watch_ratio,1.0,0.0,OK,45,63,True,metadata_covered_watch_ratio,True,included,metadata_covered_watch_ratio,numeric,True,,,
no_content_feature_flag,1.0,0.0,OK,45,63,True,no_content_feature_flag,True,included,no_content_feature_flag,numeric,True,,,
no_usage_feature_flag,1.0,0.0,OK,45,63,True,no_usage_feature_flag,True,included,no_usage_feature_flag,numeric,True,,,
no_watch_obs_flag,1.0,0.0,OK,45,63,True,no_watch_obs_flag,True,included,no_watch_obs_flag,numeric,True,,,
total_watch_time,1.0,0.0,OK,45,63,True,total_watch_time,True,included,total_watch_time,numeric,True,usage,numeric,REJECT
usable_metadata_watch_ratio,1.0,0.0,OK,45,63,True,usable_metadata_watch_ratio,True,included,usable_metadata_watch_ratio,numeric,True,,,
