check_name,status,value,notes
repo_root_checked,PASS,C:/Code/ott-churn-prediction,
repo_root_matches_expected,PASS,True,
required_inputs_checked,PASS,41,
canonical_status_created,PASS,reports/brief/13_lightweight_synthesis_for_mentor_report_260515/13_canonical_deprecated_status.csv,
key_numbers_created,PASS,reports/brief/13_lightweight_synthesis_for_mentor_report_260515/13_mentor_briefing_key_numbers.csv,
mentor_narrative_created,PASS,reports/brief/13_lightweight_synthesis_for_mentor_report_260515/13_mentor_briefing_narrative.md,
three_slide_outline_created,PASS,reports/brief/13_lightweight_synthesis_for_mentor_report_260515/13_three_slide_mentor_outline.md,
model_status_summary_created,PASS,reports/brief/13_lightweight_synthesis_for_mentor_report_260515/13_model_status_summary.csv,
safe_unsafe_claims_created,PASS,reports/brief/13_lightweight_synthesis_for_mentor_report_260515/13_safe_unsafe_claims_for_mentor.csv,
open_risks_created,PASS,reports/brief/13_lightweight_synthesis_for_mentor_report_260515/13_open_risks_and_next_actions.csv,
figures_created,PASS,4,
figure_inventory_created,PASS,reports/brief/13_lightweight_synthesis_for_mentor_report_260515/13_figure_inventory.csv,
readme_created,PASS,reports/brief/13_lightweight_synthesis_for_mentor_report_260515/README.md,
note_md_updated,PASS,note.md,
review_zip_created,PASS,zip/13_lightweight_synthesis_for_mentor_report_260515_review_package.zip,
no_new_modeling_performed,PASS,yes,
no_shap_performed,PASS,yes,
no_optuna_performed,PASS,yes,
no_threshold_created,PASS,yes,
no_segmentation_created,PASS,yes,
old_12_not_used_as_final_evidence,PASS,yes,
old_12r_not_used_as_final_evidence,PASS,yes,
12c_status_recorded,PASS,reports/models/12_model_baseline_comparison_canonical_260514/run_20260514_234434,present_and_pass
zip_contains_required_outputs,PASS,planned and verified after zip creation,
