dataset_scope,model_name,std_valid_auc,min_valid_auc,max_valid_auc,oof_auc,status,caution
overall_without_promotion,LogisticRegression,0.0030622374795236844,0.7828685706503513,0.7899557016674293,0.7858647805041071,PASS,fold stability is diagnostic under group-aware CV
overall_without_promotion,HistGradientBoosting,0.005126816878759007,0.8084398213428745,0.8186887035777748,0.8136740303172799,PASS,fold stability is diagnostic under group-aware CV
overall_without_promotion,RandomForest,0.006397740517438921,0.8000998947549811,0.8136759000024087,0.8073749698036077,PASS,fold stability is diagnostic under group-aware CV
overall_without_promotion,GradientBoosting,0.005436357847877068,0.8049411887869585,0.8170806134228162,0.8121620715087243,PASS,fold stability is diagnostic under group-aware CV
overall_without_promotion,ExtraTrees,0.004767464304812887,0.778361150936546,0.7880976919975438,0.783350272761653,PASS,fold stability is diagnostic under group-aware CV
overall_without_promotion,LightGBM,0.0045819696662496015,0.8069351464628964,0.8177342257542713,0.8131603374305969,PASS,fold stability is diagnostic under group-aware CV
overall_without_promotion,XGBoost,0.00560157047979093,0.8089376738256748,0.8202747904827372,0.8152121178143351,PASS,fold stability is diagnostic under group-aware CV
overall_with_promotion,LogisticRegression,0.0028263378899583257,0.7895767825411855,0.7967917640213973,0.7923500015567012,PASS,fold stability is diagnostic under group-aware CV
overall_with_promotion,HistGradientBoosting,0.0057101249583655905,0.813065136105156,0.8286864013429858,0.8211437468292977,PASS,fold stability is diagnostic under group-aware CV
overall_with_promotion,RandomForest,0.005992914770742448,0.8038028101161214,0.8173569279201324,0.8108659302034433,PASS,fold stability is diagnostic under group-aware CV
overall_with_promotion,GradientBoosting,0.005077135312594218,0.8130973303340974,0.8259017163461448,0.8201613488881957,PASS,fold stability is diagnostic under group-aware CV
overall_with_promotion,ExtraTrees,0.004269712058849814,0.7841861020987858,0.7954182979953417,0.7898977896453789,PASS,fold stability is diagnostic under group-aware CV
overall_with_promotion,LightGBM,0.004312379824066224,0.8163549693992695,0.8272384716866811,0.8228347309102542,PASS,fold stability is diagnostic under group-aware CV
overall_with_promotion,XGBoost,0.005270136181261188,0.8157772103770107,0.8291151172981677,0.8234957455197796,PASS,fold stability is diagnostic under group-aware CV
promotion_only,LogisticRegression,0.0077908988836785905,0.7609513800506511,0.7797127718458162,0.7706160308032295,PASS,fold stability is diagnostic under group-aware CV
promotion_only,HistGradientBoosting,0.006219963500855166,0.7862150809261187,0.8014133669722776,0.7965464484967525,PASS,fold stability is diagnostic under group-aware CV
promotion_only,RandomForest,0.006975019388438803,0.7850813760654094,0.8019853835608504,0.7931624035577116,PASS,fold stability is diagnostic under group-aware CV
promotion_only,GradientBoosting,0.006673874975068207,0.7877380699859875,0.8037874984714204,0.7980856028584373,PASS,fold stability is diagnostic under group-aware CV
promotion_only,ExtraTrees,0.004460819327674061,0.7666994484939642,0.7781540386133663,0.7723109008474799,PASS,fold stability is diagnostic under group-aware CV
promotion_only,LightGBM,0.0070169815356431395,0.7835519591962666,0.800085922264486,0.7957481622927115,PASS,fold stability is diagnostic under group-aware CV
promotion_only,XGBoost,0.007089787282580306,0.788477669790582,0.8059291189588924,0.8002004177794328,PASS,fold stability is diagnostic under group-aware CV
nonpromotion_only,LogisticRegression,0.00945400494951555,0.8037228490481636,0.8228268701979611,0.8118022068380149,PASS,fold stability is diagnostic under group-aware CV
nonpromotion_only,HistGradientBoosting,0.010718089755821678,0.8159191698284098,0.8395157511295014,0.8284083755514885,PASS,fold stability is diagnostic under group-aware CV
nonpromotion_only,RandomForest,0.009759556548262313,0.8174137143602793,0.8425117743917071,0.8303052527342334,PASS,fold stability is diagnostic under group-aware CV
nonpromotion_only,GradientBoosting,0.012867573316180799,0.8193185173389599,0.8464269877130531,0.8324227031997382,PASS,fold stability is diagnostic under group-aware CV
nonpromotion_only,ExtraTrees,0.008308158630216509,0.7947540233088171,0.8139024826927669,0.8045866599471279,PASS,fold stability is diagnostic under group-aware CV
nonpromotion_only,LightGBM,0.009834595735881961,0.815038299893412,0.8381447662749882,0.827062854212532,PASS,fold stability is diagnostic under group-aware CV
nonpromotion_only,XGBoost,0.009942192452973713,0.8211861645431902,0.84316311195597,0.8326691599692315,PASS,fold stability is diagnostic under group-aware CV
