check_name,status,value,notes,actual_model_output_folder,actual_figure_output_folder
repo_root_checked,PASS,C:/Code/ott-churn-prediction,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_canonical_260514\run_20260514_233834,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_canonical_260514\run_20260514_233834
repo_root_matches_expected,PASS,C:/Code/ott-churn-prediction,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_canonical_260514\run_20260514_233834,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_canonical_260514\run_20260514_233834
all_required_input_files_exist,PASS,15,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_canonical_260514\run_20260514_233834,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_canonical_260514\run_20260514_233834
detected_09b_output_folder,PASS,C:\Code\ott-churn-prediction\park.ingyeom\reports\audits\09b_raw_view_window_validation_260514\run_20260514_130402,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_canonical_260514\run_20260514_233834,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_canonical_260514\run_20260514_233834
detected_10_output_folder,PASS,C:\Code\ott-churn-prediction\park.ingyeom\reports\eda\10_feature_eda_260513,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_canonical_260514\run_20260514_233834,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_canonical_260514\run_20260514_233834
detected_11b_model_output_folder,PASS,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\11b_baseline_growth_history_ladder_fix_260514,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_canonical_260514\run_20260514_233834,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_canonical_260514\run_20260514_233834
detected_11b_semantic_patch_folder,PASS,C:\Code\ott-churn-prediction\park.ingyeom\reports\audits\11b_semantic_validation_and_interpretation_patch_260514,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_canonical_260514\run_20260514_233834,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_canonical_260514\run_20260514_233834
old_12_archived,PASS,True,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_canonical_260514\run_20260514_233834,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_canonical_260514\run_20260514_233834
old_12r_archived,PASS,True,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_canonical_260514\run_20260514_233834,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_canonical_260514\run_20260514_233834
old_12_metrics_not_used,PASS,yes,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_canonical_260514\run_20260514_233834,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_canonical_260514\run_20260514_233834
old_12r_metrics_not_used,PASS,yes,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_canonical_260514\run_20260514_233834,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_canonical_260514\run_20260514_233834
11b_used_as_canonical,PASS,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\11b_baseline_growth_history_ladder_fix_260514,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_canonical_260514\run_20260514_233834,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_canonical_260514\run_20260514_233834
11b_semantic_patch_applied,PASS,C:\Code\ott-churn-prediction\park.ingyeom\reports\audits\11b_semantic_validation_and_interpretation_patch_260514,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_canonical_260514\run_20260514_233834,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_canonical_260514\run_20260514_233834
primary_modeling_table_exists,PASS,True,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_canonical_260514\run_20260514_233834,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_canonical_260514\run_20260514_233834
primary_main_cohort_row_count_is_23079,PASS,23079,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_canonical_260514\run_20260514_233834,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_canonical_260514\run_20260514_233834
conservative_feature_count_is_22,PASS,22,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_canonical_260514\run_20260514_233834,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_canonical_260514\run_20260514_233834
target_column_exists,PASS,True,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_canonical_260514\run_20260514_233834,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_canonical_260514\run_20260514_233834
split_column_exists,PASS,True,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_canonical_260514\run_20260514_233834,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_canonical_260514\run_20260514_233834
group_key_exists,PASS,True,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_canonical_260514\run_20260514_233834,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_canonical_260514\run_20260514_233834
no_review_columns_used,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_canonical_260514\run_20260514_233834,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_canonical_260514\run_20260514_233834
no_forbidden_columns_used,FAIL,is_promotion,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_canonical_260514\run_20260514_233834,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_canonical_260514\run_20260514_233834
no_USER_KEY_as_feature,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_canonical_260514\run_20260514_233834,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_canonical_260514\run_20260514_233834
no_source_row_number_as_feature,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_canonical_260514\run_20260514_233834,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_canonical_260514\run_20260514_233834
no_is_repurchase_as_feature,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_canonical_260514\run_20260514_233834,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_canonical_260514\run_20260514_233834
is_promotion_not_used_in_groupwise_models,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_canonical_260514\run_20260514_233834,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_canonical_260514\run_20260514_233834
is_promotion_used_only_in_overall_with_promotion,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_canonical_260514\run_20260514_233834,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_canonical_260514\run_20260514_233834
StratifiedGroupKFold_used,PASS,yes,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_canonical_260514\run_20260514_233834,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_canonical_260514\run_20260514_233834
no_group_overlap_in_cv,PASS,0,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_canonical_260514\run_20260514_233834,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_canonical_260514\run_20260514_233834
all_fold_validation_sets_have_both_classes,PASS,2,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_canonical_260514\run_20260514_233834,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_canonical_260514\run_20260514_233834
model_availability_created,PASS,created,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_canonical_260514\run_20260514_233834,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_canonical_260514\run_20260514_233834
cv_fold_metrics_created,PASS,created,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_canonical_260514\run_20260514_233834,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_canonical_260514\run_20260514_233834
model_comparison_summary_created,PASS,created,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_canonical_260514\run_20260514_233834,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_canonical_260514\run_20260514_233834
operating_metrics_at_k_created,PASS,created,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_canonical_260514\run_20260514_233834,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_canonical_260514\run_20260514_233834
calibration_decile_summary_created,PASS,created,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_canonical_260514\run_20260514_233834,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_canonical_260514\run_20260514_233834
vs_11b_comparison_created,PASS,created,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_canonical_260514\run_20260514_233834,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_canonical_260514\run_20260514_233834
candidate_selection_policy_created,PASS,created,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_canonical_260514\run_20260514_233834,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_canonical_260514\run_20260514_233834
candidate_selection_by_scope_created,PASS,created,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_canonical_260514\run_20260514_233834,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_canonical_260514\run_20260514_233834
stability_aware_candidate_created,PASS,created,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_canonical_260514\run_20260514_233834,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_canonical_260514\run_20260514_233834
train_valid_gap_audit_created,PASS,created,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_canonical_260514\run_20260514_233834,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_canonical_260514\run_20260514_233834
fold_stability_audit_created,PASS,created,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_canonical_260514\run_20260514_233834,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_canonical_260514\run_20260514_233834
selected_oof_predictions_created,PASS,created,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_canonical_260514\run_20260514_233834,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_canonical_260514\run_20260514_233834
handoff_to_14_created,PASS,created,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_canonical_260514\run_20260514_233834,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_canonical_260514\run_20260514_233834
handoff_to_16_created,PASS,created,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_canonical_260514\run_20260514_233834,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_canonical_260514\run_20260514_233834
figure_inventory_created,PASS,created,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_canonical_260514\run_20260514_233834,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_canonical_260514\run_20260514_233834
visualization_warnings_created,PASS,created,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_canonical_260514\run_20260514_233834,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_canonical_260514\run_20260514_233834
readme_created,PASS,created,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_canonical_260514\run_20260514_233834,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_canonical_260514\run_20260514_233834
optional_unavailable_models_recorded,PASS,['CatBoost'],,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_canonical_260514\run_20260514_233834,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_canonical_260514\run_20260514_233834
operating_metrics_rank_by_churn_risk_desc,PASS,churn_risk,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_canonical_260514\run_20260514_233834,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_canonical_260514\run_20260514_233834
stability_aware_candidate_not_forced_to_highest_auc,PASS,policy uses near-best AUC pool then gap/stability,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_canonical_260514\run_20260514_233834,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_canonical_260514\run_20260514_233834
score_orientation_preserved,PASS,"repurchase_score=P(1), churn_risk=1-score",,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_canonical_260514\run_20260514_233834,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_canonical_260514\run_20260514_233834
no_shap_performed,PASS,yes,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_canonical_260514\run_20260514_233834,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_canonical_260514\run_20260514_233834
no_optuna_performed,PASS,yes,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_canonical_260514\run_20260514_233834,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_canonical_260514\run_20260514_233834
no_hyperparameter_tuning_performed,PASS,yes,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_canonical_260514\run_20260514_233834,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_canonical_260514\run_20260514_233834
no_final_threshold_created,PASS,yes,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_canonical_260514\run_20260514_233834,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_canonical_260514\run_20260514_233834
no_final_segmentation_created,PASS,yes,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_canonical_260514\run_20260514_233834,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_canonical_260514\run_20260514_233834
figures_created,PASS,8,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_canonical_260514\run_20260514_233834,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_canonical_260514\run_20260514_233834
matplotlib_only_for_figures,PASS,yes,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_canonical_260514\run_20260514_233834,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_canonical_260514\run_20260514_233834
seaborn_not_used,PASS,yes,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_canonical_260514\run_20260514_233834,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_canonical_260514\run_20260514_233834
korean_font_found_or_warning_recorded,PASS,Malgun Gothic,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_canonical_260514\run_20260514_233834,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_canonical_260514\run_20260514_233834
note_md_updated,PASS,C:\Code\ott-churn-prediction\park.ingyeom\note.md,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_canonical_260514\run_20260514_233834,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_canonical_260514\run_20260514_233834
notebook_saved_with_outputs,PASS,validated after nbconvert execution,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_canonical_260514\run_20260514_233834,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_canonical_260514\run_20260514_233834
review_zip_created,PASS,C:\Code\ott-churn-prediction\park.ingyeom\zip\12_model_baseline_comparison_canonical_260514_review_package.zip,review package zip,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_canonical_260514\run_20260514_233834,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_canonical_260514\run_20260514_233834
zip_contains_27_csv_outputs,PASS,27,CSV count inside zip,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_canonical_260514\run_20260514_233834,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_canonical_260514\run_20260514_233834
zip_contains_8_png_figures,PASS,8,PNG count inside zip,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_canonical_260514\run_20260514_233834,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_canonical_260514\run_20260514_233834
zip_contains_notebook_readme_note_final_checks,PASS,True,"notebook, README, note.md, final_checks included",C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_canonical_260514\run_20260514_233834,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_canonical_260514\run_20260514_233834
