"path","item_type","should_remain","reason"
"_archive","directory","yes","standard archive root required by 00d"
"data","directory","yes","active raw/input data retained without modification"
"data\(광일)Membership_v2_with_derived_features.csv","file","yes","active raw/input data retained without modification"
"data\Membership_train.csv","file","yes","active raw/input data retained without modification"
"data\Membership_v2.csv","file","yes","active raw/input data retained without modification"
"data\Movie_Master_v2.csv","file","yes","active raw/input data retained without modification"
"data\User_Mapping_v2.csv","file","yes","active raw/input data retained without modification"
"data\View_History_v2.csv","file","yes","active raw/input data retained without modification"
"note.md","file","yes","active project note retained and updated"
"notebook","directory","yes","active 01-04 contract notebook scope"
"notebook\01_data_contract_260513","directory","yes","active 01-04 contract notebook scope"
"notebook\01_data_contract_260513\01_data_contract_260513.ipynb","file","yes","active 01-04 contract notebook scope"
"notebook\02_target_score_orientation_260513","directory","yes","active 01-04 contract notebook scope"
"notebook\02_target_score_orientation_260513\02_target_score_orientation_260513.ipynb","file","yes","active 01-04 contract notebook scope"
"notebook\03_observation_window_policy_260513","directory","yes","active 01-04 contract notebook scope"
"notebook\03_observation_window_policy_260513\03_observation_window_policy_260513.ipynb","file","yes","active 01-04 contract notebook scope"
"notebook\04_promotion_split_260513","directory","yes","active 01-04 contract notebook scope"
"notebook\04_promotion_split_260513\04_promotion_split_260513.ipynb","file","yes","active 01-04 contract notebook scope"
"reports","directory","yes","active 01-04 audit report scope"
"reports\audits","directory","yes","active 01-04 audit report scope"
"reports\audits\01_data_contract_260513","directory","yes","active 01-04 audit report scope"
"reports\audits\01_data_contract_260513\01_column_inventory.csv","file","yes","active 01-04 audit report scope"
"reports\audits\01_data_contract_260513\01_data_contract_summary.csv","file","yes","active 01-04 audit report scope"
"reports\audits\01_data_contract_260513\01_date_parse_audit.csv","file","yes","active 01-04 audit report scope"
"reports\audits\01_data_contract_260513\01_duration_anomaly_audit.csv","file","yes","active 01-04 audit report scope"
"reports\audits\01_data_contract_260513\01_duration_distribution.csv","file","yes","active 01-04 audit report scope"
"reports\audits\01_data_contract_260513\01_expected_vs_actual_checks.csv","file","yes","active 01-04 audit report scope"
"reports\audits\01_data_contract_260513\01_final_checks.csv","file","yes","active 01-04 audit report scope"
"reports\audits\01_data_contract_260513\01_promotion_distribution.csv","file","yes","active 01-04 audit report scope"
"reports\audits\01_data_contract_260513\01_promotion_target_2x2.csv","file","yes","active 01-04 audit report scope"
"reports\audits\01_data_contract_260513\01_target_distribution.csv","file","yes","active 01-04 audit report scope"
"reports\audits\01_data_contract_260513\01_user_key_duplicate_audit.csv","file","yes","active 01-04 audit report scope"
"reports\audits\01_data_contract_260513\01_user_key_duplicate_samples.csv","file","yes","active 01-04 audit report scope"
"reports\audits\01_data_contract_260513\README.md","file","yes","active 01-04 audit report scope"
"reports\audits\02_target_score_orientation_260513","directory","yes","active 01-04 audit report scope"
"reports\audits\02_target_score_orientation_260513\02_analysis_unit_contract.csv","file","yes","active 01-04 audit report scope"
"reports\audits\02_target_score_orientation_260513\02_auc_interpretation_policy.csv","file","yes","active 01-04 audit report scope"
"reports\audits\02_target_score_orientation_260513\02_downstream_requirements.csv","file","yes","active 01-04 audit report scope"
"reports\audits\02_target_score_orientation_260513\02_final_checks.csv","file","yes","active 01-04 audit report scope"
"reports\audits\02_target_score_orientation_260513\02_input_consistency_check.csv","file","yes","active 01-04 audit report scope"
"reports\audits\02_target_score_orientation_260513\02_open_risks_for_next_steps.csv","file","yes","active 01-04 audit report scope"
"reports\audits\02_target_score_orientation_260513\02_safe_unsafe_wording.csv","file","yes","active 01-04 audit report scope"
"reports\audits\02_target_score_orientation_260513\02_score_naming_convention.csv","file","yes","active 01-04 audit report scope"
"reports\audits\02_target_score_orientation_260513\02_score_orientation_policy.csv","file","yes","active 01-04 audit report scope"
"reports\audits\02_target_score_orientation_260513\02_target_contract.csv","file","yes","active 01-04 audit report scope"
"reports\audits\02_target_score_orientation_260513\README.md","file","yes","active 01-04 audit report scope"
"reports\audits\03_observation_window_policy_260513","directory","yes","active 01-04 audit report scope"
"reports\audits\03_observation_window_policy_260513\03_duration_anomaly_by_group.csv","file","yes","active 01-04 audit report scope"
"reports\audits\03_observation_window_policy_260513\03_duration_distribution.csv","file","yes","active 01-04 audit report scope"
